number	number	array
id	achievement_type	achievement_value
100101	4	[45]
100102	1	[30]
100103	5	"[3055,15]"
100201	4	[45]
100202	1	[30]
100203	3	[16]
100301	4	[45]
100302	1	[30]
100303	2	[16]
100401	4	[45]
100402	1	[30]
100403	6	[3]
100501	4	[45]
100502	1	[30]
100503	6	[3]
100601	4	[45]
100602	1	[30]
100603	6	[3]
100701	4	[45]
100702	1	[30]
100703	6	[3]
100801	4	[45]
100802	1	[30]
100803	3	[4]
100901	4	[45]
100902	1	[30]
100903	5	"[3080,20]"
101001	4	[45]
101002	1	[30]
101003	6	[5]
101101	4	[45]
101102	1	[30]
101103	6	[5]
101201	3	[22]
101202	1	[30]
101203	6	[5]
101301	4	[45]
101302	1	[30]
101303	6	[5]
101401	4	[45]
101402	1	[30]
101403	6	[5]
101501	4	[45]
101502	1	[30]
101503	3	[11]
101601	4	[45]
101602	1	[30]
101603	3	[14]
101701	4	[45]
101702	1	[30]
101703	6	[5]
101801	4	[45]
101802	1	[30]
101803	6	[5]
101901	4	[45]
101902	1	[30]
101903	6	[5]
102001	4	[45]
102002	1	[30]
102003	3	[9]
102101	4	[45]
102102	1	[35]
102103	6	[10]
102201	4	[45]
102202	1	[35]
102203	6	[10]
102301	3	[3]
102302	1	[35]
102303	6	[10]
102401	4	[45]
102402	1	[35]
102403	6	[10]
102501	4	[45]
102502	1	[35]
102503	6	[10]
102601	4	[45]
102602	1	[35]
102603	3	[7]
102701	4	[45]
102702	1	[35]
102703	6	[10]
102801	4	[45]
102802	1	[35]
102803	3	[13]
102901	4	[45]
102902	1	[35]
102903	6	[10]
103001	4	[45]
103002	1	[35]
103003	3	[5]
103101	4	[45]
103102	1	[35]
103103	6	[15]
103201	4	[45]
103202	1	[35]
103203	6	[15]
103301	4	[45]
103302	3	[15]
103303	6	[15]
103401	4	[45]
103402	1	[35]
103403	6	[15]
103501	4	[45]
103502	1	[35]
103503	6	[15]
103601	4	[45]
103602	3	[24]
103603	6	[15]
103701	4	[45]
103702	1	[35]
103703	6	[15]
103801	4	[45]
103802	1	[35]
103803	6	[15]
103901	4	[45]
103902	3	[17]
103903	6	[15]
104001	4	[45]
104002	1	[35]
104003	3	[6]
104101	4	[45]
104102	1	[35]
104103	6	[15]
104201	4	[45]
104202	1	[35]
104203	6	[15]
104301	4	[45]
104302	3	[10]
104303	6	[15]
104401	4	[45]
104402	1	[35]
104403	6	[15]
104501	4	[45]
104502	1	[35]
104503	6	[15]
104601	4	[45]
104602	3	[18]
104603	6	[15]
104701	4	[45]
104702	1	[35]
104703	6	[15]
104801	4	[45]
104802	1	[35]
104803	6	[15]
104901	4	[45]
104902	3	[1]
104903	6	[15]
105001	4	[45]
105002	1	[35]
105003	3	[23]
105101	4	[45]
105102	1	[35]
105103	6	[20]
105201	4	[45]
105202	1	[35]
105203	6	[20]
105301	4	[45]
105302	3	[8]
105303	6	[20]
105401	4	[45]
105402	1	[35]
105403	6	[20]
105501	4	[45]
105502	1	[35]
105503	6	[20]
105601	4	[45]
105602	3	[25]
105603	6	[20]
105701	4	[45]
105702	1	[35]
105703	6	[20]
105801	4	[45]
105802	1	[35]
105803	6	[20]
105901	4	[45]
105902	3	[20]
105903	6	[20]
106001	4	[45]
106002	1	[35]
106003	3	[21]
106101	4	[45]
106102	1	[35]
106103	6	[20]
106201	4	[45]
106202	1	[35]
106203	6	[20]
106301	4	[45]
106302	1	[35]
106303	6	[20]
106401	4	[45]
106402	1	[35]
106403	6	[20]
106501	4	[45]
106502	3	[19]
106503	6	[20]
106601	4	[45]
106602	1	[35]
106603	6	[20]
106701	4	[45]
106702	1	[35]
106703	6	[20]
106801	4	[45]
106802	1	[35]
106803	6	[20]
106901	4	[45]
106902	1	[35]
106903	6	[20]
107001	4	[45]
107002	1	[35]
107003	3	[2]
107101	4	[45]
107102	1	[35]
107103	6	[20]
107201	4	[45]
107202	1	[35]
107203	6	[20]
107301	4	[45]
107302	1	[35]
107303	6	[20]
107401	4	[45]
107402	1	[35]
107403	6	[20]
107501	4	[45]
107502	1	[35]
107503	6	[20]
107601	4	[45]
107602	1	[35]
107603	6	[20]
107701	4	[45]
107702	1	[35]
107703	6	[20]
107801	4	[45]
107802	1	[35]
107803	6	[20]
107901	4	[45]
107902	1	[35]
107903	6	[20]
108001	4	[45]
108002	1	[35]
108003	5	"[3077,15]"
108101	4	[45]
108102	1	[35]
108103	6	[20]
108201	4	[45]
108202	1	[35]
108203	6	[20]
108301	4	[45]
108302	1	[35]
108303	6	[20]
108401	4	[45]
108402	1	[35]
108403	6	[20]
108501	4	[45]
108502	1	[35]
108503	6	[20]
108601	4	[45]
108602	1	[35]
108603	6	[20]
108701	4	[45]
108702	1	[35]
108703	6	[20]
108801	4	[45]
108802	1	[35]
108803	6	[20]
108901	4	[45]
108902	1	[35]
108903	6	[20]
109001	4	[45]
109002	1	[35]
109003	5	"[3077,15]"
109101	4	[45]
109102	1	[35]
109103	6	[20]
109201	4	[45]
109202	1	[35]
109203	6	[20]
109301	4	[45]
109302	1	[35]
109303	6	[20]
109401	4	[45]
109402	1	[35]
109403	6	[20]
109501	4	[45]
109502	1	[35]
109503	6	[20]
109601	4	[45]
109602	1	[35]
109603	6	[20]
109701	4	[45]
109702	1	[35]
109703	6	[20]
109801	4	[45]
109802	1	[35]
109803	6	[20]
109901	4	[45]
109902	1	[35]
109903	6	[20]
110001	4	[45]
110002	1	[35]
110003	5	"[3077,15]"
110101	4	[45]
110102	1	[35]
110103	6	[20]
110201	4	[45]
110202	1	[35]
110203	6	[20]
110301	4	[45]
110302	1	[35]
110303	6	[20]
110401	4	[45]
110402	1	[35]
110403	6	[20]
110501	4	[45]
110502	1	[35]
110503	6	[20]
110601	4	[45]
110602	1	[35]
110603	6	[20]
110701	4	[45]
110702	1	[35]
110703	6	[20]
110801	4	[45]
110802	1	[35]
110803	6	[20]
110901	4	[45]
110902	1	[35]
110903	6	[20]
111001	4	[45]
111002	1	[35]
111003	5	"[3077,15]"
111101	4	[45]
111102	1	[35]
111103	6	[20]
111201	4	[45]
111202	1	[35]
111203	6	[20]
111301	4	[45]
111302	1	[35]
111303	6	[20]
111401	4	[45]
111402	1	[35]
111403	6	[20]
111501	4	[45]
111502	1	[35]
111503	6	[20]
111601	4	[45]
111602	1	[35]
111603	6	[20]
111701	4	[45]
111702	1	[35]
111703	6	[20]
111801	4	[45]
111802	1	[35]
111803	6	[20]
111901	4	[45]
111902	1	[35]
111903	6	[20]
112001	4	[45]
112002	1	[35]
112003	5	"[3077,15]"
112101	4	[45]
112102	1	[35]
112103	6	[20]
112201	4	[45]
112202	1	[35]
112203	6	[20]
112301	4	[45]
112302	1	[35]
112303	6	[20]
112401	4	[45]
112402	1	[35]
112403	6	[20]
112501	4	[45]
112502	1	[35]
112503	6	[20]
112601	4	[45]
112602	1	[35]
112603	6	[20]
112701	4	[45]
112702	1	[35]
112703	6	[20]
112801	4	[45]
112802	1	[35]
112803	6	[20]
112901	4	[45]
112902	1	[35]
112903	6	[20]
113001	4	[45]
113002	1	[35]
113003	6	[20]
113101	4	[45]
113102	1	[35]
113103	6	[20]
113201	4	[45]
113202	1	[35]
113203	6	[20]
113301	4	[45]
113302	1	[35]
113303	5	"[3077,15]"
