number	string	string	string	number	number	number	number	number	number	number	number	number	array2
id	icon	name	description	sort	typeindex	taskindex	times	openlv	power	coin	diamond	exp	reward
10001	M10004	仲間を集めよう	仲間を4人にする	1	1	1	4	6	0	0	10	0	[]
10002	M10004	仲間を集めよう	仲間を5人にする	2	1	1	5	6	0	0	10	0	[]
10003	M10004	仲間を集めよう	仲間を6人にする	3	1	1	6	6	0	0	10	0	[]
10004	M10004	仲間を集めよう	仲間を7人にする	4	1	1	7	6	0	0	10	0	[]
10005	M10004	仲間を集めよう	仲間を8人にする	5	1	1	8	6	0	0	10	0	[]
10006	M10004	仲間を集めよう	仲間を9人にする	6	1	1	9	6	0	0	10	0	[]
10007	M10004	仲間を集めよう	仲間を10人にする	7	1	1	10	6	0	0	10	0	[]
10008	M10004	仲間を集めよう	仲間を11人にする	8	1	1	11	6	0	0	30	0	[]
10009	M10004	仲間を集めよう	仲間を12人にする	9	1	1	12	6	0	0	30	0	[]
10010	M10004	仲間を集めよう	仲間を13人にする	10	1	1	13	6	0	0	30	0	[]
10011	M10004	仲間を集めよう	仲間を14人にする	11	1	1	14	6	0	0	30	0	[]
10012	M10004	仲間を集めよう	仲間を15人にする	12	1	1	15	6	0	0	30	0	[]
10013	M10004	仲間を集めよう	仲間を16人にする	13	1	1	16	6	0	0	30	0	[]
10014	M10004	仲間を集めよう	仲間を17人にする	14	1	1	17	6	0	0	30	0	[]
10015	M10004	仲間を集めよう	仲間を18人にする	15	1	1	18	6	0	0	30	0	[]
10016	M10004	仲間を集めよう	仲間を19人にする	16	1	1	19	6	0	0	30	0	[]
10017	M10004	仲間を集めよう	仲間を20人にする	17	1	1	20	6	0	0	30	0	[]
10018	M10004	仲間を集めよう	仲間を21人にする	18	1	1	21	6	0	0	50	0	[]
10019	M10004	仲間を集めよう	仲間を22人にする	19	1	1	22	6	0	0	50	0	[]
10020	M10004	仲間を集めよう	仲間を23人にする	20	1	1	23	6	0	0	50	0	[]
10021	M10004	仲間を集めよう	仲間を24人にする	21	1	1	24	6	0	0	50	0	[]
10022	M10004	仲間を集めよう	仲間を25人にする	22	1	1	25	6	0	0	50	0	[]
10023	M10004	仲間を集めよう	仲間を26人にする	23	1	1	26	6	0	0	50	0	[]
10024	M10004	仲間を集めよう	仲間を27人にする	24	1	1	27	6	0	0	50	0	[]
10025	M10004	仲間を集めよう	仲間を28人にする	25	1	1	28	6	0	0	50	0	[]
10026	M10004	仲間を集めよう	仲間を29人にする	26	1	1	29	6	0	0	50	0	[]
10027	M10004	仲間を集めよう	仲間を30人にする	27	1	1	30	6	0	0	50	0	[]
10028	M10004	仲間を集めよう	仲間を31人にする	28	1	1	31	6	0	0	50	0	[]
10029	M10004	仲間を集めよう	仲間を32人にする	29	1	1	32	6	0	0	50	0	[]
10030	M10004	仲間を集めよう	仲間を33人にする	30	1	1	33	6	0	0	50	0	[]
10031	M10004	仲間を集めよう	仲間を34人にする	31	1	1	34	6	0	0	50	0	[]
10032	M10004	仲間を集めよう	仲間を35人にする	32	1	1	35	6	0	0	50	0	[]
10033	M10004	仲間を集めよう	仲間を36人にする	33	1	1	36	6	0	0	50	0	[]
10034	M10004	仲間を集めよう	仲間を37人にする	34	1	1	37	6	0	0	50	0	[]
10035	M10004	仲間を集めよう	仲間を38人にする	35	1	1	38	6	0	0	50	0	[]
10036	M10004	仲間を集めよう	仲間を39人にする	36	1	1	39	6	0	0	50	0	[]
10037	M10004	仲間を集めよう	仲間を40人にする	37	1	1	40	6	0	0	50	0	[]
