number	string	array2
hostnum	domain	actives
20001	android	"[[2,20141107,20141115]]"
20002	android	"[[2,20141107,20141115]]"
20003	android	"[[2,20141107,20141115]]"
20004	android	"[[2,20141107,20141115]]"
20005	android	"[[2,20141107,20141115]]"
20006	android	"[[2,20141107,20141115]]"
20007	android	"[[2,20141107,20141115]]"
20008	android	"[[2,20141107,20141115]]"
20009	android	"[[2,20141107,20141115]]"
20010	android	"[[2,20141107,20141115]]"
20011	android	"[[2,20141107,20141115]]"
20012	android	"[[2,20141107,20141115]]"
30001	ios	"[[2,20141107,20141115]]"
30002	ios	"[[2,20141107,20141115]]"
30003	ios	"[[2,20141107,20141115]]"
