number	array	array
vip_level	times	probability
0	"[1,2,3]"	"[8000,1500,500]"
1	"[1,2,3]"	"[7750,1750,500]"
2	"[1,2,3]"	"[7500,2000,500]"
3	"[1,2,3,5]"	"[7000,2250,500,250]"
4	"[1,2,3,5]"	"[7000,2250,500,250]"
5	"[1,2,3,5]"	"[7000,2250,500,250]"
6	"[1,2,3,5,10]"	"[6950,2250,500,200,100]"
7	"[1,2,3,5,10]"	"[6950,2250,500,200,100]"
8	"[1,2,3,5,10]"	"[6950,2250,500,200,100]"
9	"[1,2,3,5,10]"	"[6950,2250,500,200,100]"
10	"[1,2,3,5,10,20]"	"[6750,2250,500,250,150,100]"
11	"[1,2,3,5,10,20]"	"[6750,2250,500,250,150,100]"
12	"[1,2,3,5,10,20]"	"[6750,2250,500,250,150,100]"
13	"[1,2,3,5,10,20]"	"[6750,2250,500,250,150,100]"
14	"[1,2,3,5,10,20]"	"[6750,2250,500,250,150,100]"
15	"[1,2,3,5,10,20]"	"[6750,2250,500,250,150,100]"
16	"[1,2,3,5,10,20]"	"[6750,2250,500,250,150,100]"
17	"[1,2,3,5,10,20]"	"[6750,2250,500,250,150,100]"
18	"[1,2,3,5,10,20]"	"[6750,2250,500,250,150,100]"
19	"[1,2,3,5,10,20]"	"[6750,2250,500,250,150,100]"
20	"[1,2,3,5,10,20]"	"[6750,2250,500,250,150,100]"
