number	number	array2
rank	honor_win	item
1	800	"[[10003,500],[10001,50000]]"
2	775	"[[10003,400],[10001,45000]]"
3	750	"[[10003,350],[10001,40000]]"
4	725	"[[10003,300],[10001,37500]]"
5	700	"[[10003,250],[10001,35000]]"
6	680	"[[10003,240],[10001,32500]]"
7	660	"[[10003,230],[10001,30000]]"
8	640	"[[10003,220],[10001,28000]]"
9	620	"[[10003,210],[10001,26000]]"
10	600	"[[10003,200],[10001,24000]]"
11	590	"[[10003,150],[10001,22000]]"
12	590	"[[10003,150],[10001,22000]]"
13	590	"[[10003,150],[10001,22000]]"
14	590	"[[10003,150],[10001,22000]]"
15	590	"[[10003,150],[10001,22000]]"
16	590	"[[10003,150],[10001,22000]]"
17	590	"[[10003,150],[10001,22000]]"
18	590	"[[10003,150],[10001,22000]]"
19	590	"[[10003,150],[10001,22000]]"
20	590	"[[10003,150],[10001,22000]]"
21	575	"[[10003,120],[10001,20000]]"
22	575	"[[10003,120],[10001,20000]]"
23	575	"[[10003,120],[10001,20000]]"
24	575	"[[10003,120],[10001,20000]]"
25	575	"[[10003,120],[10001,20000]]"
26	575	"[[10003,120],[10001,20000]]"
27	575	"[[10003,120],[10001,20000]]"
28	575	"[[10003,120],[10001,20000]]"
29	575	"[[10003,120],[10001,20000]]"
30	575	"[[10003,120],[10001,20000]]"
31	560	"[[10003,105],[10001,19000]]"
32	560	"[[10003,105],[10001,19000]]"
33	560	"[[10003,105],[10001,19000]]"
34	560	"[[10003,105],[10001,19000]]"
35	560	"[[10003,105],[10001,19000]]"
36	560	"[[10003,105],[10001,19000]]"
37	560	"[[10003,105],[10001,19000]]"
38	560	"[[10003,105],[10001,19000]]"
39	560	"[[10003,105],[10001,19000]]"
40	560	"[[10003,105],[10001,19000]]"
41	545	"[[10003,90],[10001,18000]]"
42	545	"[[10003,90],[10001,18000]]"
43	545	"[[10003,90],[10001,18000]]"
44	545	"[[10003,90],[10001,18000]]"
45	545	"[[10003,90],[10001,18000]]"
46	545	"[[10003,90],[10001,18000]]"
47	545	"[[10003,90],[10001,18000]]"
48	545	"[[10003,90],[10001,18000]]"
49	545	"[[10003,90],[10001,18000]]"
50	545	"[[10003,90],[10001,18000]]"
51	530	"[[10003,90],[10001,18000]]"
52	530	"[[10003,75],[10001,17000]]"
53	530	"[[10003,75],[10001,17000]]"
54	530	"[[10003,75],[10001,17000]]"
55	530	"[[10003,75],[10001,17000]]"
56	530	"[[10003,75],[10001,17000]]"
57	530	"[[10003,75],[10001,17000]]"
58	530	"[[10003,75],[10001,17000]]"
59	530	"[[10003,75],[10001,17000]]"
60	530	"[[10003,75],[10001,17000]]"
61	530	"[[10003,75],[10001,17000]]"
62	530	"[[10003,75],[10001,17000]]"
63	530	"[[10003,75],[10001,17000]]"
64	530	"[[10003,75],[10001,17000]]"
65	530	"[[10003,75],[10001,17000]]"
66	530	"[[10003,75],[10001,17000]]"
67	530	"[[10003,75],[10001,17000]]"
68	530	"[[10003,75],[10001,17000]]"
69	530	"[[10003,75],[10001,17000]]"
70	530	"[[10003,75],[10001,17000]]"
71	515	"[[10003,75],[10001,17000]]"
72	515	"[[10003,70],[10001,16000]]"
73	515	"[[10003,70],[10001,16000]]"
74	515	"[[10003,70],[10001,16000]]"
75	515	"[[10003,80],[10001,16000]]"
76	515	"[[10003,70],[10001,16000]]"
77	515	"[[10003,70],[10001,16000]]"
78	515	"[[10003,70],[10001,16000]]"
79	515	"[[10003,70],[10001,16000]]"
80	515	"[[10003,70],[10001,16000]]"
81	515	"[[10003,70],[10001,16000]]"
82	515	"[[10003,70],[10001,16000]]"
83	515	"[[10003,70],[10001,16000]]"
84	515	"[[10003,70],[10001,16000]]"
85	515	"[[10003,70],[10001,16000]]"
86	515	"[[10003,70],[10001,16000]]"
87	515	"[[10003,70],[10001,16000]]"
88	515	"[[10003,70],[10001,16000]]"
89	515	"[[10003,70],[10001,16000]]"
90	515	"[[10003,70],[10001,16000]]"
91	515	"[[10003,70],[10001,16000]]"
92	515	"[[10003,70],[10001,16000]]"
93	515	"[[10003,70],[10001,16000]]"
94	515	"[[10003,70],[10001,16000]]"
95	515	"[[10003,70],[10001,16000]]"
96	515	"[[10003,70],[10001,16000]]"
97	515	"[[10003,70],[10001,16000]]"
98	515	"[[10003,70],[10001,16000]]"
99	515	"[[10003,70],[10001,16000]]"
100	515	"[[10003,70],[10001,16000]]"
200	500	"[[10003,60],[10001,15000]]"
300	450	"[[10003,55],[10001,14000]]"
400	425	"[[10003,50],[10001,13000]]"
500	400	"[[10003,45],[10001,12000]]"
700	350	"[[10003,40],[10001,11000]]"
1000	300	"[[10003,35],[10001,10000]]"
2000	260	"[[10003,30],[10001,9000]]"
2001	220	"[[10003,30],[10001,8000]]"
