number	number	number	number	array2
id	type	level	exp	attribute
1000	1	0	10	[]
1001	1	1	30	"[[1,1.2]]"
1002	1	2	60	"[[2,2.5]]"
1003	1	3	100	"[[3,1]]"
1004	1	4	180	"[[4,2.5]]"
1005	1	5	220	"[[5,10,1]]"
1006	1	6	260	"[[1,1.2]]"
1007	1	7	300	"[[2,2.5]]"
1008	1	8	340	"[[3,1]]"
1009	1	9	420	"[[4,2.5]]"
1010	1	10	470	"[[5,10,1]]"
1011	1	11	520	"[[1,1.2]]"
1012	1	12	570	"[[2,2.5]]"
1013	1	13	620	"[[3,1]]"
1014	1	14	720	"[[4,2.5]]"
1015	1	15	770	"[[5,10,1]]"
1016	1	16	820	"[[1,1.2]]"
1017	1	17	870	"[[2,2.5]]"
1018	1	18	920	"[[3,1]]"
1019	1	19	1020	"[[4,2.5]]"
1020	1	20	1100	"[[5,10,1]]"
1021	1	21	1180	"[[1,1.2]]"
1022	1	22	1260	"[[2,2.5]]"
1023	1	23	1340	"[[3,1]]"
1024	1	24	1500	"[[4,2.5]]"
1025	1	25	1580	"[[5,10,1]]"
1026	1	26	1660	"[[1,1.2]]"
1027	1	27	1740	"[[2,2.5]]"
1028	1	28	1820	"[[3,1]]"
1029	1	29	1980	"[[4,2.5]]"
1030	1	30	2080	"[[5,10,1]]"
1031	1	31	2180	"[[1,1.2]]"
1032	1	32	2280	"[[2,2.5]]"
1033	1	33	2380	"[[3,1]]"
1034	1	34	2580	"[[4,2.5]]"
1035	1	35	2680	"[[5,10,1]]"
1036	1	36	2780	"[[1,1.2]]"
1037	1	37	2880	"[[2,2.5]]"
1038	1	38	2980	"[[3,1]]"
1039	1	39	3180	"[[4,2.5]]"
1040	1	40	3300	"[[5,10,1]]"
1041	1	41	3420	"[[1,1.2]]"
1042	1	42	3540	"[[2,2.5]]"
1043	1	43	3660	"[[3,1]]"
1044	1	44	3900	"[[4,2.5]]"
1045	1	45	4020	"[[5,10,2]]"
1046	1	46	4140	"[[1,1.2]]"
1047	1	47	4260	"[[2,2.5]]"
1048	1	48	4380	"[[3,1]]"
1049	1	49	4620	"[[4,2.5]]"
1050	1	50	4770	"[[5,10,2]]"
1051	1	51	4920	"[[1,1.2]]"
1052	1	52	5070	"[[2,2.5]]"
1053	1	53	5220	"[[3,1]]"
1054	1	54	5520	"[[4,2.5]]"
1055	1	55	5670	"[[5,10,2]]"
1056	1	56	5820	"[[1,1.2]]"
1057	1	57	5970	"[[2,2.5]]"
1058	1	58	6120	"[[3,1]]"
1059	1	59	6420	"[[4,2.5]]"
1060	1	60	0	"[[5,10,2]]"
2000	2	0	10	[]
2001	2	1	30	"[[1,1.2]]"
2002	2	2	60	"[[2,2.5]]"
2003	2	3	100	"[[3,1]]"
2004	2	4	180	"[[4,2.5]]"
2005	2	5	220	"[[5,20,1]]"
2006	2	6	260	"[[1,1.2]]"
2007	2	7	300	"[[2,2.5]]"
2008	2	8	340	"[[3,1]]"
2009	2	9	420	"[[4,2.5]]"
2010	2	10	470	"[[5,20,1]]"
2011	2	11	520	"[[1,1.2]]"
2012	2	12	570	"[[2,2.5]]"
2013	2	13	620	"[[3,1]]"
2014	2	14	720	"[[4,2.5]]"
2015	2	15	770	"[[5,20,1]]"
2016	2	16	820	"[[1,1.2]]"
2017	2	17	870	"[[2,2.5]]"
2018	2	18	920	"[[3,1]]"
2019	2	19	1020	"[[4,2.5]]"
2020	2	20	1100	"[[5,20,1]]"
2021	2	21	1180	"[[1,1.2]]"
2022	2	22	1260	"[[2,2.5]]"
2023	2	23	1340	"[[3,1]]"
2024	2	24	1500	"[[4,2.5]]"
2025	2	25	1580	"[[5,20,1]]"
2026	2	26	1660	"[[1,1.2]]"
2027	2	27	1740	"[[2,2.5]]"
2028	2	28	1820	"[[3,1]]"
2029	2	29	1980	"[[4,2.5]]"
2030	2	30	2080	"[[5,20,1]]"
2031	2	31	2180	"[[1,1.2]]"
2032	2	32	2280	"[[2,2.5]]"
2033	2	33	2380	"[[3,1]]"
2034	2	34	2580	"[[4,2.5]]"
2035	2	35	2680	"[[5,20,1]]"
2036	2	36	2780	"[[1,1.2]]"
2037	2	37	2880	"[[2,2.5]]"
2038	2	38	2980	"[[3,1]]"
2039	2	39	3180	"[[4,2.5]]"
2040	2	40	3300	"[[5,20,1]]"
2041	2	41	3420	"[[1,1.2]]"
2042	2	42	3540	"[[2,2.5]]"
2043	2	43	3660	"[[3,1]]"
2044	2	44	3900	"[[4,2.5]]"
2045	2	45	4020	"[[5,20,2]]"
2046	2	46	4140	"[[1,1.2]]"
2047	2	47	4260	"[[2,2.5]]"
2048	2	48	4380	"[[3,1]]"
2049	2	49	4620	"[[4,2.5]]"
2050	2	50	4770	"[[5,20,2]]"
2051	2	51	4920	"[[1,1.2]]"
2052	2	52	5070	"[[2,2.5]]"
2053	2	53	5220	"[[3,1]]"
2054	2	54	5520	"[[4,2.5]]"
2055	2	55	5670	"[[5,20,2]]"
2056	2	56	5820	"[[1,1.2]]"
2057	2	57	5970	"[[2,2.5]]"
2058	2	58	6120	"[[3,1]]"
2059	2	59	6420	"[[4,2.5]]"
2060	2	60	0	"[[5,20,2]]"
3000	3	0	10	[]
3001	3	1	30	"[[1,1.2]]"
3002	3	2	60	"[[2,2.5]]"
3003	3	3	100	"[[3,1]]"
3004	3	4	180	"[[4,2.5]]"
3005	3	5	220	"[[5,30,1]]"
3006	3	6	260	"[[1,1.2]]"
3007	3	7	300	"[[2,2.5]]"
3008	3	8	340	"[[3,1]]"
3009	3	9	420	"[[4,2.5]]"
3010	3	10	470	"[[5,30,1]]"
3011	3	11	520	"[[1,1.2]]"
3012	3	12	570	"[[2,2.5]]"
3013	3	13	620	"[[3,1]]"
3014	3	14	720	"[[4,2.5]]"
3015	3	15	770	"[[5,30,1]]"
3016	3	16	820	"[[1,1.2]]"
3017	3	17	870	"[[2,2.5]]"
3018	3	18	920	"[[3,1]]"
3019	3	19	1020	"[[4,2.5]]"
3020	3	20	1100	"[[5,30,1]]"
3021	3	21	1180	"[[1,1.2]]"
3022	3	22	1260	"[[2,2.5]]"
3023	3	23	1340	"[[3,1]]"
3024	3	24	1500	"[[4,2.5]]"
3025	3	25	1580	"[[5,30,1]]"
3026	3	26	1660	"[[1,1.2]]"
3027	3	27	1740	"[[2,2.5]]"
3028	3	28	1820	"[[3,1]]"
3029	3	29	1980	"[[4,2.5]]"
3030	3	30	2080	"[[5,30,1]]"
3031	3	31	2180	"[[1,1.2]]"
3032	3	32	2280	"[[2,2.5]]"
3033	3	33	2380	"[[3,1]]"
3034	3	34	2580	"[[4,2.5]]"
3035	3	35	2680	"[[5,30,1]]"
3036	3	36	2780	"[[1,1.2]]"
3037	3	37	2880	"[[2,2.5]]"
3038	3	38	2980	"[[3,1]]"
3039	3	39	3180	"[[4,2.5]]"
3040	3	40	3300	"[[5,30,1]]"
3041	3	41	3420	"[[1,1.2]]"
3042	3	42	3540	"[[2,2.5]]"
3043	3	43	3660	"[[3,1]]"
3044	3	44	3900	"[[4,2.5]]"
