string	number	number	number	number	number	number	number	number	number	number	number	number	number	number
id_level	atk	mgc	def	res	hp	critical	accuracy	dodge	skill_level	hp_bar	atk_power	hit_power	kill_power	total_power
3055_1	98	90	30	30	320	0	0	0	1	3	1	0.6	100	200
3010_2	110	70	55	86	500	0	0	0	1	3	1.5	0.6	100	50
3011_3	101	250	61	85	420	0	0	0	1	3	1	0.6	100	100
3009_5	145	280	74	99	1800	0	0	0	1	3	1	0.6	100	150
3077_30	690 	650 	499 	589 	14000 	0	0	0	1	5	1	0.6	100	1570
3035_27	653 	846 	429 	553 	12524 	0	0	0	1	5	1	0.6	100	673
3035_26	487 	840 	419 	415 	7497 	0	0	0	1	3	1	0.6	100	749
3057_22	433 	840 	386 	398 	7497 	0	0	0	1	3	1	0.6	100	749
3055_20	757 	719 	513 	542 	4482 	0	0	0	1	3	1	0.6	100	448
3035_19	653 	699 	414 	474 	6210 	0	0	0	1	5	1	0.6	100	621
3049_18	620 	800 	401 	412 	8000 	0	0	0	1	5	1	0.6	100	583
3045_16	396 	250 	339 	376 	4834 	0	0	0	1	3	1	0.6	100	483
3044_10	320 	286 	164 	199 	8500 	0	0	0	1	5	1	0.6	100	750
3035_8	206 	78 	81 	102 	8000 	0	0	0	1	4	1	0.6	100	800
3038_13	427 	390 	259 	300 	2000 	0	0	0	1	3	1	0.6	100	200
3035_11	500 	258 	199 	238 	5000 	0	0	0	1	4	1	0.6	100	900
3081_8	200 	150 	116 	139 	3000 	0	0	0	1	5	1	0.6	100	200
3082_15	320 	160 	380 	300 	6000 	0	0	0	1	5	1	0.6	100	200
3083_16	332 	272 	392 	312 	7000 	0	0	0	1	5	1	0.6	100	250
3084_20	357 	120 	412 	417 	5565 	0	0	0	1	5	1	0.6	100	320
3085_26	435 	240 	420 	520 	8060 	0	0	0	1	4	1	0.6	100	400
3086_28	655 	294 	430 	434 	8688 	0	0	0	1	5	1	0.6	100	420
3086_70	99999 	99999 	99999 	99999 	999999 	0	0	0	1	7	1	0.6	100	1
8011_28	361 	188 	279 	272 	6919 	0	0	0	1	4	1	0.6	100	583
8012_31	388 	203 	300 	292 	7585 	0	0	0	1	4	1	0.6	100	583
8013_34	417 	217 	322 	311 	8072 	0	0	0	1	5	1	0.6	100	583
8014_37	444 	232 	344 	331 	8560 	0	0	0	1	5	1	0.6	100	583
8015_40	496 	259 	384 	368 	9502 	0	0	0	1	5	1	0.6	100	583
8016_43	525 	274 	407 	389 	10014 	0	0	0	1	5	1	0.6	100	583
8017_46	554 	290 	430 	409 	10525 	0	0	0	1	5	1	0.6	100	583
8018_49	583 	305 	453 	430 	11037 	0	0	0	1	6	1	0.6	100	583
8011_52	630 	329 	475 	450 	11598 	0	0	0	1	6	1	0.6	100	583
8012_55	659 	344 	498 	471 	12110 	0	0	0	1	6	1	0.6	100	583
8013_58	688 	360 	521 	491 	12621 	0	0	0	1	6	1	0.6	100	583
8014_61	755 	394 	565 	533 	13506 	0	0	0	1	6	1	0.6	100	583
8015_64	771 	402 	578 	545 	13665 	0	0	0	1	6	1	0.6	100	583
8016_67	800 	418 	600 	566 	14177 	0	0	0	1	6	1	0.6	100	583
8017_70	813 	425 	611 	574 	14529 	0	0	0	1	6	1	0.6	100	583
8018_73	845 	441 	635 	598 	14847 	0	0	0	1	6	1	0.6	100	583
5001_6	158	158	62	81	1024	0	0	0	1	2	1	0.6	100	102
5006_13	312	258	129	149	1552	0	0	0	1	2	1	0.6	100	155
5005_15	329	275	152	163	1648	0	0	0	1	2	1	0.6	100	164
5010_18	355	301	181	186	1792	0	0	0	1	2	1	0.6	100	179
5001_21	471	417	269	267	2384	0	0	0	1	2	1	0.6	100	238
5008_22	488	437	289	288	2492	0	0	0	1	2	1	0.6	100	249
5012_24	505	454	314	305	2588	0	0	0	1	2	1	0.6	100	258
5006_26	522	471	341	325	2684	0	0	0	1	2	1	0.6	100	268
5011_29	743	746	515	494	4100	0	0	0	1	2	1	0.6	100	410
5004_33	777	780	542	519	4292	0	0	0	1	2	1	0.6	100	429
5017_37	1061	1077	764	743	5864	0	0	0	1	2	1	0.6	100	586
5019_40	1619	1645	1164	1142	8878	0	0	0	1	2	1	0.6	100	887
5002_44	1655	1681	1192	1168	9080	0	0	0	1	2	1	0.6	100	908
5021_46	1867	1911	1391	1391	10298	0	0	0	1	2	1	0.6	100	1029
5022_50	2378	2433	1785	1876	13107	0	0	0	1	2	1	0.6	100	1310
5023_53	2406	2461	1806	1897	13266	0	0	0	1	2	1	0.6	100	1326
5011_56	2783	2855	2107	2216	15360	0	0	0	1	2	1	0.6	100	1536
5006_60	3445	3536	2632	2796	18950	0	0	0	1	2	1	0.6	100	1895
5025_61	3454	3546	2640	2803	19003	0	0	0	1	2	1	0.6	100	1900
5010_63	3473	3565	2654	2818	19109	0	0	0	1	2	1	0.6	100	1910
5017_67	4376	4260	3193	3379	22731	0	0	0	1	2	1	0.6	100	2273
5016_69	4396	4279	3207	3394	22839	0	0	0	1	2	1	0.6	100	2283
5003_70	5136	5024	3776	4006	26768	0	0	0	1	2	1	0.6	100	2676
5025_70	5136	5024	3776	4006	26768	0	0	0	1	2	1	0.6	100	2676
4037_67	8460	8460	6768	6768	508245	0	0	0	1	6	1	0.6	100	50824
4006_64	9180	9180	7344	7344	533045	0	0	0	1	6	1	0.6	100	53304
4005_68	10260	10260	8208	8208	588640	0	0	0	1	6	1	0.6	100	58864
4007_70	10980	10980	8784	8784	614240	0	0	0	1	6	1	0.6	100	61424
4025_73	12060	12060	9648	9648	673035	0	0	0	1	6	1	0.6	100	67303
3005_75	12780	12780	10224	10224	699435	0	0	0	1	6	1	0.6	100	69943
4013_78	13860	13860	11088	11088	761430	0	0	0	1	6	1	0.6	100	76143
3014_80	14580	14580	11664	11664	788630	0	0	0	1	6	1	0.6	100	78863
4061_83	15660	15660	12528	12528	853825	0	0	0	1	7	1	0.6	100	85382
4058_85	16380	16380	13104	13104	881825	0	0	0	1	7	1	0.6	100	88182
4064_88	17460	17460	13968	13968	950220	0	0	0	1	7	1	0.6	100	95022
3013_90	18180	18180	14544	14544	979020	0	0	0	1	7	1	0.6	100	97902
3006_93	19800	19800	15840	15840	1050615	0	0	0	1	7	1	0.6	100	105061
4016_95	20880	20880	16704	16704	1080215	0	0	0	1	7	1	0.6	100	108021
4008_98	22500	22500	18000	18000	1155010	0	0	0	1	7	1	0.6	100	115501
3027_100	23580	23580	18864	18864	1185410	0	0	0	1	7	1	0.6	100	118541
3041_103	25200	25200	20160	20160	1263405	0	0	0	1	7	1	0.6	100	126340
3019_105	26280	26280	21024	21024	1294605	0	0	0	1	7	1	0.6	100	129460
3070_108	27900	27900	22320	22320	1375800	0	0	0	1	7	1	0.6	100	137580
3026_110	28980	28980	23184	23184	1407800	0	0	0	1	7	1	0.6	100	140780
3049_113	30600	30600	24480	24480	1455800	0	0	0	1	7	1	0.6	100	145580
3020_115	31680	31680	25344	25344	1487800	0	0	0	1	7	1	0.6	100	148780
3050_118	33300	33300	26640	26640	1535800	0	0	0	1	7	1	0.6	100	153580
3064_120	34380	34380	27504	27504	1567800	0	0	0	1	7	1	0.6	100	156780
4093_123	36000	36000	28800	28800	1615800	0	0	0	1	7	1	0.6	100	161580
4079_125	37080	37080	29664	29664	1647800	0	0	0	1	7	1	0.6	100	164780
3059_128	38700	38700	30960	30960	1695800	0	0	0	1	7	1	0.6	100	169580
3060_130	39780	39780	31824	31824	1727800	0	0	0	1	7	1	0.6	100	172780
3098_133	41400	41400	33120	33120	1775800	0	0	0	1	7	1	0.6	100	177580
4100_138	44100	44100	35280	35280	1855800	0	0	0	1	7	1	0.6	100	185580
4100_139	45180	45180	36144	36144	1887800	0	0	0	1	7	1	0.6	100	188780
4100_140	47340	47340	37872	37872	1935800	0	0	0	1	7	1	0.6	100	193580
4100_141	48780	48780	39024	39024	1967800	0	0	0	1	7	1	0.6	100	196780
4100_142	50940	50940	40752	40752	2015800	0	0	0	1	7	1	0.6	100	201580
4100_143	52380	52380	41904	41904	2047800	0	0	0	1	7	1	0.6	100	204780
3013_8	380	336	228	228	39700	0	0	0	1	2	1	0.6	100	3970
3021_10	420	480	252	252	54875	0	0	0	1	3	1	0.6	100	5487
4022_13	532	456	336	336	55545	0	0	0	1	3	1	0.6	100	5554
4003_15	608	504	384	384	70680	0	0	0	1	3	1	0.6	100	7068
4038_19	720	638.4	480	480	85080	0	0	0	1	3	1	0.6	100	8508
4001_21	799	729.6	564	564	93480	0	0	0	1	3	1	0.6	100	9348
3017_24	1054	1026	744	744	107880	0	0	0	1	4	1	0.6	100	10788
4036_27	1232	1134	924	924	122280	0	0	0	1	4	1	0.6	100	12228
4055_30	1472	1453.5	1104	1104	136680	0	0	0	1	4	1	0.6	100	13668
4039_32	1620	1708.5	1296	1296	154875	0	0	0	1	4	1	0.6	100	15487
4019_35	1980	1968	1584	1584	173625	0	0	0	1	4	1	0.6	100	17362
4044_38	2340	2208	1872	1872	200070	0	0	0	1	5	1	0.6	100	20007
4069_41	2820	2610	2256	2256	229365	0	0	0	1	5	1	0.6	100	22936
4070_43	3300	2970	2640	2640	245565	0	0	0	1	5	1	0.6	100	24556
3030_46	4020	3510	3216	3216	279860	0	0	0	1	5	1	0.6	100	27986
4068_49	4740	3870	3792	3792	305060	0	0	0	1	5	1	0.6	100	30506
4067_52	5460	4950	4368	4368	347855	0	0	0	1	5	1	0.6	100	34785
4020_54	5940	5670	4752	4752	371055	0	0	0	1	5	1	0.6	100	37105
4021_57	6660	6750	5328	5328	419850	0	0	0	1	6	1	0.6	100	41985
4015_60	7380	7470	5904	5904	455850	0	0	0	1	6	1	0.6	100	45585
4054_63	8460	8550	6768	6768	508245	0	0	0	1	6	1	0.6	100	50824
4009_65	9180	9270	7344	7344	533045	0	0	0	1	6	1	0.6	100	53304
3007_68	10260	10350	8208	8208	588640	0	0	0	1	6	1	0.6	100	58864
3018_72	11700	11070	9360	9360	659835	0	0	0	1	6	1	0.6	100	65983
4037_75	12780	12690	10224	10224	699435	0	0	0	1	6	1	0.6	100	69943
4006_77	13500	13770	10800	10800	747830	0	0	0	1	6	1	0.6	100	74783
4005_80	14580	15390	11664	11664	788630	0	0	0	1	6	1	0.6	100	78863
4007_84	16020	16470	12816	12816	867825	0	0	0	1	7	1	0.6	100	86782
4025_87	17100	18090	13680	13680	935820	0	0	0	1	7	1	0.6	100	93582
3005_89	17820	19170	14256	14256	964620	0	0	0	1	7	1	0.6	100	96462
4013_92	19260	20790	15408	15408	1035815	0	0	0	1	7	1	0.6	100	103581
3014_96	21420	21870	17136	17136	1124610	0	0	0	1	7	1	0.6	100	112461
4061_99	23040	23490	18432	18432	1170210	0	0	0	1	7	1	0.6	100	117021
4058_101	24120	24570	19296	19296	1232205	0	0	0	1	7	1	0.6	100	123220
4064_104	25740	26190	20592	20592	1279005	0	0	0	1	7	1	0.6	100	127900
3013_108	27900	27270	22320	22320	1375800	0	0	0	1	7	1	0.6	100	137580
3006_111	29520	29700	23616	23616	1423800	0	0	0	1	7	1	0.6	100	142380
4016_113	30600	31320	24480	24480	1455800	0	0	0	1	7	1	0.6	100	145580
4008_116	32220	33750	25776	25776	1503800	0	0	0	1	7	1	0.6	100	150380
3027_120	34380	35370	27504	27504	1567800	0	0	0	1	7	1	0.6	100	156780
3041_125	37080	37800	29664	29664	1647800	0	0	0	1	7	1	0.6	100	164780
3019_127	38160	39420	30528	30528	1679800	0	0	0	1	7	1	0.6	100	167980
3070_130	39780	41850	31824	31824	1727800	0	0	0	1	7	1	0.6	100	172780
3026_132	40860	43470	32688	32688	1759800	0	0	0	1	7	1	0.6	100	175980
3049_137	43560	45900	34848	34848	1839800	0	0	0	1	7	1	0.6	100	183980
3020_139	44640	47520	35712	35712	1871800	0	0	0	1	7	1	0.6	100	187180
3050_142	46620	49950	37296	37296	1919800	0	0	0	1	7	1	0.6	100	191980
3064_144	48060	51570	38448	38448	1951800	0	0	0	1	7	1	0.6	100	195180
4093_149	51660	54000	41328	41328	2031800	0	0	0	1	7	1	0.6	100	203180
4079_151	53100	55620	42480	42480	2063800	0	0	0	1	7	1	0.6	100	206380
3059_154	55260	58050	44208	44208	2111800	0	0	0	1	7	1	0.6	100	211180
3060_156	56700	59670	45360	45360	2143800	0	0	0	1	7	1	0.6	100	214380
3021_34	1860	1860	1488	1488	167375	0	0	0	1	4	1	0.6	100	16737
3064_44	3540	3540	2832	2832	253665	0	0	0	1	5	1	0.6	100	25366
4006_54	5940	5940	4752	4752	371055	0	0	0	1	5	1	0.6	100	37105
4009_64	8820	8820	7056	7056	520645	0	0	0	1	6	1	0.6	100	52064
3007_74	12420	12420	9936	9936	686235	0	0	0	1	6	1	0.6	100	68623
4058_84	16020	16020	12816	12816	867825	0	0	0	1	7	1	0.6	100	86782
4020_94	20340	20340	16272	16272	1065415	0	0	0	1	7	1	0.6	100	106541
4025_104	25740	25740	20592	20592	1279005	0	0	0	1	7	1	0.6	100	127900
4037_114	31140	31140	24912	24912	1471800	0	0	0	1	7	1	0.6	100	147180
8006_71	16000	20000	6500	10000	750000	0	0	0	1	7	2	1.2	100	625
8006_1	1	1	1	1	7500	0	0	0	1	7	2	1.2	100	100
8007_71	16000	20000	6500	10000	750000	0	0	0	1	7	2	1.2	100	625
8007_1	1	1	1	1	7500	0	0	0	1	7	2	1.2	100	100
