number	string	number	string	string	string	string	number	number	number	string	number	number	string	number	string	number	number	number
id	id_level	buff_symbol	effect_start	effect	effect_end	info	buff_type	prop_type1	affect_method1	prop_value1	prop_type2	affect_method2	prop_value2	state_type	state_value	effect_times	last_time	cum_times
97	97	2		Buff_520_fire		伤害-1	27	5	1	-38888	0	0	0	0	0	1	1	5
98	98	3	Buff_106_cast	Buff_101_cast		双防+	1	3	0	10	1	0	1.5	3	0	1	999	5
99	99	3				免疫	37	0	0	0	0	0	0	5	0	1	999	5
100	100	1	Buff_108_cast			防御-	2	3	0	-0.15	0	0	0	0	0	1	6	1
101	101	1	Buff_108_cast			防御-	2	3	0	-0.225	0	0	0	0	0	1	9	1
102	102	1	Buff_108_cast			防御-	2	3	0	-0.05	0	0	0	0	0	1	5	3
103	103	1	Buff_108_cast			防御-	2	3	0	-0.05	0	0	0	0	0	1	5	3
104	104	2		Buff_513_fire		混乱3s	3	0	0	0	0	0	0	7	0	1	3	5
105	105	2		Buff_513_fire		混乱3s	3	0	0	0	0	0	0	7	0	1	3	5
106	106	3				回血，免疫3秒	4	5	0	0.8+0.008*%d	0	0	0	5	0	1	3	5
107	107	3				回血，免疫5秒	4	5	0	0.8+0.008*%d	0	0	0	5	0	1	5	5
108	108	2	Buff_110_cast			减技防	5	4	0	-0.04	0	0	0	0	0	1	10	3
109	109	2	Buff_110_cast			减技防	5	4	0	-0.08	0	0	0	0	0	1	10	3
110	110	3	Buff_309_cast			风伤-	6	0	0	0	0	0	0	201	-0.05-0.001*%d	1	999	5
111	111	3	Buff_309_cast			风伤-	6	0	0	0	0	0	0	201	-0.05-0.001*%d	1	999	5
112	112	2	Buff_110_cast			减技防	7	4	0	-0.05-0.001*%d	0	0	0	0	0	1	999	5
113	113	2	Buff_110_cast			减技防	7	4	0	-0.08-0.001*%d	0	0	0	0	0	1	999	5
114	114	2		Buff_513_fire		混乱	3	0	0	0	0	0	0	7	0	1	4	5
115	115	2		Buff_513_fire		混乱	3	0	0	0	0	0	0	7	0	1	5	5
116	116	1	Buff_102_cast			提升防御	5	3	0	0.05+0.001*%d	0	0	0	0	0	1	999	5
117	117	1	Buff_106_cast			提升双防	5	3	0	0.08+0.001*%d	4	0	0.05	0	0	1	999	5
118	118	3				吸血	10	0	0	0	0	0	0	10	0.05+0.001*%d	1	999	5
119	119	3				吸血	10	0	0	0	0	0	0	10	0.08+0.001*%d	1	999	5
