number	string	array2
id	type	item
1	新手大礼包	"[[10001,50000],[11001,10],[12401,2]]"
2	超级体验大便当	"[[10001,300000],[10003,3000],[10013,12],[19002,10],[17502,5],[12401,5],[12402,5],[14200,45],[14201,45],[14202,45],[14203,45],[15001,300]]"
3	自助大礼包	"[[10001,350000],[10003,7000],[15001,500],[12402,5]]"
4	新手礼包	"[[10001,80000],[12402,2],[17102,3],[19002,5]]"
5	特权礼包	"[[10001,100000],[10003,200],[17304,1],[15001,100]]"
6	[UC]新手礼包	"[[10001,50000],[10003,200]]"
7	[UC]特权礼包	"[[12401,2],[10013,1]]"
8	[UC]公会礼包	"[[12401,3],[12402,1],[17502,2]]"
9	[UC]预热礼包1	"[[10001,80000],[10003,300],[10013,2],[12401,2],[12402,2]]"
10	[UC]预热礼包2	"[[10013,8],[11003,3]]"
11	[UC]开服登录礼包	"[[12401,3],[11001,10],[11003,2]]"
12	[UC]召回礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
13	[UC]截图活动礼包	"[[10001,80000],[10003,400],[30016,10]]"
14	[UC]召集礼包	"[[10003,300],[12402,3],[10013,3],[17502,2],[11003,5],[19001,5]]"
15	[UC]入驻礼包	"[[12401,3],[12402,1],[10013,2],[17302,2],[19001,5],[11002,5]]"
16	[拇指玩]新手礼包	"[[10001,50000],[10003,200]]"
17	[拇指玩]和牛牛排美味礼包	"[[11003,3],[10013,3]]"
18	[拇指玩]钻石成长快乐礼包	"[[10001,80000],[10003,300],[10013,2],[12401,2],[12402,2]]"
19	[拇指玩]开服登陆礼包	"[[12401,3],[11001,10],[11003,2]]"
20	[小米]新手礼包	"[[10001,50000],[10003,200]]"
21	[小米]公测礼包	"[[12401,3],[11001,10],[11003,2]]"
22	[小米]专属礼包	"[[12401,2],[10013,1]]"
23	[小米]白金礼包	"[[12401,3],[12402,1],[17502,2]]"
24	[小米]钻石礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
25	[UC]会长礼包	"[[12401,3],[10013,1],[17402,2],[19001,5],[11001,10]]"
26	[豌豆荚]新手礼包	"[[10001,50000],[10003,200]]"
27	[豌豆荚]特权礼包	"[[12401,2],[10013,1]]"
28	[豌豆荚]公会礼包	"[[12401,3],[12402,1],[17502,2]]"
29	[豌豆荚]开服登陆礼包	"[[12401,3],[11001,10],[11003,2]]"
30	[豌豆荚]召回礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
31	[豌豆荚]召集礼包	"[[12402,3],[10003,300],[10013,3],[17502,2],[19001,5],[11003,5]]"
32	[豌豆荚]入驻礼包	"[[12401,3],[12402,1],[10013,2],[17302,2],[19001,5],[11002,5]]"
33	[360]新手礼包	"[[10001,50000],[10003,200]]"
34	[360]特权礼包	"[[12401,2],[10013,1]]"
35	[360]公会礼包	"[[12401,3],[12402,1],[17502,2]]"
36	[360]开服登陆礼包	"[[12401,3],[11001,10],[11003,2]]"
37	[360]召回礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
38	[360]召集礼包	"[[12402,3],[10003,300],[10013,3],[17502,2],[19001,5],[11003,5]]"
39	[360]入驻礼包	"[[12401,3],[12402,1],[10013,2],[17302,2],[19001,5],[11002,5]]"
40	[百度]新手礼包	"[[10001,50000],[10003,200]]"
41	[百度]特权礼包	"[[12401,2],[10013,1]]"
42	[百度]公会礼包	"[[12401,3],[12402,1],[17502,2]]"
43	[百度]开服登陆礼包	"[[12401,3],[11001,10],[11003,2]]"
44	[百度]召回礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
45	[百度]召集礼包	"[[12402,3],[10003,300],[10013,3],[17502,2],[19001,5],[11003,5]]"
46	[百度]入驻礼包	"[[12401,3],[12402,1],[10013,2],[17302,2],[19001,5],[11002,5]]"
47	[华为]新手礼包	"[[10001,50000],[10003,200]]"
48	[华为]特权礼包	"[[12401,2],[10013,1]]"
49	[华为]公会礼包	"[[12401,3],[12402,1],[17502,2]]"
50	[华为]开服登陆礼包	"[[12401,3],[11001,10],[11003,2]]"
51	[华为]召回礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
52	[华为]召集礼包	"[[12402,3],[10003,300],[10013,3],[17502,2],[19001,5],[11003,5]]"
53	[华为]入驻礼包	"[[12401,3],[12402,1],[10013,2],[17302,2],[19001,5],[11002,5]]"
54	[当乐]新手礼包	"[[10001,50000],[10003,200]]"
55	[当乐]特权礼包	"[[12401,2],[10013,1]]"
56	[当乐]公会礼包	"[[12401,3],[12402,1],[17502,2]]"
57	[当乐]开服登陆礼包	"[[12401,3],[11001,10],[11003,2]]"
58	[当乐]召回礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
59	[当乐]召集礼包	"[[12402,3],[10003,300],[10013,3],[17502,2],[19001,5],[11003,5]]"
60	[当乐]入驻礼包	"[[12401,3],[12402,1],[10013,2],[17302,2],[19001,5],[11002,5]]"
61	[应用汇]新手礼包	"[[10001,50000],[10003,200]]"
62	[应用汇]特权礼包	"[[12401,2],[10013,1]]"
