number	string	number	number	number	number	number	number
item_id	name	base_value	max_value	min_value	income_rate	cost	islimit
30001	柳蘭の情報	20	60	7	1.1	1000	100
30002	ロレッタの情報	40	120	15	1.1	1000	100
30003	葵華姫の情報	16	48	6	50	1000	100
30004	冥翠の情報	16	48	6	1.1	1000	100
30005	美巴瑠の情報	16	48	6	1.1	1000	100
30006	望乃の情報	25	75	9	1.1	1000	100
30007	ノエリアの情報	16	48	6	1.1	1000	100
30008	麗雅の情報	25	75	9	1.1	1000	100
30009	クラレッタの情報	16	48	6	1.1	1000	100
30010	イレーネの情報	25	75	9	1.1	1000	100
30011	キャロルの情報	16	48	6	1.1	1000	100
30012	マクシーンの情報	40	120	15	1.1	1000	100
30013	フランカの情報	25	75	9	1.1	1000	100
30014	水桃の情報	16	48	6	1.1	1000	100
30015	フルールの情報	25	75	9	1.1	1000	100
30016	リーゼロッテの情報	16	48	6	1.1	1000	100
30017	リリヤの情報	25	75	9	1.1	1000	100
30018	ディオニシスの情報	16	48	6	1.1	1000	100
30019	リンジーの情報	40	120	15	1.1	1000	100
30020	リーヌの情報	20	60	7	1.1	1000	100
30021	オルガの情報	25	75	9	1.1	1000	100
30022	ミリアムの情報	16	48	6	1.1	1000	100
30023	エミリの情報	16	48	6	1.1	1000	100
30024	ウルリカ?の情報	20	60	7	1.1	1000	100
30025	エルマの情報	25	75	9	1.1	1000	100
30026	ルミアの情報	20	60	7	1.1	1000	100
30027	湛卢碎片	20	60	7	200	1000	100
30028	雷切碎片	30	90	11	1.1	1000	100
30029	鬼彻碎片	30	90	11	1.1	1000	100
30030	ロシェルの情報	30	90	11	26.67	1000	100
30031	ティアナの情報	50	150	18	1.1	1000	100
30032	恵那の情報	30	90	11	50	1000	100
30033	承影碎片	50	150	18	240	1000	100
30034	七星龙渊碎片	30	90	11	1.1	1000	100
30035	轩辕碎片	40	120	15	1.1	1000	100
30036	大夏龙雀碎片	25	75	9	80	1000	100
30037	纳西尔圣剑碎片	30	90	11	1.1	1000	100
30038	葵文越前碎片	30	90	11	1.1	1000	100
30039	瑞佩尔碎片	30	90	11	1.1	1000	100
30040	莎拉维尔碎片	25	75	9	1.1	1000	100
30041	トゥーラの情報	25	75	9	1.1	1000	100
30042	アリーチェの情報	25	75	9	1.1	1000	100
30043	纯钧碎片	25	75	9	1.1	1000	100
30044	陆奥守吉行碎片	25	75	9	1.1	1000	100
30045	焰形剑碎片	25	75	9	1.1	1000	100
30046	加贺清光碎片	25	75	9	1.1	1000	100
30047	克莉斯碎片	25	75	9	1.1	1000	100
30048	棒球碎片	25	75	9	1.1	1000	100
30049	九尾碎片	25	75	9	1.1	1000	100
30050	沥泉枪碎片	25	75	9	1.1	1000	100
30051	火陨碎片	25	75	9	1.1	1000	100
30052	赤霄碎片	25	75	9	1.1	1000	100
30053	灵翼碎片	25	75	9	1.1	1000	100
30054	千棘碎片	25	75	9	1.1	1000	100
30055	麻麻碎片	25	75	9	1.1	1000	100
30056	朱雀碎片	25	75	9	1.1	1000	100
30057	巨镰碎片	25	75	9	1.1	1000	100
30058	震天弓碎片	25	75	9	1.1	1000	100
30059	深緑の情報	25	75	9	1.1	1000	100
30060	四季の情報	25	75	9	1.1	1000	100
30061	アンバーの情報	25	75	9	1.1	1000	100
30101	疾風怒濤の情報	50	150	18	1.1	1000	100
30102	電光石火の情報	50	150	18	1.1	1000	100
30103	有象無象の情報	50	150	18	1.1	1000	100
