number	string	string	array	array	string	string
id	name	background	source_ids	source_condition	begin_date	end_date
201501	努力开发	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	1/1/2015 0:00	1/1/2015 23:59
201502	才不要治我的中二病呢	201501	"[2015011,2015012,2015014]"	"[10,20,31]"	2/1/2015 0:00	2/28/2015 23:59
201503	舰娘主题月poi！	201501	"[2015011,2015012,2015015]"	"[10,20,32]"	3/1/2015 0:00	3/31/2015 23:59
201504	这是四月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	4/1/2015 0:00	4/30/2015 23:59
201505	这是五月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	5/1/2015 0:00	5/31/2015 23:59
201506	这是六月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	6/1/2015 0:00	6/30/2015 23:59
201507	这是七月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	7/1/2015 0:00	7/31/2015 23:59
201508	这是八月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	8/1/2015 0:00	8/31/2015 23:59
201509	这是九月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	9/1/2015 0:00	9/30/2015 23:59
201510	这是十月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	10/1/2015 0:00	10/31/2015 23:59
201511	这是十一月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	11/1/2015 0:00	11/30/2015 23:59
201512	这是十二月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	12/1/2015 0:00	12/31/2015 23:59
201601	这是一月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	1/1/2016 0:00	1/31/2016 23:59
201602	这是二月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	2/1/2016 0:00	2/29/2016 23:59
201603	这是三月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	3/1/2016 0:00	3/31/2016 23:59
201604	这是四月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	4/1/2016 0:00	4/30/2016 23:59
201605	这是五月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	5/1/2016 0:00	5/31/2016 23:59
201606	这是六月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	6/1/2016 0:00	6/30/2016 23:59
201607	这是七月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	7/1/2016 0:00	7/31/2016 23:59
201608	这是八月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	8/1/2016 0:00	9/30/2016 23:59
201609	这是九月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	9/1/2016 0:00	10/31/2016 23:59
201610	这是十月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	10/1/2016 0:00	11/30/2016 23:59
201611	这是十一月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	11/1/2016 0:00	12/31/2016 23:59
201612	这是十二月的	201501	"[2015011,2015012,2015013]"	"[10,20,30]"	12/1/2016 0:00	1/31/2017 23:59
