number	number	number	array	number	number
id	data	day	reward	vip_level	times
1001	10	1	"[10001,15000]"	0	0
1002	10	2	"[15001,100]"	0	0
1003	10	3	"[30020,10]"	0	0
1004	10	4	"[10003,50]"	0	0
1005	10	5	"[24001,30]"	0	0
1006	10	6	"[10001,20000]"	0	0
1007	10	7	"[15001,150]"	0	0
1008	10	8	"[30020,10]"	0	0
1009	10	9	"[10003,50]"	0	0
1010	10	10	"[24001,30]"	0	0
1011	10	11	"[10001,25000]"	0	0
1012	10	12	"[15001,200]"	0	0
1013	10	13	"[30020,10]"	0	0
1014	10	14	"[10003,50]"	0	0
1015	10	15	"[24001,30]"	0	0
1016	10	16	"[10001,30000]"	0	0
1017	10	17	"[15001,200]"	0	0
1018	10	18	"[30020,10]"	0	0
1019	10	19	"[10003,50]"	0	0
1020	10	20	"[24001,30]"	0	0
1021	10	21	"[10001,40000]"	0	0
1022	10	22	"[15001,250]"	0	0
1023	10	23	"[30020,10]"	0	0
1024	10	24	"[10003,100]"	0	0
1025	10	25	"[24001,30]"	0	0
1026	10	26	"[10001,50000]"	0	0
1027	10	27	"[15001,250]"	0	0
1028	10	28	"[30020,10]"	0	0
1029	10	29	"[10003,150]"	0	0
1030	10	30	"[24001,30]"	0	0
1031	10	31	"[10001,60000]"	0	0
1101	11	1	"[10001,15000]"	0	0
1102	11	2	"[15001,100]"	0	0
1103	11	3	"[30020,10]"	0	0
1104	11	4	"[10003,50]"	0	0
1105	11	5	"[24001,30]"	0	0
1106	11	6	"[10001,20000]"	0	0
1107	11	7	"[15001,150]"	0	0
1108	11	8	"[30020,10]"	0	0
1109	11	9	"[10003,50]"	0	0
1110	11	10	"[24001,30]"	0	0
1111	11	11	"[10001,25000]"	0	0
1112	11	12	"[15001,200]"	0	0
1113	11	13	"[30020,10]"	0	0
1114	11	14	"[10003,50]"	0	0
1115	11	15	"[24001,30]"	0	0
1116	11	16	"[10001,30000]"	0	0
1117	11	17	"[15001,200]"	0	0
1118	11	18	"[30020,10]"	0	0
1119	11	19	"[10003,50]"	0	0
1120	11	20	"[24001,30]"	0	0
1121	11	21	"[10001,40000]"	0	0
1122	11	22	"[15001,250]"	0	0
1123	11	23	"[30020,10]"	0	0
1124	11	24	"[10003,100]"	0	0
1125	11	25	"[24001,30]"	0	0
1126	11	26	"[10001,50000]"	0	0
1127	11	27	"[15001,250]"	0	0
1128	11	28	"[30020,10]"	0	0
1129	11	29	"[10003,150]"	0	0
1130	11	30	"[24001,30]"	0	0
1201	12	1	"[10001,15000]"	0	0
1202	12	2	"[15001,100]"	0	0
1203	12	3	"[30020,10]"	0	0
1204	12	4	"[10003,50]"	0	0
1205	12	5	"[24001,30]"	0	0
1206	12	6	"[10001,20000]"	0	0
1207	12	7	"[15001,150]"	0	0
1208	12	8	"[30020,10]"	0	0
1209	12	9	"[10003,50]"	0	0
1210	12	10	"[24001,30]"	0	0
1211	12	11	"[10001,25000]"	0	0
1212	12	12	"[15001,200]"	0	0
1213	12	13	"[30020,10]"	0	0
1214	12	14	"[10003,50]"	0	0
1215	12	15	"[24001,30]"	0	0
1216	12	16	"[10001,30000]"	0	0
1217	12	17	"[15001,200]"	0	0
1218	12	18	"[30020,10]"	0	0
1219	12	19	"[10003,50]"	0	0
1220	12	20	"[24001,30]"	0	0
1221	12	21	"[10001,40000]"	0	0
1222	12	22	"[15001,250]"	0	0
1223	12	23	"[30020,10]"	0	0
1224	12	24	"[10003,100]"	0	0
1225	12	25	"[24001,30]"	0	0
1226	12	26	"[10001,50000]"	0	0
1227	12	27	"[15001,250]"	0	0
1228	12	28	"[30020,10]"	0	0
1229	12	29	"[10003,150]"	0	0
1230	12	30	"[24001,30]"	0	0
1231	12	31	"[10001,60000]"	0	0
101	1	1	"[10001,15000]"	0	0
102	1	2	"[15001,100]"	0	0
103	1	3	"[30020,10]"	0	0
104	1	4	"[10003,50]"	0	0
105	1	5	"[24001,30]"	0	0
106	1	6	"[10001,20000]"	0	0
107	1	7	"[15001,150]"	0	0
108	1	8	"[30020,10]"	0	0
109	1	9	"[10003,50]"	0	0
110	1	10	"[24001,30]"	0	0
111	1	11	"[10001,25000]"	0	0
112	1	12	"[15001,200]"	0	0
113	1	13	"[30020,10]"	0	0
114	1	14	"[10003,50]"	0	0
115	1	15	"[24001,30]"	0	0
116	1	16	"[10001,30000]"	0	0
117	1	17	"[15001,200]"	0	0
118	1	18	"[30020,10]"	0	0
119	1	19	"[10003,50]"	0	0
120	1	20	"[24001,30]"	0	0
121	1	21	"[10001,40000]"	0	0
122	1	22	"[15001,250]"	0	0
123	1	23	"[30020,10]"	0	0
124	1	24	"[10003,100]"	0	0
125	1	25	"[24001,30]"	0	0
126	1	26	"[10001,50000]"	0	0
127	1	27	"[15001,250]"	0	0
128	1	28	"[30020,10]"	0	0
129	1	29	"[10003,150]"	0	0
130	1	30	"[24001,30]"	0	0
131	1	31	"[10001,60000]"	0	0
201	2	1	"[10001,15000]"	0	0
202	2	2	"[15001,100]"	0	0
203	2	3	"[30020,10]"	0	0
204	2	4	"[10003,50]"	0	0
205	2	5	"[24001,30]"	0	0
206	2	6	"[10001,20000]"	0	0
207	2	7	"[15001,150]"	0	0
208	2	8	"[30020,10]"	0	0
209	2	9	"[10003,50]"	0	0
210	2	10	"[24001,30]"	0	0
211	2	11	"[10001,25000]"	0	0
212	2	12	"[15001,200]"	0	0
213	2	13	"[30020,10]"	0	0
214	2	14	"[10003,50]"	0	0
215	2	15	"[24001,30]"	0	0
216	2	16	"[10001,30000]"	0	0
217	2	17	"[15001,200]"	0	0
218	2	18	"[30020,10]"	0	0
219	2	19	"[10003,50]"	0	0
220	2	20	"[24001,30]"	0	0
221	2	21	"[10001,40000]"	0	0
222	2	22	"[15001,250]"	0	0
223	2	23	"[30020,10]"	0	0
224	2	24	"[10003,100]"	0	0
225	2	25	"[24001,30]"	0	0
226	2	26	"[10001,50000]"	0	0
227	2	27	"[15001,250]"	0	0
228	2	28	"[30020,10]"	0	0
301	3	1	"[10001,15000]"	0	0
302	3	2	"[15001,100]"	0	0
303	3	3	"[30020,10]"	0	0
304	3	4	"[10003,50]"	0	0
305	3	5	"[24001,30]"	0	0
306	3	6	"[10001,20000]"	0	0
307	3	7	"[15001,150]"	0	0
308	3	8	"[30020,10]"	0	0
309	3	9	"[10003,50]"	0	0
310	3	10	"[24001,30]"	0	0
311	3	11	"[10001,25000]"	0	0
312	3	12	"[15001,200]"	0	0
313	3	13	"[30020,10]"	0	0
314	3	14	"[10003,50]"	0	0
315	3	15	"[24001,30]"	0	0
316	3	16	"[10001,30000]"	0	0
317	3	17	"[15001,200]"	0	0
318	3	18	"[30020,10]"	0	0
319	3	19	"[10003,50]"	0	0
320	3	20	"[24001,30]"	0	0
321	3	21	"[10001,40000]"	0	0
322	3	22	"[15001,250]"	0	0
323	3	23	"[30020,10]"	0	0
324	3	24	"[10003,100]"	0	0
325	3	25	"[24001,30]"	0	0
326	3	26	"[10001,50000]"	0	0
327	3	27	"[15001,250]"	0	0
328	3	28	"[30020,10]"	0	0
329	3	29	"[10003,150]"	0	0
330	3	30	"[24001,30]"	0	0
331	3	31	"[10001,60000]"	0	0
401	4	1	"[10001,15000]"	0	0
402	4	2	"[15001,100]"	0	0
403	4	3	"[30020,10]"	0	0
404	4	4	"[10003,50]"	0	0
405	4	5	"[24001,30]"	0	0
406	4	6	"[10001,20000]"	0	0
407	4	7	"[15001,150]"	0	0
408	4	8	"[30020,10]"	0	0
409	4	9	"[10003,50]"	0	0
410	4	10	"[24001,30]"	0	0
411	4	11	"[10001,25000]"	0	0
412	4	12	"[15001,200]"	0	0
413	4	13	"[30020,10]"	0	0
