number	string	string	number	number	number	number	number	number	number	number
id	name	description	rare	hero1	hero2	hero3	hero4	hero5	effect	effect_value
801	携手共进	和1个英雄	4	-1	-1	0	0	0	1	0.1
802	呼朋引伴	2	5	-1	-1	-1	0	0	4	0.3
803	名声在外	3	5	-1	-1	-1	-1	0	1	0.2
804	团结一心	4	5	-1	-1	-1	-1	-1	1	0.3
805	金苹果	雅典娜、赫拉、维纳斯、	5	2002	2075	2005	0	0	3	0.35
806	雌雄战神	雅典娜、阿瑞斯	5	2002	2007	0	0	0	4	0.25
807	英仙之力	雅典娜、珀修斯	4	2002	2107	0	0	0	4	0.2
808	女神联盟	雅典娜、阿波罗	5	2002	2004	0	0	0	7	0.25
809	海天盛筵	宙斯、波塞冬	5	2003	2076	0	0	0	1	0.25
810	天渊之别	宙斯、哈迪斯	5	2003	2077	0	0	0	4	0.25
811	众神之源	宙斯、波塞冬、哈迪斯、	5	2003	2076	2077	0	0	5	0.3
812	第一家庭	宙斯、赫拉	5	2003	2075	0	0	0	1	0.25
813	盗天火	阿波罗、普罗米修斯	4	2004	2008	0	0	0	1	0.2
814	热情之火	阿波罗、普罗米修斯、赫斐斯托斯、	5	2004	2008	2079	0	0	5	0.2
815	日月光华	阿波罗、阿尔忒弥斯	5	2004	2078	0	0	0	1	0.25
816	亲密爱人	维纳斯、阿瑞斯	5	2005	2007	0	0	0	1	0.2
817	双鱼座	维纳斯、丘比特	4	2005	2006	0	0	0	4	0.15
818	爱的结晶	维纳斯、丘比特、阿瑞斯、	5	2005	2006	2007	0	0	1	0.2
819	战神荣耀	阿瑞斯、列奥尼达	4	2007	2049	0	0	0	5	0.25
820	北欧之王	奥丁、托尔	5	2012	2018	0	0	0	1	0.25
821	永恒之枪	奥丁、洛基	4	2012	2019	0	0	0	1	0.25
822	奥丁之誓	奥丁、瓦尔基里	4	2012	2014	0	0	0	4	0.3
823	圣域父子	奥丁、托尔、洛基、	5	2012	2018	2019	0	0	5	0.25
824	圣域之盾	托尔、海姆达尔	4	2018	2020	0	0	0	2	0.2
825	邪不胜正	托尔、洛基、海姆达尔、	4	2018	2019	2020	0	0	4	0.2
826	奶路银河	赫拉、海格力斯	4	2075	2009	0	0	0	4	0.15
827	第一夫人	赫拉、贝瑟芬妮	4	2075	2090	0	0	0	1	0.15
828	拥抱海洋	波塞冬、忒修斯	4	2076	2081	0	0	0	4	0.25
829	拯救仙女	波塞冬、珀修斯	4	2076	2107	0	0	0	1	0.2
830	冥府伉俪	哈迪斯、贝瑟芬妮	4	2077	2090	0	0	0	4	0.25
