number	string	string	string	number	number	number	number	number	number
id	name	icon	description	type	attribute	base_value	upgrade_lv	can_rank	rank
13027	木の剣	13027	木を刀剣の形にしたもの。	5	1	18	100	1	1
13028	魔法の棒	13028	いたって普通の棒のようだが…？	5	1	49	100	1	2
13029	蟹爪の長槍	13029	カニ型モンスターの爪を使って作られたそうだ。	5	1	84	100	1	3
13030	女王のムチ	13030	打たれるとすごくきもち…痛いムチだ。	5	1	123	100	1	4
13031	水晶玉	13031	未来が見えるかもしれない。	5	1	165	100	1	5
13032	京扇子	13032	高級感溢れる良い品です。	5	1	212	100	1	6
13033	賢者の杖	13033	かつて賢者が使ったとされる杖。	5	1	263	100	1	7
13034	暗黒軍刀	13034	黒く輝くその切れ味は必見。	5	1	319	100	1	8
13035	夢幻の傘	13035	耳を澄ませばピアノの音色が聴こえる…。	5	1	381	100	1	9
13036	校章	13036	学園内でも選ばれた人しかつける事が出来ない。	9	2	18	100	1	1
13037	ハマナス	13037	ロマンティックあげたいよ。	9	2	49	100	1	2
13038	ブローチ	13038	ハートのような貝殻でできたブローチ。	9	2	84	100	1	3
13039	ウサギ紋章	13039	とてもかわいいもんしょうだね（棒）	9	2	123	100	1	4
13040	星の涙	13040	本当に星が泣くわけではない。	9	2	165	100	1	5
13041	燦爛	13041	強く輝く豪華な宝飾品。	9	2	212	100	1	6
13042	太陽の紋章	13042	信念の強い者だけがつける事が許される。	9	2	263	100	1	7
13043	名誉勲章	13043	最も高位に位置する勲章である。	9	2	319	100	1	8
13044	勲章	13044	勲章を授ける。	9	2	381	100	1	9
13045	ブレザー	13045	普通の制服である。	2	5	36	100	1	1
13046	魔法の服	13046	魔法使いに似合う服。	2	5	99	100	1	2
13047	海風	13047	海風を感じる。	2	5	169	100	1	3
13048	バニーガール	13048	これはとても素晴らしい衣装です。	2	5	246	100	1	4
13049	女神転生	13049	女神の力を宿す。	2	5	331	100	1	5
13050	畏敬の念	13050	おそれうやまえとのこと。	2	5	424	100	1	6
13051	闇の料理	13051	そのレシピに手を出してはいけない…。	2	5	526	100	1	7
13052	軍服?上	13052	気持ちを引き締めよ。	2	5	639	100	1	8
13053	花嫁	13053	永遠の愛を誓います。	2	5	763	100	1	9
13054	スカート	13054	5回くらい折ってる！	3	3	14	100	1	1
13055	魔法のズボン	13055	魔法使いに似合うと思うズボン。	3	3	37	100	1	2
13056	水着	13056	海に行こう！あ、プールでも良いよ！	3	3	63	100	1	3
13057	ストッキング	13057	目指せ美脚！	3	3	92	100	1	4
13058	月の光	13058	導かれ???。	3	3	124	100	1	5
13059	嬢様	13059	美しき色香。	3	3	159	100	1	6
13060	綿スト	13060	意外とあったかい。	3	3	197	100	1	7
13061	軍服?下	13061	どんな物事にも動じない。	3	3	239	100	1	8
13062	花嫁インナー	13062	花嫁用。	3	3	286	100	1	9
13063	野球帽	13063	真夏の青春の証。	1	4	14	100	1	1
13064	魔法の帽子	13064	魔法使い用。ハトは出ない。	1	4	37	100	1	2
13065	海パン	13065	なんと頭に被る用。	1	4	63	100	1	3
13066	うさ耳	13066	バニーガールに変身しよう！	1	4	92	100	1	4
13067	満天の星空	13067	空気が澄んでいる証。	1	4	124	100	1	5
13068	物語	13068	そして思いがけなく出会うであろう。	1	4	159	100	1	6
13069	礼帽	13069	紳士の証なのだが、ちょっとオシャレ寄り。	1	4	197	100	1	7
13070	司令官	13070	敬礼！	1	4	239	100	1	8
13071	幻の糸	13071	幻とされる噂の糸。	1	4	286	100	1	9
13072	また開放しない	13072	また開放しない	5	1	448	100	1	10
13073	また開放しない	13073	また開放しない	9	2	448	100	1	10
13074	また開放しない	13074	また開放しない	2	5	896	100	1	10
13075	また開放しない	13075	また開放しない	3	3	348	100	1	10
13076	また開放しない	13076	また開放しない	1	4	348	100	1	10
13077	また開放しない	13077	また開放しない	5	1	520	100	1	11
13078	また開放しない	13078	また開放しない	9	2	520	100	1	11
13079	また開放しない	13079	また開放しない	2	5	1040	100	1	11
13080	また開放しない	13080	また開放しない	3	3	404	100	1	11
13081	また開放しない	13081	また開放しない	1	4	404	100	1	11
13082	また開放しない	13082	また開放しない	5	1	597	100	1	12
13083	また開放しない	13083	また開放しない	9	2	597	100	1	12
13084	また開放しない	13084	また開放しない	2	5	1194	100	1	12
13085	また開放しない	13085	また開放しない	3	3	464	100	1	12
13086	また開放しない	13086	また開放しない	1	4	464	100	1	12
13087	また開放しない	13087	また開放しない	5	1	679	100	1	13
13088	また開放しない	13088	また開放しない	9	2	679	100	1	13
13089	また開放しない	13089	また開放しない	2	5	1358	100	1	13
13090	また開放しない	13090	また開放しない	3	3	528	100	1	13
13091	また開放しない	13091	また開放しない	1	4	528	100	1	13
13092	また開放しない	13092	また開放しない	5	1	769	100	0	14
13093	また開放しない	13093	また開放しない	9	2	769	100	0	14
13094	また開放しない	13094	また開放しない	2	5	1538	100	0	14
13095	また開放しない	13095	また開放しない	3	3	598	100	0	14
13096	また開放しない	13096	また開放しない	1	4	598	100	0	14
13097	伝説装備	13092	伝説装備	5	1	769	100	0	15
13098	伝説装備	13093	伝説装備	9	2	769	100	0	15
13099	伝説装備	13094	伝説装備	2	5	1538	100	0	15
13100	伝説装備	13095	伝説装備	3	3	598	100	0	15
13101	伝説装備	13096	伝説装備	1	4	598	100	0	15
