number	number	number	number	number	number	number	number	number	number	number
id	level	rankup_id	stuff_1	stuff_1_num	stuff_2	stuff_2_num	stuff_3	stuff_3_num	stuff_4	stuff_4_num
13027	10	13028	12001	2	12002	1				
13028	20	13029	12101	3	12102	2	12103	1	12401	1
13029	30	13030	12102	4	12108	3	12109	1	12402	1
13030	40	13031	12101	5	12105	4	12111	2	12402	1
13031	50	13032	12107	6	12113	4	12111	2	12402	1
13032	60	13033	12201	7	12204	6	12202	3	12406	1
13033	70	13034	12209	8	12201	6	12210	3	12406	1
13034	80	13035	12212	9	12214	8	12205	4	12406	1
13035	90	13072	12301	10	12302	10	12303	6	12407	1
13036	10	13037	12001	2	12003	1				
13037	20	13038	12101	3	12105	2	12107	1	12401	1
13038	30	13039	12101	4	12110	3	12109	1	12402	1
13039	40	13040	12113	5	12112	4	12110	2	12402	1
13040	50	13041	12110	6	12114	4	12112	2	12402	1
13041	60	13042	12202	7	12206	6	12207	3	12406	1
13042	70	13043	12209	8	12210	6	12211	3	12406	1
13043	80	13044	12205	9	12212	8	12213	4	12406	1
13044	90	13073	12304	10	12305	10	12306	6	12407	1
13045	10	13046	12002	2	12004	1				
13046	20	13047	12106	3	12102	2	12105	1	12401	1
13047	30	13048	12106	4	12112	3	12103	1	12402	1
13048	40	13049	12109	5	12102	4	12108	2	12402	1
13049	50	13050	12109	6	12113	4	12108	2	12402	1
13050	60	13051	12203	7	12201	6	12206	3	12406	1
13051	70	13052	12203	8	12209	6	12202	3	12406	1
13052	80	13053	12214	9	12210	8	12213	4	12406	1
13053	90	13074	12303	10	12306	10	12307	6	12407	1
13054	10	13055	12003	2	12005	1				
13055	20	13056	12103	3	12104	2	12107	1	12401	1
13056	30	13057	12104	4	12110	3	12111	1	12402	1
13057	40	13058	12115	5	12114	4	12103	2	12402	1
13058	50	13059	12115	6	12114	4	12105	2	12402	1
13059	60	13060	12205	7	12203	6	12208	3	12406	1
13060	70	13061	12204	8	12210	6	12211	3	12406	1
13061	80	13062	12212	9	12202	8	12213	4	12406	1
13062	90	13075	12304	10	12301	10	12307	6	12407	1
13063	10	13064	12004	2	12005	1				
13064	20	13065	12104	3	12108	2	12106	1	12401	1
13065	30	13066	12105	4	12111	3	12112	1	12402	1
13066	40	13067	12106	5	12104	4	12107	2	12402	1
13067	50	13068	12102	6	12115	4	12104	2	12402	1
13068	60	13069	12205	7	12204	6	12207	3	12406	1
13069	70	13070	12205	8	12211	6	12206	3	12406	1
13070	80	13071	12204	9	12214	8	12203	4	12406	1
13071	90	13076	12305	10	12302	10	12307	6	12407	1
13072	90	13077	12303	12	12304	10	12307	6	12407	1
13073	90	13078	12306	12	12305	10	12307	6	12407	1
13074	90	13079	12301	12	12302	10	12307	6	12407	1
13075	90	13080	12304	12	12303	10	12301	6	12407	1
13076	90	13081	12305	12	12306	10	12302	6	12407	1
13077	90	13082	12310	15	12311	10	12314	8	12407	1
13078	90	13083	12313	15	12312	10	12314	8	12407	1
13079	90	13084	12308	15	12309	10	12314	8	12407	1
13080	90	13085	12311	15	12310	10	12308	8	12407	1
13081	90	13086	12312	15	12313	10	12309	8	12407	1
13082	90	13087	12310	15	12311	12	12314	8	12410	1
13083	90	13088	12313	15	12312	12	12314	8	12410	1
13084	90	13089	12308	15	12309	12	12314	8	12410	1
13085	90	13090	12311	15	12310	12	12308	8	12410	1
13086	90	13091	12312	15	12313	12	12309	8	12410	1
13087	90	13092	12318	20	12319	20	12320	20	12411	2
13088	90	13093	12318	20	12319	20	12321	20	12411	2
13089	90	13094	12322	20	12320	20	12321	20	12411	2
13090	90	13095	12322	20	12320	20	12319	20	12411	2
13091	90	13096	12318	20	12321	20	12322	20	12411	2
13092	90	13097	12499	100						
13093	90	13098	12499	100						
13094	90	13099	12499	100						
13095	90	13100	12499	100						
13096	90	13101	12499	100						
