number	number
strength_lv	money
1	57
2	74
3	93
4	134
5	181
6	292
7	333
8	404
9	479
10	606
11	812
12	920
13	1033
14	1091
15	1261
16	1652
17	1792
18	1933
19	2071
20	3170
21	4305
22	4660
23	5024
24	5396
25	5783
26	6179
27	6584
28	6997
29	7421
30	9132
31	9647
32	10166
33	10699
34	11237
35	11784
36	12340
37	12903
38	13471
39	14049
40	15540
41	16178
42	16807
43	17446
44	18087
45	18734
46	19385
47	20041
48	20700
49	21362
50	28749
51	29621
52	30493
53	31370
54	32247
55	36436
56	37397
57	38365
58	39329
59	40292
60	45975
61	46969
62	48443
63	49881
64	51282
65	52645
66	53960
67	55266
68	56560
69	57849
70	67850
71	68528
72	69213
73	69906
74	70604
75	71311
76	72023
77	72744
78	73471
79	74206
80	84052
81	84805
82	85565
83	86334
84	87109
85	87892
86	88684
87	89483
88	90290
89	91106
90	101149
91	101974
92	102806
93	102806
94	102806
95	102806
96	102806
97	102806
98	102806
99	102806
100	113836
