number	number	number	number	array2
id	event_id	order	goal_point	reward
1001	1	1	500	"[[10001,20000]]"
1002	1	2	1000	"[[10003,30]]"
1003	1	3	1500	"[[10012,5]]"
1004	1	4	2000	"[[15001,100]]"
1005	1	5	2500	"[[10003,10]]"
1006	1	6	3000	"[[10001,25000]]"
1007	1	7	3500	"[[10003,30]]"
1008	1	8	4500	"[[19001,1]]"
1009	1	9	5500	"[[30026,5]]"
1010	1	10	6500	"[[10012,5]]"
1011	1	11	7500	"[[10003,10]]"
1012	1	12	8500	"[[16001,10]]"
1013	1	13	9500	"[[10001,30000]]"
1014	1	14	10500	"[[10003,40]]"
1015	1	15	11500	"[[19002,1]]"
1016	1	16	12500	"[[14201,3]]"
1017	1	17	13500	"[[10013,1]]"
1018	1	18	14500	"[[12402,1]]"
1019	1	19	15500	"[[15001,150]]"
1020	1	20	16500	"[[10001,35000]]"
1021	1	21	17500	"[[30026,5]]"
1022	1	22	18500	"[[14200,3]]"
1023	1	23	19500	"[[16001,10]]"
1024	1	24	20500	"[[19003,1]]"
1025	1	25	21500	"[[10012,5]]"
1026	1	26	22500	"[[12402,1]]"
1027	1	27	23500	"[[10013,1]]"
1028	1	28	24500	"[[10003,10]]"
1029	1	29	25500	"[[39999,1]]"
1030	1	30	26500	"[[14202,3]]"
1031	1	31	27500	"[[10001,40000]]"
1032	1	32	28500	"[[30026,10]]"
1033	1	33	29500	"[[16001,10]]"
1034	1	34	30500	"[[19004,1]]"
1035	1	35	31500	"[[10012,5]]"
1036	1	36	32500	"[[10001,45000]]"
1037	1	37	33500	"[[15001,200]]"
1038	1	38	34500	"[[12402,2]]"
1039	1	39	35500	"[[10001,50000]]"
1040	1	40	36500	"[[16001,10]]"
1041	1	41	37500	"[[14203,3]]"
1042	1	42	38500	"[[19003,1]]"
1043	1	43	39500	"[[10003,50]]"
1044	1	44	40500	"[[10013,1]]"
1045	1	45	41500	"[[12402,2]]"
1046	1	46	42500	"[[10075,1]]"
1047	1	47	43500	"[[19001,1]]"
1048	1	48	44500	"[[30026,10]]"
1049	1	49	45500	"[[14203,5]]"
1050	1	50	46500	"[[10001,55000]]"
1051	1	51	47500	"[[19002,1]]"
1052	1	52	48500	"[[16001,10]]"
1053	1	53	49500	"[[10012,5]]"
1054	1	54	50500	"[[10003,25]]"
1055	1	55	51500	"[[14202,5]]"
1056	1	56	52500	"[[10001,60000]]"
1057	1	57	53500	"[[30026,10]]"
1058	1	58	54500	"[[10003,50]]"
1059	1	59	55500	"[[19004,1]]"
1060	1	60	57000	"[[14201,5]]"
1061	1	61	58500	"[[19003,2]]"
1062	1	62	60000	"[[10076,1]]"
1063	1	63	62000	"[[10001,65000]]"
1064	1	64	64000	"[[16001,10]]"
1065	1	65	66000	"[[12402,2]]"
1066	1	66	68000	"[[30026,10]]"
1067	1	67	70000	"[[10013,2]]"
1068	1	68	72000	"[[19005,2]]"
1069	1	69	74000	"[[10003,25]]"
1070	1	70	76000	"[[16001,10]]"
1071	1	71	78000	"[[10001,70000]]"
1072	1	72	80000	"[[30026,10]]"
1073	1	73	82000	"[[14200,5]]"
1074	1	74	84000	"[[15001,200]]"
1075	1	75	86000	"[[39999,3]]"
1076	1	76	88000	"[[10001,80000]]"
1077	1	77	90000	"[[12402,2]]"
2001	2	1	1	"[[10001,10000]]"
2002	2	2	5	"[[10003,20]]"
2003	2	3	15	"[[10012,2]]"
2004	2	4	30	"[[10001,20000]]"
2005	2	5	50	"[[10003,20]]"
2006	2	6	75	"[[10012,3]]"
2007	2	7	90	"[[15001,200]]"
2008	2	8	150	"[[10001,30000]]"
2009	2	9	300	"[[10003,30]]"
2010	2	10	450	"[[10012,5]]"
2011	2	11	600	"[[15001,200]]"
2012	2	12	800	"[[14200,10]]"
2013	2	13	1100	"[[10003,30]]"
2014	2	14	1500	"[[10001,60000]]"
2015	2	15	2000	"[[10003,40]]"
2016	2	16	2600	"[[10013,1]]"
2017	2	17	3300	"[[15001,400]]"
2018	2	18	4100	"[[14202,10]]"
2019	2	19	5000	"[[10003,40]]"
2020	2	20	6000	"[[30041,10]]"
2021	2	21	7000	"[[10001,100000]]"
2022	2	22	8000	"[[10013,2]]"
2023	2	23	9000	"[[14203,10]]"
2024	2	24	10000	"[[19003,4]]"
2025	2	25	12000	"[[10003,50]]"
2026	2	26	14000	"[[30041,20]]"
2027	2	27	16000	"[[10075,1]]"
2028	2	28	18000	"[[10003,50]]"
2029	2	29	20000	"[[10013,2]]"
2030	2	30	25000	"[[14201,10]]"
2031	2	31	30000	"[[19004,2]]"
2032	2	32	40000	"[[10003,60]]"
2033	2	33	50000	"[[30041,20]]"
2034	2	34	75000	"[[10001,150000]]"
2035	2	35	100000	"[[30041,30]]"
2036	2	36	150000	"[[19005,2]]"
2037	2	37	200000	"[[10076,1]]"
2038	2	38	250000	"[[10001,200000]]"
2039	2	39	300000	"[[10003,200]]"
3001	3	1	1	"[[10001,10000]]"
3002	3	2	5	"[[10003,20]]"
3003	3	3	15	"[[10012,2]]"
3004	3	4	30	"[[10001,20000]]"
3005	3	5	50	"[[10003,20]]"
3006	3	6	75	"[[10012,3]]"
3007	3	7	90	"[[15001,200]]"
3008	3	8	150	"[[10001,30000]]"
3009	3	9	300	"[[10003,30]]"
3010	3	10	450	"[[10012,5]]"
3011	3	11	600	"[[15001,200]]"
3012	3	12	800	"[[14200,10]]"
3013	3	13	1100	"[[10003,30]]"
3014	3	14	1500	"[[10001,60000]]"
3015	3	15	2000	"[[10003,40]]"
3016	3	16	2600	"[[10013,1]]"
3017	3	17	3300	"[[15001,400]]"
3018	3	18	4100	"[[14202,10]]"
3019	3	19	5000	"[[10003,40]]"
3020	3	20	6000	"[[30061,10]]"
3021	3	21	7000	"[[10001,100000]]"
3022	3	22	8000	"[[10013,2]]"
3023	3	23	9000	"[[14203,10]]"
3024	3	24	10000	"[[19003,4]]"
3025	3	25	12000	"[[10003,50]]"
3026	3	26	14000	"[[30061,20]]"
3027	3	27	16000	"[[10075,1]]"
3028	3	28	18000	"[[10003,50]]"
3029	3	29	20000	"[[10013,2]]"
3030	3	30	25000	"[[14201,10]]"
3031	3	31	30000	"[[19004,2]]"
3032	3	32	40000	"[[10003,60]]"
3033	3	33	50000	"[[30061,20]]"
3034	3	34	75000	"[[10001,150000]]"
3035	3	35	100000	"[[30061,30]]"
3036	3	36	150000	"[[19005,2]]"
3037	3	37	200000	"[[10076,1]]"
3038	3	38	250000	"[[10001,200000]]"
3039	3	39	300000	"[[10003,200]]"
