number	number	number	array	array2
id	event_id	order	ranking	reward
1001	1	1	"[1,1]"	"[[10003,300],[30026,80],[10018,1]]"
1002	1	2	"[2,5]"	"[[10003,200],[30026,50]]"
1003	1	3	"[6,20]"	"[[10003,150],[30026,30]]"
1004	1	4	"[21,50]"	"[[10003,100],[30026,15]]"
1005	1	5	"[51,100]"	"[[10003,60]]"
1006	1	6	"[101,500]"	"[[10003,40]]"
1007	1	7	"[501,1000]"	"[[10003,20]]"
2001	2	1	"[1,1]"	"[[10003,300],[5999901,1],[5999902,1],[10018,1],[12406,5]]"
2002	2	2	"[2,5]"	"[[10003,200],[5999901,1],[5999902,1],[12406,3],[12402,6]]"
2003	2	3	"[6,20]"	"[[10003,150],[5999901,1],[5999902,1],[12406,1],[12402,5]]"
2004	2	4	"[21,50]"	"[[10003,100],[5999901,1],[12402,5]]"
2005	2	5	"[51,100]"	"[[10003,60],[12402,3]]"
2006	2	6	"[101,500]"	"[[10003,40],[12402,1]]"
2007	2	7	"[501,1000]"	"[[10003,20],[12402,1]]"
3001	3	1	"[1,1]"	"[[10003,300],[30059,100],[10018,1],[12406,5]]"
3002	3	2	"[2,5]"	"[[10003,200],[30059,80],[12406,3],[12402,6]]"
3003	3	3	"[6,20]"	"[[10003,150],[30059,50],[12406,1],[12402,5]]"
3004	3	4	"[21,50]"	"[[10003,100],[30059,30],[12402,5]]"
3005	3	5	"[51,100]"	"[[10003,60],[30059,10],[12402,3]]"
3006	3	6	"[101,500]"	"[[10003,40],[30059,5],[12402,1]]"
3007	3	7	"[501,1000]"	"[[10003,20],[30059,1],[12402,1]]"
