number	number	number	array2
id	event_id	difficult	reward
1001	1	1	"[[12001,3],[12003,3],[12004,3],[12005,3]]"
1002	1	2	"[[12101,6],[12103,6],[12104,6]]"
1003	1	3	"[[12103,5],[12105,5],[12108,5],[12110,5]]"
1004	1	4	"[[12106,5],[12112,5],[12113,5],[12115,5]]"
1005	1	5	"[[12107,5],[12109,5],[12111,5],[12114,5]]"
2001	2	1	"[[10003,20]]"
2002	2	2	"[[10003,60]]"
2003	2	3	"[[10003,120]]"
2004	2	4	"[[10003,300]]"
2005	2	5	"[[10003,500]]"
3001	3	1	"[[10003,20]]"
3002	3	2	"[[10003,60]]"
3003	3	3	"[[10003,120]]"
3004	3	4	"[[10003,300]]"
3005	3	5	"[[10003,500]]"
