number	number	number	number	number	number	number
id	point	atk	mgc	def	res	hp
6001	0	-0.3	-0.3	-0.3	-0.3	0
6002	0	-0.3	-0.3	-0.3	-0.3	0
6003	15	-0.3	-0.3	-0.3	-0.3	0
6101	0	-0.1	-0.1	-0.1	-0.1	0.2
6102	0	-0.1	-0.1	-0.1	-0.1	0.2
6103	75	-0.1	-0.1	-0.1	-0.1	0.2
6201	0	0.3	0.3	0.8	0.8	1.5
6202	0	0.3	0.3	0.8	0.8	1.5
6203	300	0.3	0.3	0.8	0.8	1.5
6301	0	0.55	0.55	1.4	1.4	3.8
6302	0	0.55	0.55	1.4	1.4	3.8
6303	600	0.55	0.55	1.4	1.4	3.8
6401	0	0.85	0.85	1.9	1.9	5.4
6402	0	0.85	0.85	1.9	1.9	5.4
6403	1200	0.85	0.85	1.9	1.9	5.4
