number	string
id	name
1	毛泽东
2	周恩来
3	刘少奇
4	朱德
5	彭德怀
6	林彪
7	刘伯承
8	陈毅
9	贺龙
10	聂荣臻
11	徐向前
12	罗荣桓
13	叶剑英
14	李大钊
15	陈独秀
16	孙中山
17	孙文
18	孙逸仙
19	邓小平
20	陈云
21	江泽民
22	李鹏
23	朱镕基
24	李瑞环
25	尉健行
26	李岚清
27	胡锦涛
28	罗干
29	温家宝
30	吴邦国
31	曾庆红
32	贾庆林
33	黄菊
34	吴官正
35	李长春
36	吴仪
37	回良玉
38	曾培炎
39	周永康
40	曹刚川
41	唐家璇
42	华建敏
43	陈至立
44	陈良宇
45	张德江
46	张立昌
47	俞正声
48	王乐泉
49	刘云山
50	王刚
51	王兆国
52	刘淇
53	贺国强
54	郭伯雄
55	胡耀邦
56	王乐泉
57	王兆国
58	周永康
59	李登辉
60	连战
61	陈水扁
62	宋楚瑜
63	吕秀莲
64	郁慕明
65	蒋介石
66	蒋中正
67	蒋经国
68	马英九
69	习近平
70	李克强
71	吴帮国
72	无帮国
73	无邦国
74	无帮过
75	瘟家宝
76	假庆林
77	甲庆林
78	假青林
79	离长春
80	习远平
81	袭近平
82	李磕墙
83	贺过墙
84	和锅枪
85	粥永康
86	轴永康
87	肘永康
88	周健康
89	粥健康
90	周小康
91	周小康
92	布莱尔
93	小泉
94	纯一郎
95	萨马兰奇
96	安南
97	阿拉法特
98	普京
99	默克尔
100	克林顿
101	克林顿
102	尼克松
103	林肯
104	杜鲁门
105	赫鲁晓夫
106	列宁
107	斯大林
108	马克思
109	恩格斯
110	金正日
111	金日成
112	萨达姆
113	胡志明
114	西哈努克
115	希拉克
116	撒切尔
117	阿罗约
118	曼德拉
119	卡斯特罗
120	富兰克林
121	华盛顿
122	艾森豪威尔
123	拿破仑
124	亚历山大
125	路易
126	拉姆斯菲尔德
127	劳拉
128	鲍威尔
129	奥巴马
130	本拉登
131	奥马尔
132	柴玲
133	达赖喇嘛
134	江青
135	张春桥
136	姚文元
137	王洪文
138	东条英机
139	希特勒
140	墨索里尼
141	冈村秀树
142	冈村宁次
143	高丽朴
144	赵紫阳
145	王丹
146	沃尔开西
147	李洪志
148	李大师
149	赖昌星
150	马加爵
151	班禅
152	额尔德尼
153	山本五十六
154	阿扁
155	阿扁万岁
156	热那亚
157	热比娅
