number	number	number	number	number	number	number	number	number	number	number	number
id	fp	item1	count1	item2	count2	item3	count3	item4	count4	item5	count5
1	3000	10001	5000	10012	5	10003	20	30007	15	0	0
2	6000	10001	10000	10012	5	10003	30	30009	12	0	0
3	10000	10001	25000	10012	8	10003	50	30011	15	0	0
4	15000	10001	40000	10012	10	10003	75	10014	2	0	0
5	20000	10001	60000	10013	1	10003	75	10015	2	0	0
6	25000	10001	80000	10013	1	10003	75	10016	2	0	0
7	40000	10001	100000	10013	2	10003	75	10017	2	0	0
8	55000	10001	300000	10013	4	10003	225	10075	1	0	0
9	70000	10001	400000	10013	6	10003	225	10076	1	0	0
10	85000	10001	550000	10013	8	10003	225	10076	1	0	0
11	100000	10001	650000	10013	10	10003	225	10018	1	0	0
