string	number
id	sid
0_1	1000
0_2	1001
0_3	1002
0_4	1003
0_5	1004
0_6	1005
0_7	1006
0_8	1007
0_9	1008
0_10	1009
100003_1	1010
100003_2	1011
100003_3	1012
100003_4	1013
100003_5	1014
100003_6	1015
100003_7	1016
100003_8	1017
100004_1	1018
100004_2	1019
100004_3	1020
100004_4	1021
100004_5	1022
100004_6	1023
100004_7	1024
100004_8	1025
100005_1	1026
100005_2	1027
100005_3	1028
100005_4	1029
100005_5	1030
100005_6	1031
100005_7	1032
100005_8	1033
100007_1	1034
100007_2	1035
100007_3	1036
100007_4	1037
100007_5	1038
100007_6	1039
100007_7	1040
100007_8	1041
100009_1	1042
100009_2	1043
100009_3	1044
100009_4	1045
100009_5	1046
100009_6	1047
100009_7	1048
100009_8	1049
100011_1	1050
100011_2	1051
100011_3	1052
100011_4	1053
100011_5	1054
100011_6	1055
100011_7	1056
100011_8	1057
1_1	1058
1_2	1059
1_3	1060
1_4	1061
1_5	1062
1_6	1063
1_7	1064
1_8	1065
2_1	1066
2_2	1067
2_3	1068
2_4	1069
2_8	1070
3_1	1071
3_2	1072
3_3	1073
3_4	1074
3_8	1075
4_1	1076
4_2	1077
4_3	1078
4_4	1079
4_5	1080
4_6	1081
4_7	1082
4_8	1083
5_1	1084
5_2	1085
5_3	1086
5_4	1087
5_5	1088
5_6	1089
5_7	1090
5_8	1091
