number	number	number	number	number	number
id	level	attribute	value	safestone_id	safestone_shopid
17101	1	1	16	0	0
17102	2	1	48	0	0
17103	3	1	78	0	0
17104	4	1	126	0	0
17105	5	1	196	0	0
17106	6	1	315	0	0
17107	7	1	496	0	0
17108	8	1	779	0	0
17109	9	1	1226	0	0
17201	1	2	16	0	0
17202	2	2	48	0	0
17203	3	2	78	0	0
17204	4	2	126	0	0
17205	5	2	196	0	0
17206	6	2	315	0	0
17207	7	2	496	0	0
17208	8	2	779	0	0
17209	9	2	1226	0	0
17301	1	3	12	0	0
17302	2	3	36	0	0
17303	3	3	59	0	0
17304	4	3	94	0	0
17305	5	3	148	0	0
17306	6	3	235	0	0
17307	7	3	367	0	0
17308	8	3	577	0	0
17309	9	3	902	0	0
17401	1	4	12	0	0
17402	2	4	36	0	0
17403	3	4	60	0	0
17404	4	4	100	0	0
17405	5	4	160	0	0
17406	6	4	260	0	0
17407	7	4	520	0	0
17408	8	4	680	0	0
17409	9	4	1100	0	0
17501	1	5	60	0	0
17502	2	5	180	0	0
17503	3	5	299	0	0
17504	4	5	472	0	0
17505	5	5	742	0	0
17506	6	5	1177	0	0
17507	7	5	1890	0	0
17508	8	5	3024	0	0
17509	9	5	4620	0	0
