number	number	number	string	number	number	array	number	string	string
id	type	level	name	score	station	add_attribute	gold_spend	description1	description2
101	1	1	主城	300	20	"[1.05,1.05,1.05,1.05,1.05]"	2000000	全パラメータ5％UP	
102	1	2	主城	300	20	"[1.1,1.1,1.1,1.1,1.1]"	3000000	全パラメータ10％UP	
103	1	3	主城	300	20	"[1.15,1.15,1.15,1.15,1.15]"	4500000	全パラメータ15％UP	
104	1	4	主城	300	20	"[1.2,1.2,1.2,1.2,1.2]"	6750000	全パラメータ20％UP	
105	1	5	主城	300	20	"[1.25,1.25,1.25,1.25,1.25]"	0	全パラメータ25％UP	
201	2	1	射撃塔	150	15	"[1.05,1.05,1,1,1]"	1500000	攻撃5％UP	
202	2	2	射撃塔	150	15	"[1.1,1.1,1,1,1]"	2250000	攻撃10％UP	
203	2	3	射撃塔	150	15	"[1.15,1.15,1,1,1]"	3375000	攻撃15％UP	
204	2	4	射撃塔	150	15	"[1.2,1.2,1,1,1]"	5062500	攻撃20％UP	
205	2	5	射撃塔	150	15	"[1.25,1.25,1,1,1]"	0	攻撃25％UP	
301	3	1	城門	125	10	"[1,1,1.05,1.05,1]"	1500000	防衛5％UP	
302	3	2	城門	125	10	"[1,1,1.1,1.1,1]"	2250000	防衛10％UP	
303	3	3	城門	125	10	"[1,1,1.15,1.15,1]"	3375000	防衛15％UP	
304	3	4	城門	125	10	"[1,1,1.2,1.2,0]"	5062500	防衛20％UP	
305	3	5	城門	125	10	"[1,1,1.25,1.25,0]"	0	防衛25％UP	
401	4	1	拠点	50	3	"[1,1,1,1,1.05]"	1000000	体力5％UP	
402	4	2	拠点	50	3	"[1,1,1,1,1.1]"	1500000	体力10％UP	
403	4	3	拠点	50	3	"[1,1,1,1,1.15]"	2250000	体力15％UP	
404	4	4	拠点	50	3	"[1,1,1,1,1.2]"	3375000	体力20％UP	
405	4	5	拠点	50	3	"[1,1,1,1,1.25]"	0	体力25％UP	
