number	string	number	number	number	number	number	number	number	number	number	number	array	number	number	number	number	number	number	array	number	array
bosslv	img	atk	mgc	def	res	hp	critical	accuracy	dodge	kill_coin	total_power	gold_kill	join_coin	champion_coin	second_coin	third_coin	topten_coin	all_coin	item_kill	item_join	item_rank
1	M104	307	0	153	153	12780000	0	10000	0	26833 	200000	"[20000,20000,20000,20000]"	150	30000 	25000 	20000 	16667 	11667 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
2	M104	329	0	164	164	13770000	0	10000	0	27000 	200000	"[20000,20000,20000,20000]"	150	30300 	25250 	20200 	16833 	11783 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
3	M104	351	0	175	175	14760000	0	10000	0	27000 	200000	"[20000,20000,20000,20000]"	150	30600 	25500 	20400 	17000 	11900 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
4	M104	372	0	186	186	15750000	0	10000	0	27167 	200000	"[20000,20000,20000,20000]"	150	30900 	25750 	20600 	17167 	12017 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
5	M104	394	0	197	197	16740000	0	10000	0	27167 	200000	"[20000,20000,20000,20000]"	150	31200 	26000 	20800 	17333 	12133 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
6	M104	415	0	207	207	17730000	0	10000	0	27333 	200000	"[20000,20000,20000,20000]"	150	31500 	26250 	21000 	17500 	12250 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
7	M104	502	0	251	251	21960000	0	10000	0	27333 	200000	"[20000,20000,20000,20000]"	150	31800 	26500 	21200 	17667 	12367 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
8	M104	523	0	261	261	26550000	0	10000	0	27500 	200000	"[20000,20000,20000,20000]"	150	32100 	26750 	21400 	17833 	12483 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
9	M104	545	0	272	272	27540000	0	10000	0	27500 	200000	"[20000,20000,20000,20000]"	150	32400 	27000 	21600 	18000 	12600 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
10	M104	567	0	283	283	28530000	0	10000	0	27667 	200000	"[20000,20000,20000,20000]"	150	32700 	27250 	21800 	18167 	12717 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
11	M104	588	0	294	294	29520000	0	10000	0	27833 	200000	"[20000,20000,20000,20000]"	150	33000 	27500 	22000 	18333 	12833 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
12	M104	610	0	305	305	30510000	0	10000	0	28000 	200000	"[20000,20000,20000,20000]"	150	33300 	27750 	22200 	18500 	12950 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
13	M104	631	0	315	315	32400000	0	10000	0	28000 	200000	"[20000,20000,20000,20000]"	150	33600 	28000 	22400 	18667 	13067 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
14	M104	653	0	326	326	33390000	0	10000	0	28167 	200000	"[20000,20000,20000,20000]"	150	33900 	28250 	22600 	18833 	13183 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
15	M104	675	0	337	337	34380000	0	10000	0	28333 	200000	"[20000,20000,20000,20000]"	150	34200 	28500 	22800 	19000 	13300 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
