number	number	number	string	string	number	number	number	number
keyid	id	level	name	icon	type	value	unlock_guildlv	cost
101000	101	0	攻撃	G101	1	0	1	0
101001	101	1	攻撃	G101	1	6	1	30
101002	101	2	攻撃	G101	1	12	1	30
101003	101	3	攻撃	G101	1	18	1	30
101004	101	4	攻撃	G101	1	24	1	30
101005	101	5	攻撃	G101	1	30	2	30
101006	101	6	攻撃	G101	1	36	2	50
101007	101	7	攻撃	G101	1	42	2	50
101008	101	8	攻撃	G101	1	48	2	50
101009	101	9	攻撃	G101	1	54	2	50
101010	101	10	攻撃	G101	1	60	3	50
101011	101	11	攻撃	G101	1	66	3	75
101012	101	12	攻撃	G101	1	72	3	75
101013	101	13	攻撃	G101	1	78	3	75
101014	101	14	攻撃	G101	1	84	3	75
101015	101	15	攻撃	G101	1	90	4	75
101016	101	16	攻撃	G101	1	96	4	100
101017	101	17	攻撃	G101	1	102	4	100
101018	101	18	攻撃	G101	1	108	4	100
101019	101	19	攻撃	G101	1	114	4	100
101020	101	20	攻撃	G101	1	120	5	100
101021	101	21	攻撃	G101	1	126	5	120
101022	101	22	攻撃	G101	1	132	5	120
101023	101	23	攻撃	G101	1	138	5	120
101024	101	24	攻撃	G101	1	144	5	120
101025	101	25	攻撃	G101	1	150	5	120
101026	101	26	攻撃	G101	1	156	5	120
101027	101	27	攻撃	G101	1	162	5	120
101028	101	28	攻撃	G101	1	168	5	120
101029	101	29	攻撃	G101	1	174	5	120
101030	101	30	攻撃	G101	1	180	6	120
101031	101	31	攻撃	G101	1	186	6	140
101032	101	32	攻撃	G101	1	192	6	140
101033	101	33	攻撃	G101	1	198	6	140
101034	101	34	攻撃	G101	1	204	6	140
101035	101	35	攻撃	G101	1	210	6	140
101036	101	36	攻撃	G101	1	216	6	140
101037	101	37	攻撃	G101	1	222	6	140
101038	101	38	攻撃	G101	1	228	6	140
101039	101	39	攻撃	G101	1	234	6	140
101040	101	40	攻撃	G101	1	240	7	140
101041	101	41	攻撃	G101	1	246	7	160
101042	101	42	攻撃	G101	1	252	7	160
101043	101	43	攻撃	G101	1	258	7	160
101044	101	44	攻撃	G101	1	264	7	160
101045	101	45	攻撃	G101	1	270	7	160
101046	101	46	攻撃	G101	1	276	7	160
101047	101	47	攻撃	G101	1	282	7	160
101048	101	48	攻撃	G101	1	288	7	160
101049	101	49	攻撃	G101	1	294	7	160
101050	101	50	攻撃	G101	1	300	8	160
101051	101	51	攻撃	G101	1	306	8	180
101052	101	52	攻撃	G101	1	312	8	180
