number	array	number	array	number
skilllv	type_one	cost_one	type_two	cost_two
1	"[101,102,103,104,105]"	10	"[106,107,108,109]"	10
2	"[101,102,103,104,105]"	10	"[106,107,108,109]"	10
3	"[101,102,103,104,105]"	10	"[106,107,108,109]"	10
4	"[101,102,103,104,105]"	10	"[106,107,108,109]"	10
5	"[101,102,103,104,105]"	10	"[106,107,108,109]"	10
6	"[101,102,103,104,105]"	15	"[106,107,108,109]"	15
7	"[101,102,103,104,105]"	15	"[106,107,108,109]"	15
8	"[101,102,103,104,105]"	15	"[106,107,108,109]"	15
9	"[101,102,103,104,105]"	15	"[106,107,108,109]"	15
10	"[101,102,103,104,105]"	15	"[106,107,108,109]"	15
11	"[101,102,103,104,105]"	25	"[106,107,108,109]"	25
12	"[101,102,103,104,105]"	25	"[106,107,108,109]"	25
13	"[101,102,103,104,105]"	25	"[106,107,108,109]"	25
14	"[101,102,103,104,105]"	25	"[106,107,108,109]"	25
15	"[101,102,103,104,105]"	25	"[106,107,108,109]"	25
16	"[101,102,103,104,105]"	40	"[106,107,108,109]"	40
17	"[101,102,103,104,105]"	40	"[106,107,108,109]"	40
18	"[101,102,103,104,105]"	40	"[106,107,108,109]"	40
19	"[101,102,103,104,105]"	40	"[106,107,108,109]"	40
20	"[101,102,103,104,105]"	40	"[106,107,108,109]"	40
21	"[101,102,103,104,105]"	60	"[106,107,108,109]"	60
22	"[101,102,103,104,105]"	60	"[106,107,108,109]"	60
23	"[101,102,103,104,105]"	60	"[106,107,108,109]"	60
24	"[101,102,103,104,105]"	60	"[106,107,108,109]"	60
25	"[101,102,103,104,105]"	60	"[106,107,108,109]"	60
26	"[101,102,103,104,105]"	80	"[106,107,108,109]"	80
27	"[101,102,103,104,105]"	80	"[106,107,108,109]"	80
28	"[101,102,103,104,105]"	80	"[106,107,108,109]"	80
29	"[101,102,103,104,105]"	80	"[106,107,108,109]"	80
30	"[101,102,103,104,105]"	80	"[106,107,108,109]"	80
31	"[101,102,103,104,105]"	100	"[106,107,108,109]"	100
32	"[101,102,103,104,105]"	100	"[106,107,108,109]"	100
33	"[101,102,103,104,105]"	100	"[106,107,108,109]"	100
34	"[101,102,103,104,105]"	100	"[106,107,108,109]"	100
35	"[101,102,103,104,105]"	100	"[106,107,108,109]"	100
36	"[101,102,103,104,105]"	120	"[106,107,108,109]"	120
37	"[101,102,103,104,105]"	120	"[106,107,108,109]"	120
38	"[101,102,103,104,105]"	120	"[106,107,108,109]"	120
39	"[101,102,103,104,105]"	120	"[106,107,108,109]"	120
40	"[101,102,103,104,105]"	120	"[106,107,108,109]"	120
41	"[101,102,103,104,105]"	140	"[106,107,108,109]"	140
42	"[101,102,103,104,105]"	140	"[106,107,108,109]"	140
43	"[101,102,103,104,105]"	140	"[106,107,108,109]"	140
44	"[101,102,103,104,105]"	140	"[106,107,108,109]"	140
45	"[101,102,103,104,105]"	140	"[106,107,108,109]"	140
46	"[101,102,103,104,105]"	160	"[106,107,108,109]"	160
47	"[101,102,103,104,105]"	160	"[106,107,108,109]"	160
48	"[101,102,103,104,105]"	160	"[106,107,108,109]"	160
49	"[101,102,103,104,105]"	160	"[106,107,108,109]"	160
50	"[101,102,103,104,105]"	160	"[106,107,108,109]"	160
51	"[101,102,103,104,105]"	180	"[106,107,108,109]"	180
52	"[101,102,103,104,105]"	180	"[106,107,108,109]"	180
53	"[101,102,103,104,105]"	180	"[106,107,108,109]"	180
54	"[101,102,103,104,105]"	180	"[106,107,108,109]"	180
55	"[101,102,103,104,105]"	180	"[106,107,108,109]"	180
56	"[101,102,103,104,105]"	200	"[106,107,108,109]"	200
57	"[101,102,103,104,105]"	200	"[106,107,108,109]"	200
58	"[101,102,103,104,105]"	200	"[106,107,108,109]"	200
59	"[101,102,103,104,105]"	200	"[106,107,108,109]"	200
60	"[101,102,103,104,105]"	200	"[106,107,108,109]"	200
61	"[101,102,103,104,105]"	220	"[106,107,108,109]"	220
62	"[101,102,103,104,105]"	220	"[106,107,108,109]"	220
63	"[101,102,103,104,105]"	220	"[106,107,108,109]"	220
64	"[101,102,103,104,105]"	220	"[106,107,108,109]"	220
65	"[101,102,103,104,105]"	220	"[106,107,108,109]"	220
66	"[101,102,103,104,105]"	240	"[106,107,108,109]"	240
67	"[101,102,103,104,105]"	240	"[106,107,108,109]"	240
68	"[101,102,103,104,105]"	240	"[106,107,108,109]"	240
69	"[101,102,103,104,105]"	240	"[106,107,108,109]"	240
70	"[101,102,103,104,105]"	240	"[106,107,108,109]"	240
71	"[101,102,103,104,105]"	260	"[106,107,108,109]"	260
72	"[101,102,103,104,105]"	260	"[106,107,108,109]"	260
73	"[101,102,103,104,105]"	260	"[106,107,108,109]"	260
74	"[101,102,103,104,105]"	260	"[106,107,108,109]"	260
75	"[101,102,103,104,105]"	260	"[106,107,108,109]"	260
76	"[101,102,103,104,105]"	280	"[106,107,108,109]"	280
77	"[101,102,103,104,105]"	280	"[106,107,108,109]"	280
78	"[101,102,103,104,105]"	280	"[106,107,108,109]"	280
79	"[101,102,103,104,105]"	280	"[106,107,108,109]"	280
80	"[101,102,103,104,105]"	280	"[106,107,108,109]"	280
81	"[101,102,103,104,105]"	300	"[106,107,108,109]"	300
82	"[101,102,103,104,105]"	300	"[106,107,108,109]"	300
83	"[101,102,103,104,105]"	300	"[106,107,108,109]"	300
84	"[101,102,103,104,105]"	300	"[106,107,108,109]"	300
85	"[101,102,103,104,105]"	300	"[106,107,108,109]"	300
86	"[101,102,103,104,105]"	320	"[106,107,108,109]"	320
87	"[101,102,103,104,105]"	320	"[106,107,108,109]"	320
88	"[101,102,103,104,105]"	320	"[106,107,108,109]"	320
89	"[101,102,103,104,105]"	320	"[106,107,108,109]"	320
90	"[101,102,103,104,105]"	320	"[106,107,108,109]"	320
91	"[101,102,103,104,105]"	340	"[106,107,108,109]"	340
92	"[101,102,103,104,105]"	340	"[106,107,108,109]"	340
93	"[101,102,103,104,105]"	340	"[106,107,108,109]"	340
94	"[101,102,103,104,105]"	340	"[106,107,108,109]"	340
95	"[101,102,103,104,105]"	340	"[106,107,108,109]"	340
96	"[101,102,103,104,105]"	360	"[106,107,108,109]"	360
97	"[101,102,103,104,105]"	360	"[106,107,108,109]"	360
98	"[101,102,103,104,105]"	360	"[106,107,108,109]"	360
99	"[101,102,103,104,105]"	360	"[106,107,108,109]"	360
100	"[101,102,103,104,105]"	360	"[106,107,108,109]"	360
101	"[101,102,103,104,105]"	380	"[106,107,108,109]"	380
102	"[101,102,103,104,105]"	380	"[106,107,108,109]"	380
103	"[101,102,103,104,105]"	380	"[106,107,108,109]"	380
104	"[101,102,103,104,105]"	380	"[106,107,108,109]"	380
105	"[101,102,103,104,105]"	380	"[106,107,108,109]"	380
106	"[101,102,103,104,105]"	400	"[106,107,108,109]"	400
107	"[101,102,103,104,105]"	400	"[106,107,108,109]"	400
108	"[101,102,103,104,105]"	400	"[106,107,108,109]"	400
109	"[101,102,103,104,105]"	400	"[106,107,108,109]"	400
110	"[101,102,103,104,105]"	400	"[106,107,108,109]"	400
111	"[101,102,103,104,105]"	420	"[106,107,108,109]"	420
112	"[101,102,103,104,105]"	420	"[106,107,108,109]"	420
113	"[101,102,103,104,105]"	420	"[106,107,108,109]"	420
114	"[101,102,103,104,105]"	420	"[106,107,108,109]"	420
115	"[101,102,103,104,105]"	420	"[106,107,108,109]"	420
116	"[101,102,103,104,105]"	440	"[106,107,108,109]"	440
117	"[101,102,103,104,105]"	440	"[106,107,108,109]"	440
118	"[101,102,103,104,105]"	440	"[106,107,108,109]"	440
119	"[101,102,103,104,105]"	440	"[106,107,108,109]"	440
120	"[101,102,103,104,105]"	440	"[106,107,108,109]"	440
121	"[101,102,103,104,105]"	460	"[106,107,108,109]"	460
122	"[101,102,103,104,105]"	460	"[106,107,108,109]"	460
123	"[101,102,103,104,105]"	460	"[106,107,108,109]"	460
124	"[101,102,103,104,105]"	460	"[106,107,108,109]"	460
125	"[101,102,103,104,105]"	460	"[106,107,108,109]"	460
126	"[101,102,103,104,105]"	480	"[106,107,108,109]"	480
127	"[101,102,103,104,105]"	480	"[106,107,108,109]"	480
128	"[101,102,103,104,105]"	480	"[106,107,108,109]"	480
129	"[101,102,103,104,105]"	480	"[106,107,108,109]"	480
130	"[101,102,103,104,105]"	480	"[106,107,108,109]"	480
131	"[101,102,103,104,105]"	500	"[106,107,108,109]"	500
132	"[101,102,103,104,105]"	500	"[106,107,108,109]"	500
133	"[101,102,103,104,105]"	500	"[106,107,108,109]"	500
134	"[101,102,103,104,105]"	500	"[106,107,108,109]"	500
135	"[101,102,103,104,105]"	500	"[106,107,108,109]"	500
