number	number	string	number
id	actorid	name	soul
30001	1	墨阳	16
30002	2	天丛云剑	16
30003	3	妙法村正	16
30004	4	国光	16
30005	5	数珠丸	16
30006	6	十拳剑	16
30007	7	棠溪	16
30008	8	童子切	16
30009	9	菊一文字	16
30010	10	切裂世界之剑	16
30011	11	太阿	16
30012	12	湖中剑	16
30013	13	巨人之剑	16
30014	14	蜻蜓切	16
30015	15	朗基努斯	16
30016	16	鱼肠	16
30017	17	三日月	16
30018	18	干将	16
30019	19	青龙刀	16
30020	20	咎瓦尤斯	16
30021	21	红雪左文字	16
30022	22	杜兰德尔	16
30023	23	猫脸(舍施尔-量产型)	16
30024	24	布都御魂	16
30025	25	莫邪	16
30026	26	卡拉德波加	16
30027	27	湛卢	16
30028	28	雷切	16
30029	29	鬼彻	16
30030	30	备前长船	16
30031	31	宵练	16
30032	32	含光	16
30033	33	承影	16
30034	34	七星龙渊	16
30035	35	轩辕	16
30036	36	大夏龙雀	16
30037	37	纳西尔圣剑	16
30038	38	葵纹越前	16
30039	39	瑞佩尔	16
30040	40	莎拉维尔碎片	16
30042	42	却邪碎片	16
30043	43	纯钧碎片	16
30041	41	袖搦碎片	16
30044	44	怪盗碎片	16
30045	45	焰形剑碎片	16
30046	46	加贺清光碎片	16
30047	47	克莉斯碎片	16
30048	48	棒球碎片	16
30049	49	九尾碎片	16
30050	50	沥泉枪碎片	16
30051	51	火陨碎片	16
30052	52	赤霄碎片	16
30053	53	灵翼碎片	16
30054	54	千棘碎片	16
30055	55	麻麻碎片	16
30056	56	朱雀碎片	16
30057	57	巨镰碎片	16
30058	58	震天弓碎片	16
30059	59	古锭刀碎片	16
30060	60	肥前国忠吉碎片	16
30061	61	血琥珀碎片	16
30101	101	蜻蜓切（主1）	16
30102	102	三日月（主2）	16
30103	103	天丛云剑（主3）	16
