number	array
role_id	init_equip
1	"[13027,13036,13045,13054,13063]"
2	"[13027,13036,13045,13054,13063]"
3	"[13027,13036,13045,13054,13063]"
4	"[13027,13036,13045,13054,13063]"
5	"[13027,13036,13045,13054,13063]"
6	"[13027,13036,13045,13054,13063]"
7	"[13027,13036,13045,13054,13063]"
8	"[13027,13036,13045,13054,13063]"
9	"[13027,13036,13045,13054,13063]"
10	"[13027,13036,13045,13054,13063]"
11	"[13027,13036,13045,13054,13063]"
12	"[13027,13036,13045,13054,13063]"
13	"[13027,13036,13045,13054,13063]"
14	"[13027,13036,13045,13054,13063]"
15	"[13027,13036,13045,13054,13063]"
16	"[13027,13036,13045,13054,13063]"
17	"[13027,13036,13045,13054,13063]"
18	"[13027,13036,13045,13054,13063]"
19	"[13027,13036,13045,13054,13063]"
20	"[13027,13036,13045,13054,13063]"
21	"[13027,13036,13045,13054,13063]"
22	"[13027,13036,13045,13054,13063]"
23	"[13027,13036,13045,13054,13063]"
24	"[13027,13036,13045,13054,13063]"
25	"[13027,13036,13045,13054,13063]"
26	"[13027,13036,13045,13054,13063]"
27	"[13027,13036,13045,13054,13063]"
28	"[13027,13036,13045,13054,13063]"
29	"[13027,13036,13045,13054,13063]"
30	"[13027,13036,13045,13054,13063]"
31	"[13027,13036,13045,13054,13063]"
32	"[13027,13036,13045,13054,13063]"
33	"[13027,13036,13045,13054,13063]"
34	"[13027,13036,13045,13054,13063]"
35	"[13027,13036,13045,13054,13063]"
36	"[13027,13036,13045,13054,13063]"
37	"[13027,13036,13045,13054,13063]"
38	"[13027,13036,13045,13054,13063]"
39	"[13027,13036,13045,13054,13063]"
40	"[13027,13036,13045,13054,13063]"
41	"[13027,13036,13045,13054,13063]"
42	"[13027,13036,13045,13054,13063]"
43	"[13027,13036,13045,13054,13063]"
44	"[13027,13036,13045,13054,13063]"
45	"[13027,13036,13045,13054,13063]"
46	"[13027,13036,13045,13054,13063]"
47	"[13027,13036,13045,13054,13063]"
48	"[13027,13036,13045,13054,13063]"
49	"[13027,13036,13045,13054,13063]"
50	"[13027,13036,13045,13054,13063]"
51	"[13027,13036,13045,13054,13063]"
52	"[13027,13036,13045,13054,13063]"
53	"[13027,13036,13045,13054,13063]"
54	"[13027,13036,13045,13054,13063]"
55	"[13027,13036,13045,13054,13063]"
56	"[13027,13036,13045,13054,13063]"
57	"[13027,13036,13045,13054,13063]"
58	"[13027,13036,13045,13054,13063]"
59	"[13027,13036,13045,13054,13063]"
60	"[13027,13036,13045,13054,13063]"
61	"[13027,13036,13045,13054,13063]"
101	"[13027,13036,13045,13054,13063]"
102	"[13027,13036,13045,13054,13063]"
103	"[13027,13036,13045,13054,13063]"
