number	string	string	string	number	number	number	number	string	number	array2	array	array2	array	array
id	name	img	path	height	width	shadow	boss_name	source	scene_width	initial_monster	initial_boss	monster	boss	monster_name
201	葵華	N003	N003_output	160	100	1	5003	resource/scene/senlin/sl_2_3.sce	2559	"[[5001,-674,1],[5001,-681,3],[5001,-645,1],[5001,-650,4],[5001,-609,2],[5002,233,3],[5002,228,5],[5002,282,1],[5002,310,2],[5002,313,4]]"	"[5003,1092,3]"	[]	[]	"[5001,5002]"
202	マクシーン	N012	N012_output	160	100	1	5003	resource/scene/senlin/sl_2_3.sce	2559	"[[5001,-674,1],[5001,-681,3],[5001,-645,1],[5001,-650,4],[5001,-609,2],[5002,233,3],[5002,228,5],[5002,282,1],[5002,310,2],[5002,313,4]]"	"[5003,1092,3]"	[]	[]	"[5001,5002]"
203	ロレッタ	N002	N002_output	160	100	1	5003	resource/scene/senlin/sl_2_3.sce	2559	"[[5001,-674,1],[5001,-681,3],[5001,-645,1],[5001,-650,4],[5001,-609,2],[5002,233,3],[5002,228,5],[5002,282,1],[5002,310,2],[5002,313,4]]"	"[5003,1092,3]"	[]	[]	"[5001,5002]"
204	フランカ	N013	N013_output	160	100	1	5003	resource/scene/senlin/sl_2_3.sce	2559	"[[5001,-674,1],[5001,-681,3],[5001,-645,1],[5001,-650,4],[5001,-609,2],[5002,233,3],[5002,228,5],[5002,282,1],[5002,310,2],[5002,313,4]]"	"[5003,1092,3]"	[]	[]	"[5001,5002]"
205	リーゼロッテ	N016	N016_output	160	100	1	5003	resource/scene/senlin/sl_2_3.sce	2559	"[[5001,-674,1],[5001,-681,3],[5001,-645,1],[5001,-650,4],[5001,-609,2],[5002,233,3],[5002,228,5],[5002,282,1],[5002,310,2],[5002,313,4]]"	"[5003,1092,3]"	[]	[]	"[5001,5002]"
206	リリヤ	N017	N017_output	160	100	1	5003	resource/scene/senlin/sl_2_3.sce	2559	"[[5001,-674,1],[5001,-681,3],[5001,-645,1],[5001,-650,4],[5001,-609,2],[5002,233,3],[5002,228,5],[5002,282,1],[5002,310,2],[5002,313,4]]"	"[5003,1092,3]"	[]	[]	"[5001,5002]"
207	ディオニシス	N018	N018_output	160	100	1	5003	resource/scene/senlin/sl_2_3.sce	2559	"[[5001,-674,1],[5001,-681,3],[5001,-645,1],[5001,-650,4],[5001,-609,2],[5002,233,3],[5002,228,5],[5002,282,1],[5002,310,2],[5002,313,4]]"	"[5003,1092,3]"	[]	[]	"[5001,5002]"
208	キャロル	N011	N011_output	160	100	1	5003	resource/scene/senlin/sl_2_3.sce	2559	"[[5001,-674,1],[5001,-681,3],[5001,-645,1],[5001,-650,4],[5001,-609,2],[5002,233,3],[5002,228,5],[5002,282,1],[5002,310,2],[5002,313,4]]"	"[5003,1092,3]"	[]	[]	"[5001,5002]"
209	美巴瑠	N005	N005_output	160	100	1	5003	resource/scene/senlin/sl_2_3.sce	2559	"[[5001,-674,1],[5001,-681,3],[5001,-645,1],[5001,-650,4],[5001,-609,2],[5002,233,3],[5002,228,5],[5002,282,1],[5002,310,2],[5002,313,4]]"	"[5003,1092,3]"	[]	[]	"[5001,5002]"
