string	number	number	number	number	number	number	number	number	number	number
id_level	atk	mgc	def	res	hp	critical	accuracy	dodge	hp_bar	skill_level
5003_20	691 	657 	515 	515 	5673 	0	0	0	2	1
5003_25	995 	951 	735 	735 	8296 	0	0	0	2	1
5003_30	1288 	1235 	954 	954 	10974 	0	0	0	2	1
5003_35	1630 	1569 	1203 	1203 	14285 	0	0	0	2	1
5003_40	1868 	1799 	1391 	1391 	16756 	0	0	0	2	1
5003_45	2293 	2212 	1705 	1705 	21182 	0	0	0	2	1
5003_50	2633 	2543 	1958 	1958 	25011 	0	0	0	2	1
5003_55	2958 	2860 	2197 	2197 	28911 	0	0	0	2	1
5003_60	3380 	3271 	2508 	2508 	33983 	0	0	0	2	1
5003_65	3713 	3597 	2747 	2747 	38449 	0	0	0	2	1
5003_70	4109 	3985 	3029 	3029 	43834 	0	0	0	2	1
