number	array2
drop_level	item_drop
20	"[[10001,10000,30000,30000],[30006,1000,1,1]]"
25	"[[10001,10000,36000,36000],[30006,1000,1,1]]"
30	"[[10001,10000,42000,42000],[30006,1000,1,1]]"
35	"[[10001,10000,48000,48000],[30006,1500,1,1]]"
40	"[[10001,10000,54000,54000],[30006,1500,1,1]]"
45	"[[10001,10000,60000,60000],[30006,2000,1,1]]"
50	"[[10001,10000,66000,66000],[30006,2000,1,1]]"
55	"[[10001,10000,72000,72000],[30006,2500,1,1]]"
60	"[[10001,10000,78000,78000],[30006,2500,1,1]]"
65	"[[10001,10000,84000,84000],[30006,2500,1,1]]"
70	"[[10001,10000,90000,90000],[30006,2500,1,1]]"
