number	string	string	string	number	number	string	number	number	number	number	number
id	name	info	description	type	type1	icon	price	quality	usable	price_yb	rare
10001	コイン	ショップでの買い物や強化等に使うコイン	買い物や強化などに使用	8	0	10001	0	1	2	0	0
10002	手柄	手柄を貯めて闘技場の階級を上げよう！	闘技場の階級	8	0	icon	0	3	2	0	0
10003	ダイヤ	非常に高い価値のある石。通貨として使用している。	貴重な通貨	8	0	10003	0	5	2	0	0
10004	友情ポイント	友達を増やそう！	アイテム交換用	8	0	icon	0	3	2	0	0
10005	スタミナ	クエストを行うために必要	クエストに必要	8	0	10005	0	3	2	0	0
10006	ルーンの欠片	神秘的な文字が刻まれている欠片	金色のルーンに交換可能	8	0	10006	0	3	2	0	0
10007	VIP	VIPになると特典が盛りだくさん！	VIP	8	0	icon	0	4	2	0	0
10008	レベル	レベルアップして強くなろう！	チームレベル	8	0	icon	0	4	2	0	0
10009	霊力	霊力を貯めて品質をアップさせましょう！	昇格	8	0	icon	0	4	2	0	0
10010	名声	闘技場に挑戦しましょう！	闘技場ショップ用	8	104	10010	0	4	2	0	0
10011	経験値	経験値を稼ごう！	レベル用	8	0	10011	0	4	2	0	0
10012	ノーマルガチャ券	ノーマルガチャを回せる	ノーマルガチャ	8	104	10012	0	3	2	0	11
10013	レアガチャ券	レアガチャを回せる	レアガチャ	8	104	10013	0	4	2	0	12
10014	チョコレート	市販のチョコレート	親密度UP用アイテム	3	103	10014	0	3	2	0	13
10015	花束	ピンクの花束	親密度UP用アイテム	3	103	10015	0	3	2	0	0
10016	入場券	映画を見に行こう	親密度UP用アイテム	3	103	10016	0	3	2	0	0
10017	ペアルック	一緒に着るのはだいぶ恥ずかしい	親密度UP用アイテム	3	103	10017	0	3	2	0	0
10018	結婚指輪	永遠の愛を誓った証	親密度UP用アイテム	3	103	10018	0	5	2	0	0
10019	討伐コイン	討伐で稼ごう！	討伐ショップ用	8	104	10019	0	4	2	0	0
10020	本	ベストセラーの本	親密度UP用アイテム	3	103	10020	0	3	2	0	0
10021	霧吹き	お花に水をあげましょう	親密度UP用アイテム	3	103	10021	0	3	2	0	0
10022	玉笛	演奏しましょう！	親密度UP用アイテム	3	103	10022	0	3	2	0	0
10023	蛤刃	よく切れるので扱いは慎重に	親密度UP用アイテム	3	103	10023	0	3	2	0	0
10024	ハイヒール	お洒落アイテム！	親密度UP用アイテム	3	103	10024	0	3	2	0	0
10025	バレーボール	学校で使っているバレーボール	親密度UP用アイテム	3	103	10025	0	3	2	0	0
10026	囲碁	それでは縁側で一局	親密度UP用アイテム	3	103	10026	0	3	2	0	0
10027	Ｔシャツ	ごく普通のシャツ	親密度UP用アイテム	3	103	10027	0	3	2	0	0
10028	ヘッドバンド	お洒落アイテム！	親密度UP用アイテム	3	103	10028	0	3	2	0	0
10029	ぬいぐるみ	もふもふする	親密度UP用アイテム	3	103	10029	0	3	2	0	0
10030	手袋	寒い日には欠かせない	親密度UP用アイテム	3	103	10030	0	3	2	0	0
10031	てるてる坊主	明日は晴れてほしい…	親密度UP用アイテム	3	103	10031	0	3	2	0	0
10032	テニス	体育の授業でもするよ！	親密度UP用アイテム	3	103	10032	0	3	2	0	0
10033	焼肉	おなかいっぱい食べよう	親密度UP用アイテム	3	103	10033	0	3	2	0	0
10034	鏡	身だしなみは大切に	親密度UP用アイテム	3	103	10034	0	3	2	0	0
10035	チョコ菓子	ついつい食べちゃう	親密度UP用アイテム	3	103	10035	0	3	2	0	0
10036	スキー板	銀世界へ滑り出そう	親密度UP用アイテム	3	103	10036	0	3	2	0	0
10037	登山靴	足首をしっかりガード	親密度UP用アイテム	3	103	10037	0	3	2	0	0
10038	カップ	ほっと一息	親密度UP用アイテム	3	103	10038	0	3	2	0	0
10039	ホタル	今では貴重な虫	親密度UP用アイテム	3	103	10039	0	3	2	0	0
10040	チケット	一緒に行こうよ！	親密度UP用アイテム	3	103	10040	0	3	2	0	0
10041	カメラ	大事な瞬間を！	親密度UP用アイテム	3	103	10041	0	3	2	0	0
10042	ドレス	大人っぽさを演出	親密度UP用アイテム	3	103	10042	0	3	2	0	13
10043	果物	とっても新鮮な果物	親密度UP用アイテム	3	103	10043	0	3	2	0	0
10044	浮き輪	海に行くなら持って行かなきゃ	親密度UP用アイテム	3	103	10044	0	3	2	0	0
10045	酒	一杯いかが？	親密度UP用アイテム	3	103	10045	0	3	2	0	0
10046	なわ	何に使うのやら…	親密度UP用アイテム	3	103	10046	0	3	2	0	0
10047	ケーキ	ついつい食べ過ぎちゃう	親密度UP用アイテム	3	103	10047	0	3	2	0	13
10048	画板	芸術を生み出そう	親密度UP用アイテム	3	103	10048	0	3	2	0	0
10049	英語辞書	英語が苦手なあなたに	親密度UP用アイテム	3	103	10049	0	3	2	0	0
10050	下痢止め薬	お腹の調子が悪いなら…	親密度UP用アイテム	3	103	10050	0	3	2	0	0
10051	キノコ	食べられるキノコのはず	親密度UP用アイテム	3	103	10051	0	3	2	0	0
10052	メイド服	ご一緒にコーヒーはいかがでしょうか？	親密度UP用アイテム	3	103	10052	0	3	2	0	0
10053	尾	コスプレ用	親密度UP用アイテム	3	103	10053	0	3	2	0	0
10054	アヤメ	綺麗に咲いている	親密度UP用アイテム	3	103	10054	0	3	2	0	13
10055	枕	やわらか枕	親密度UP用アイテム	3	103	10055	0	3	2	0	0
10056	鞭	アブナイ道具だ！	親密度UP用アイテム	3	103	10056	0	3	2	0	0
10057	カクテル	大人の味	親密度UP用アイテム	3	103	10057	0	3	2	0	0
10058	香水	魅惑の香り	親密度UP用アイテム	3	103	10058	0	3	2	0	0
10059	アクアリウム	お魚をたくさん入れよう！	親密度UP用アイテム	3	103	10059	0	3	2	0	13
10060	アロマ	リラックス！	親密度UP用アイテム	3	103	10060	0	3	2	0	0
10061	楽譜	あの名曲を奏でよう！	親密度UP用アイテム	3	103	10061	0	3	2	0	0
10062	弓	普通の弓	親密度UP用アイテム	3	103	10062	0	3	2	0	0
10063	猫缶	猫用の缶詰（徳用品）	親密度UP用アイテム	3	103	10063	0	3	2	0	0
10064	海鮮粥	おなかに優しい	親密度UP用アイテム	3	103	10064	0	3	2	0	0
10065	水着	素肌がまぶしい！	親密度UP用アイテム	3	103	10065	0	3	2	0	0
10066	バスケットボール	有名な選手がサインしてくれた！	親密度UP用アイテム	3	103	10066	0	3	2	0	0
10067	ペアカップ	一緒に使って温まろう	親密度UP用アイテム	3	103	10067	0	3	2	0	0
10068	スマホ	通信料にご注意を！	親密度UP用アイテム	3	103	10068	0	3	2	0	0
10069	風邪薬	風邪ひいた？	親密度UP用アイテム	3	103	10069	0	3	2	0	0
10070	ブレスレット	母から貰いました	親密度UP用アイテム	3	103	10070	0	3	2	0	0
10071	猫耳	誰がつけても大体可愛い	親密度UP用アイテム	3	103	10071	0	3	2	0	0
10072	首輪	少しハードなアイテム	親密度UP用アイテム	3	103	10072	0	3	2	0	0
10073	照明	これで明るくなるね！	親密度UP用アイテム	3	103	10073	0	3	2	0	0
10074	浴衣	夏祭りに行こうよ！	親密度UP用アイテム	3	103	10074	0	3	2	0	0
10075	クローバー	幸運が訪れる！	親密度UP用アイテム	3	103	10075	0	3	2	0	0
10076	日記	三日坊主にならぬように	親密度UP用アイテム	3	103	10076	0	3	2	0	0
10077	割引券	超お得じゃん！	親密度UP用アイテム	3	103	10016	0	3	2	0	0
11001	おにぎり	経験値を獲得できる	キャラレベル強化用	12	104	11001	0	1	2	0	14
11002	クレープ	経験値を多く獲得できる	キャラレベル強化用	12	104	11002	0	2	2	0	14
11003	ステーキ	経験値をとても多く獲得できる	キャラレベル強化用	12	104	11003	0	3	2	0	14
12001	ピーチツイル	柔らかい薄起毛の綾織り素材	装備合成用	3	101	12001	1	2	2	10	15
12002	スレッド	普通のスレッド	装備合成用	3	101	12002	1	2	2	10	15
12003	ざくろ石	熱意があふれる石だ！	装備合成用	3	101	12003	1	2	2	10	15
12004	ナナミノキ	長生きの象徴だ！	装備合成用	3	101	12004	1	2	2	10	15
12005	銅ボタン	普通のボタンだ！	装備合成用	3	101	12005	1	2	2	10	15
12101	繻子	高級感がある！	装備合成用	3	101	12101	100	3	2	100	16
12102	クモの糸	麗雅が作った糸！	装備合成用	3	101	12102	100	3	2	100	16
12103	黒曜石	魔除けの効果があるらしい！	装備合成用	3	101	12103	100	3	2	100	16
12104	ミスリル	硬いけど、軽い！	装備合成用	3	101	12104	100	3	2	100	16
