number	string	array	string	array	string	array	string
id	name	path1	path_description1	path2	path_description2	path3	path_description3
30001	柳蘭	"[1,5014]"	[ハード]発見2-4	"[1,5026]"	[ハード]こそ泥再臨3-6	"[1,5040]"	[ハード]クリア4-10
30002	メラニー	"[1,4]"	討伐ショップ	[]		[]	
30003	葵華	"[1,5001]"	[ハード]鳶舞1-1	"[1,5015]"	[ハード]罠にはまる2-5	"[1,5057]"	[ハード]待ち伏せ失敗6-7
30004	冥翠	"[1,5002]"	[ハード]猛獣使い1-2	"[1,5025]"	[ハード]ジジジャジャズズ~3-5	"[1,5039]"	[ハード]蜘蛛切4-9
30005	美巴瑠	"[1,5003]"	[ハード]猛獣使い1-3	"[1,5016]"	[ハード]飛刀絶技2-6	"[1,5030]"	[ハード]救助される3-10
30006	望乃	"[1,4]"	討伐ショップ	"[1,5031]"	[ハード]視界ゼロ3-1	"[1,5056]"	[ハード]罠6-6
30007	ノエリア	"[1,5004]"	[ハード]飛飛1-4	"[1,5017]"	[ハード]誰もいなくなる1-7	"[1,5055]"	[ハード]計には計を6-5
30008	麗雅	"[1,5021]"	[ハード]お化け3-1	"[1,5050]"	[ハード]失効5-10	"[1,5058]"	[ハード]壁から侵入6-8
30009	クラレッタ	"[1,5005]"	[ハード]テスト1-5	"[1,5038]"	[ハード]助けを呼ぼう4-8	"[1,5054]"	[ハード]覚醒6-4
30010	イレーネ	"[1,5023]"	[ハード]伝説のスナイパー3-3	"[1,5053]"	[ハード]相愛相殺6-3	"[1,5068]"	警報7-8
30011	キャロル	"[1,5006]"	[ハード]練習1-6	"[1,5018]"	[ハード]玉露2-8	"[1,5052]"	[ハード]勝利？6-2
30012	マクシーン	"[1,1]"	ガチャ	[]		[]	
30013	ニコラ	"[1,5024]"	[ハード]思いがけない収穫3-4	"[1,5037]"	[ハード]混戦4-7	"[1,5051]"	[ハード]怪魚6-1
30014	水桃	"[1,5007]"	[ハード]敵の襲来1-7	"[1,5027]"	[ハード]失踪3-7	"[1,5049]"	[ハード]玉露5-9
30015	コーディー	"[1,5013]"	[ハード]守る2-3	"[1,5036]"	[ハード]迷子4-6	"[1,5048]"	[ハード]危機5-8
30016	リーゼロッテ	"[1,5008]"	[ハード]ターゲット発見1-8	"[1,5019]"	[ハード]監視者2-9	"[1,5059]"	[ハード]撤退6-9
30017	リリヤ	"[1,5032]"	[ハード]再トライ4-2	"[1,5047]"	[ハード]飛行機5-7	"[1,5067]"	コントロールルーム7-7
30018	ディオニシス	"[1,5009]"	[ハード]本物とニセ物1-9	"[1,5020]"	[ハード]アクシデント2-10	"[1,5066]"	変態7-6
30019	リンジー	"[1,5]"	闘技場ショップ	[]		[]	
30020	シェスタ	"[1,5012]"	[ハード]貯蔵場所2-2	"[1,5028]"	[ハード]救助3-8	"[1,5046]"	[ハード]警報5-6
