number	array	array2
id	ranking	reward
101	"[1,1]"	"[[10001,80000],[10013,2],[30039,5],[16004,5]]"
102	"[2,2]"	"[[10001,60000],[10013,2],[30039,4],[16004,3]]"
103	"[3,3]"	"[[10001,50000],[10013,1],[30039,3],[16004,2]]"
104	"[4,10]"	"[[10001,40000],[10013,1],[30039,2],[16004,2]]"
105	"[11,30]"	"[[10001,30000],[10012,2],[16004,1]]"
106	"[31,1000]"	"[[10001,8000],[10012,1],[16004,1]]"
201	"[1,1]"	"[[10001,80000],[10013,2],[30039,5],[16004,5]]"
202	"[2,2]"	"[[10001,60000],[10013,2],[30039,4],[16004,3]]"
203	"[3,3]"	"[[10001,50000],[10013,1],[30039,3],[16004,2]]"
204	"[4,10]"	"[[10001,40000],[10013,1],[30039,2],[16004,2]]"
205	"[11,30]"	"[[10001,30000],[10012,2],[16004,1]]"
206	"[31,1000]"	"[[10001,8000],[10012,1],[16004,1]]"
