number	number	number	number	number
level	exp	offline_exp_bonus	alchemy_money	energy
1	26 	0	22000	60
2	74 	0	22000	60
3	149 	0	22000	60
4	254 	0	22000	60
5	397 	0	22000	60
6	585 	0	22000	60
7	826 	0	22000	60
8	1132 	0	22000	60
9	1517 	0	22000	60
10	1967 	0	22000	60
11	2467 	0	22000	60
12	3017 	0	22000	60
13	3617 	0	22000	60
14	4267 	0	22000	60
15	4967 	0	22000	60
16	5717 	0	22000	60
17	6517 	0	22000	60
18	7367 	0	22000	60
19	8267 	0	22000	60
20	12767 	0	22000	60
21	18767 	0	22000	60
22	25767 	0	22000	60
23	33767 	0	22000	60
24	42767 	0	22000	60
25	57767 	0	22000	60
26	72767 	0	22000	60
27	96267 	0	22000	60
28	119767 	0	22000	60
29	143267 	0	22000	60
30	166767 	0	22000	60
31	190267 	0	22000	60
32	213767 	0	22000	60
33	237267 	0	22000	60
34	284267 	0	22000	60
35	331267 	0	22000	60
36	378267 	0	22000	60
37	425267 	0	22000	60
38	472267 	0	22000	60
39	520267 	0	22000	60
40	568267 	0	22000	60
41	617267 	0	22000	60
42	666267 	0	22000	60
43	721267 	0	22000	60
44	776267 	0	22000	60
45	836267 	0	22000	60
46	906267 	0	22000	60
47	981267 	0	22000	60
48	1056267 	0	22000	60
49	1136267 	0	22000	60
50	1216267 	0	22000	60
51	1306267 	0	22000	60
52	1428767 	0	22000	60
53	1551267 	0	22000	60
54	1673767 	0	22000	60
55	1798767 	0	22000	60
56	1926267 	0	22000	60
57	2063767 	0	22000	60
58	2213767 	0	22000	60
59	2383767 	0	22000	60
60	2553767 	0	22000	60
61	2728767 	0	22000	60
62	2938767 	0	22000	60
63	3153767 	0	22000	60
64	3368767 	0	22000	60
65	3583767 	0	22000	60
66	3808767 	0	22000	60
67	4033767 	0	22000	60
68	4283767 	0	22000	60
69	4558767 	0	22000	60
70	4833767 	0	22000	60
71	5153767 	0	32000	60
72	5573767 	0	32000	60
73	5943767 	0	32000	60
74	6333767 	0	32000	60
75	6783767 	0	32000	60
76	7098767 	0	32000	60
77	7413767 	0	32000	60
78	7748767 	0	32000	60
79	8083767 	0	32000	60
80	8888767 	0	32000	60
81	9273767 	0	32000	60
82	9678767 	0	32000	60
83	10003767 	0	32000	60
84	10493767 	0	32000	60
85	10783767 	0	32000	60
86	11158767 	0	32000	60
87	11583767 	0	32000	60
88	11988767 	0	32000	60
89	12478767 	0	32000	60
90	12843767 	0	32000	60
91	13423767 	0	32000	60
92	13923767 	0	32000	60
93	14463767 	0	32000	60
94	15043767 	0	32000	60
95	15683767 	0	32000	60
96	16403767 	0	32000	60
97	17203767 	0	32000	60
98	18083767 	0	32000	60
99	19043767 	0	32000	60
100	20243767 	0	32000	60
