number	number	number	number	number	number	number	number	number	number	number
id	level	job	atk	mgc	def	res	hp	dodge	cri	tough
1	1	1	7	7	7	6	50	0	0	0
2	2	1	15	14	14	13	100	0	0	0
3	3	1	22	22	21	19	150	0	0	0
4	4	1	30	29	28	26	200	0	0	0
5	5	1	37	37	36	33	250	0	0	0
6	6	1	45	44	43	39	300	0	0	0
7	7	1	52	51	50	46	350	0	0	0
8	8	1	60	59	57	52	400	0	0	0
9	9	1	67	66	64	59	450	0	0	0
10	10	1	75	74	72	66	501	0	0	0
11	11	1	82	81	79	72	551	0	0	0
12	12	1	90	88	86	79	601	0	0	0
13	13	1	97	96	93	85	651	0	0	0
14	14	1	105	103	100	92	701	0	0	0
15	15	1	112	111	108	99	751	0	0	0
16	16	1	120	118	115	105	801	0	0	0
17	17	1	127	125	122	112	851	0	0	0
18	18	1	135	133	129	118	901	0	0	0
19	19	1	142	140	136	125	951	0	0	0
20	20	1	150	148	144	132	1002	0	0	0
21	21	1	157	155	151	138	1052	0	0	0
22	22	1	165	162	158	145	1102	0	0	0
23	23	1	172	170	165	151	1152	0	0	0
24	24	1	180	177	172	158	1202	0	0	0
25	25	1	187	185	180	165	1252	0	0	0
26	26	1	195	192	187	171	1302	0	0	0
27	27	1	202	199	194	178	1352	0	0	0
28	28	1	210	207	201	184	1402	0	0	0
29	29	1	217	214	208	191	1452	0	0	0
30	30	1	225	222	216	198	1503	0	0	0
31	31	1	232	229	223	204	1553	0	0	0
32	32	1	240	236	230	211	1603	0	0	0
33	33	1	247	244	237	217	1653	0	0	0
34	34	1	255	251	244	224	1703	0	0	0
35	35	1	262	259	252	231	1753	0	0	0
36	36	1	270	266	259	237	1803	0	0	0
37	37	1	277	273	266	244	1853	0	0	0
38	38	1	285	281	273	250	1903	0	0	0
39	39	1	292	288	280	257	1953	0	0	0
40	40	1	300	296	288	264	2004	0	0	0
41	41	1	307	303	295	270	2054	0	0	0
42	42	1	315	310	302	277	2104	0	0	0
43	43	1	322	318	309	283	2154	0	0	0
44	44	1	330	325	316	290	2204	0	0	0
45	45	1	337	333	324	297	2254	0	0	0
46	46	1	345	340	331	303	2304	0	0	0
47	47	1	352	347	338	310	2354	0	0	0
48	48	1	360	355	345	316	2404	0	0	0
49	49	1	367	362	352	323	2454	0	0	0
50	50	1	375	370	360	330	2505	0	0	0
51	51	1	382	377	367	336	2555	0	0	0
52	52	1	390	384	374	343	2605	0	0	0
53	53	1	397	392	381	349	2655	0	0	0
54	54	1	405	399	388	356	2705	0	0	0
55	55	1	412	407	396	363	2755	0	0	0
56	56	1	420	414	403	369	2805	0	0	0
57	57	1	427	421	410	376	2855	0	0	0
58	58	1	435	429	417	382	2905	0	0	0
59	59	1	442	436	424	389	2955	0	0	0
60	60	1	450	444	432	396	3006	0	0	0
61	61	1	457	451	439	402	3056	0	0	0
62	62	1	465	458	446	409	3106	0	0	0
63	63	1	472	466	453	415	3156	0	0	0
64	64	1	480	473	460	422	3206	0	0	0
65	65	1	487	480	467	429	3256	0	0	0
66	66	1	495	488	475	435	3306	0	0	0
67	67	1	502	495	482	442	3356	0	0	0
68	68	1	510	503	489	448	3406	0	0	0
69	69	1	517	510	496	455	3456	0	0	0
70	70	1	525	517	503	462	3507	0	0	0
71	71	1	533	524	510	469	3558	0	0	0
72	72	1	541	531	517	476	3609	0	0	0
73	73	1	549	538	524	483	3660	0	0	0
74	74	1	557	545	531	490	3711	0	0	0
75	75	1	565	552	538	497	3762	0	0	0
76	76	1	573	559	545	504	3813	0	0	0
77	77	1	581	566	552	511	3864	0	0	0
78	78	1	589	573	559	518	3915	0	0	0
79	79	1	597	580	566	525	3966	0	0	0
80	80	1	605	587	573	532	4017	0	0	0
81	81	1	613	594	580	539	4068	0	0	0
82	82	1	621	601	587	546	4119	0	0	0
83	83	1	629	608	594	553	4170	0	0	0
84	84	1	637	615	601	560	4221	0	0	0
85	85	1	645	622	608	567	4272	0	0	0
86	86	1	653	629	615	574	4323	0	0	0
87	87	1	661	636	622	581	4374	0	0	0
88	88	1	669	643	629	588	4425	0	0	0
89	89	1	677	650	636	595	4476	0	0	0
