string	number	number	number	number	number	number	number	number	number	number
id_level	atk	mgc	def	res	hp	critical	accuracy	dodge	skill_level	hp_bar
7020_10	290 	280 	290 	290 	6000 	0	0	0	1	3
7018_30	1164 	1142 	1619 	1645 	34637 	0	0	0	1	4
7018_45	1785 	1876 	2378 	2433 	23593 	0	0	0	1	5
7018_55	2632 	2796 	3445 	3536 	34110 	0	0	0	1	6
7018_90	9999 	9999 	99999 	99999 	99999 	0	0	0	1	7
7012_10	290 	280 	290 	290 	6000 	0	0	0	1	3
7011_30	1464 	1442 	1619 	1645 	34637 	0	0	0	1	4
7014_45	1785 	1876 	2378 	2433 	23593 	0	0	0	1	5
7011_55	2632 	2796 	3445 	3536 	34110 	0	0	0	1	6
7011_90	9999 	9999 	99999 	99999 	99999 	0	0	0	1	7
7003_10	290 	280 	290 	290 	6000 	0	0	0	1	3
7004_30	1164 	1142 	1619 	1645 	34637 	0	0	0	1	4
7002_45	100 	100 	999999 	999999 	800 	0	0	0	1	1
7004_55	2632 	2796 	3445 	3536 	34110 	0	0	0	1	6
7004_90	9999 	9999 	99999 	99999 	99999 	0	0	0	1	7
7005_10	290 	280 	290 	290 	6000 	0	0	0	1	3
7007_30	1164 	1142 	1619 	1645 	34637 	0	0	0	1	4
7009_45	1785 	1876 	2378 	2433 	23593 	0	0	0	1	5
7007_55	2632 	2796 	3445 	3536 	34110 	0	0	0	1	6
7008_90	9999 	9999 	99999 	99999 	99999 	0	0	0	1	7
