number	string	string	string
id	name	start_time	end_time
1	毎日購入	2016-10-08 00:00:00	2016-10-09 23:59:59
2	ガチャボーナス	2016-06-20 00:00:00	2016-06-21 23:59:59
3	翼昇格	2016-01-27 00:00:00	2016-03-01 23:59:59
4	スタミナボーナス	2016-10-06 00:00:00	2016-10-07 23:59:59
5	福袋交換	2016-10-08 00:00:00	2016-10-09 23:59:59
6	年間パスポート	2016-10-01 00:00:00	2016-10-03 23:59:59
7	累計購入	2016-04-25 00:00:00	2016-04-27 23:59:59
8	デイリーガチャ	2016-10-01 00:00:00	2016-10-07 23:59:59
9	デイリースタミナ	2016-03-01 00:00:00	2016-03-01 23:59:59
10	成長計画	2016-03-01 00:00:00	2017-03-02 23:59:59
11	毎日精錬	2016-06-01 00:00:00	2016-06-03 23:59:59
12	累計精錬	2016-06-01 00:00:00	2016-06-03 23:59:59
13	毎日天賦	2016-03-10 00:00:00	2016-03-13 23:59:59
14	天賦更新	2016-03-01 00:00:00	2016-03-01 23:59:59
15	購入累計	2016-03-02 00:00:00	2016-03-02 23:59:59
17	本日購入	2016-03-03 00:00:00	2016-03-03 23:59:59
19	ダイヤボーナス	2016-10-07 00:00:00	2016-10-07 23:59:59
20	中秋活动	2016-10-01 00:00:00	2016-10-07 23:59:59
21	活动抽卡	2017-02-06 12:00:00	2017-02-19 00:01:30
22	限时抽卡	2017-01-22 00:00:00	2017-02-11 23:59:59
