number	number	number	number	number	number
id	month	login_accumulative	item	count	heroid
1	1	1	10001	1	0
2	1	2	10001	1	0
3	1	3	10001	1	0
4	1	4	10001	1	0
5	1	5	10001	1	0
6	1	6	10001	1	0
7	1	7	10001	1	0
8	1	8	10001	1	0
9	1	9	10001	1	0
10	1	10	10001	1	0
11	1	11	10001	1	0
12	1	12	10001	1	0
13	1	13	10001	1	0
14	1	14	10001	1	0
15	1	15	10001	1	0
16	1	16	10001	1	0
17	1	17	10001	1	0
18	1	18	10001	1	0
19	1	19	10001	1	0
20	1	20	10001	1	0
21	1	21	10001	1	0
22	1	22	10001	1	0
23	1	23	10001	1	0
24	1	24	10001	1	0
25	2	1	10001	1	0
26	2	2	10001	1	0
27	2	3	10001	1	0
28	2	4	10001	1	0
29	2	5	10001	1	0
30	2	6	10001	1	0
31	2	7	10001	1	0
32	2	8	10001	1	0
33	2	9	10001	1	0
34	2	10	10001	1	0
35	2	11	10001	1	0
36	2	12	10001	1	0
37	2	13	10001	1	0
38	2	14	10001	1	0
39	2	15	10001	1	0
40	2	16	10001	1	0
41	2	17	10001	1	0
42	2	18	10001	1	0
43	2	19	10001	1	0
44	2	20	10001	1	0
45	2	21	10001	1	0
46	2	22	10001	1	0
47	2	23	10001	1	0
48	2	24	10001	1	0
49	3	1	10001	1	0
50	3	2	10001	1	0
51	3	3	10001	1	0
52	3	4	10001	1	0
53	3	5	10001	1	0
54	3	6	10001	1	0
55	3	7	10001	1	0
56	3	8	10001	1	0
57	3	9	10001	1	0
58	3	10	10001	1	0
59	3	11	10001	1	0
60	3	12	10001	1	0
61	3	13	10001	1	0
62	3	14	10001	1	0
63	3	15	10001	1	0
64	3	16	10001	1	0
65	3	17	10001	1	0
66	3	18	10001	1	0
67	3	19	10001	1	0
68	3	20	10001	1	0
69	3	21	10001	1	0
70	3	22	10001	1	0
71	3	23	10001	1	0
72	3	24	10001	1	0
73	4	1	10001	1	0
74	4	2	10001	1	0
75	4	3	10001	1	0
76	4	4	10001	1	0
77	4	5	10001	1	0
78	4	6	10001	1	0
79	4	7	10001	1	0
80	4	8	10001	1	0
81	4	9	10001	1	0
82	4	10	10001	1	0
83	4	11	10001	1	0
84	4	12	10001	1	0
85	4	13	10001	1	0
86	4	14	10001	1	0
87	4	15	10001	1	0
88	4	16	10001	1	0
89	4	17	10001	1	0
90	4	18	10001	1	0
91	4	19	10001	1	0
92	4	20	10001	1	0
93	4	21	10001	1	0
94	4	22	10001	1	0
95	4	23	10001	1	0
96	4	24	10001	1	0
