number	number	number	number	number	number	number	number
id	level	atk	mgc	def	res	hp	gold_cost_decreased
1	50	0	0	0	0	0.03	0.9
2	55	0	0	0	0	0.03	0.8
3	60	0	0	0	0	0.03	0.7
4	70	0.03	0.03	0.03	0.03	0.03	0.5
5	50	0	0	0	0	0.05	0.9
6	55	0	0.05	0	0	0.05	0.8
7	60	0.05	0.05	0	0	0.05	0.7
8	70	0.05	0.05	0	0	0.1	0.5
9	50	0	0	0.05	0	0	0.9
10	55	0	0	0.05	0.05	0	0.8
11	60	0	0	0.1	0.05	0	0.7
12	70	0	0	0.1	0.1	0	0.5
13	50	0	0	0	0	0.05	0.9
14	55	0	0	0.025	0.025	0.05	0.8
15	60	0	0.05	0.025	0.025	0.05	0.7
16	70	0.05	0.05	0.025	0.025	0.05	0.5
17	50	0.05	0	0	0	0	0.9
18	55	0.05	0	0	0	0.05	0.8
19	60	0.05	0	0.05	0	0.05	0.7
20	70	0.1	0	0.05	0	0.05	0.5
21	50	0	0.05	0	0	0	0.9
22	55	0	0.05	0	0	0.05	0.8
23	60	0	0.05	0	0.05	0.05	0.7
24	70	0	0.1	0	0.05	0.05	0.5
25	50	0.05	0	0	0	0	0.9
26	55	0.05	0.05	0	0	0	0.8
27	60	0.1	0.05	0	0	0	0.7
28	70	0.1	0.1	0	0	0	0.5
