number	number	string	array
id	meritorious	name	reward
1	125 	新入生Ⅰ	"[10003,30]"
2	375 	新入生Ⅱ	"[10003,60]"
3	625 	新入生Ⅲ	"[10003,70]"
4	1250 	劣等生Ⅰ	"[10003,90]"
5	1875 	劣等生Ⅱ	"[10003,120]"
6	2500 	劣等生Ⅲ	"[10003,135]"
7	3125 	優等生Ⅰ	"[10003,140]"
8	4000 	優等生Ⅱ	"[10003,165]"
9	4875 	優等生Ⅲ	"[10003,180]"
10	5750 	特待生Ⅰ	"[10003,210]"
11	7000 	特待生Ⅱ	"[10003,210]"
12	8250 	特待生Ⅲ	"[10003,240]"
13	9500 	主席Ⅰ	"[10003,270]"
14	10750 	主席Ⅱ	"[10003,280]"
15	12000 	主席Ⅲ	"[10003,315]"
16	13875 	学級委員長Ⅰ	"[10003,385]"
17	15750 	学級委員長Ⅱ	"[10003,420]"
18	17625 	学級委員長Ⅲ	"[10003,490]"
19	19500 	風紀委員	"[10003,560]"
20	22000 	生徒会長	"[10003,630]"
