number	string	number	number	number	string	array	number	string	array	string	number	number	number	number	array2	number	array2	array	array2	array	number
id	name	job	rare	level	source	monster_name	boss_name	boss_story	piece_name	portrait	exp	coin	soul	pre_level	item_drop	monster_level	initial_monster	initial_boss	monster	boss	fighting_capacity
5001	斯露德	3	2	10	resource/scene/bf003/bf003_merge.sce	"[4056,4059,4062]"	2017	雷神索爾和希芙的女兒，她名字的意思是“力量”，作為女武神之一，集智慧、美麗、武力於一身	"[32017,18001]"	H017	6	400	20	0	"[[32017,4000,1],[18001,2000,1]]"	15	"[[4059,-20,2],[4059,40,1],[4059,50,3],[4062,160,2],[4056,220,1],[4056,230,3]]"	[]	"[[4059,12,2],[4059,12.6,1],[4059,14,3],[4059,14.3,1],[4059,14.6,3]]"	"[4017,10]"	555
5002	屠龙齐格飞	2	3	10	resource/scene/bf003/bf003_merge.sce	"[4056,4059,4062]"	2021	年輕的鐵匠，殺死魔龍法夫納救了冰島皇後布倫希爾德並相愛。龍血沐浴刀槍不入，只有後背上樹葉覆蓋的地方成為了弱點	"[32021,18001]"	H021	6	440	20	5001	"[[32021,4000,1],[18001,2000,1]]"	17	"[[4059,-20,2],[4059,40,1],[4059,50,3],[4062,160,2],[4056,220,1],[4056,230,3]]"	[]	"[[4059,12,2],[4059,12.6,1],[4059,14,3],[4059,14.3,1],[4059,14.6,3]]"	"[4021,10]"	555
5003	战场女武神	4	3	10	resource/scene/bf003/bf003_merge.sce	"[4056,4059,4062]"	2016	負責在陸地的戰場上挑選勇敢的戰死者，也會到海上從沉沒的大龍船裡挑選將死的勇敢維京人	"[32016,18001]"	H016	6	480	20	5002	"[[32016,4000,1],[18001,2000,1]]"	20	"[[4059,-20,2],[4059,40,1],[4059,50,3],[4062,160,2],[4056,220,1],[4056,230,3]]"	[]	"[[4059,12,2],[4059,12.6,1],[4059,14,3],[4059,14.3,1],[4059,14.6,3]]"	"[4016,10]"	563
5004	斯巴达战鬼	1	4	10	resource/scene/bf003/bf003_merge.sce	"[4056,4059,4062]"	2104	戰士的庇護者，羅馬的守護神，相傳是羅馬城建造者羅穆盧斯的父親，因此他也是羅馬人的祖先	"[32104,18001]"	H104	6	520	20	5003	"[[32104,4000,1],[18001,2000,1]]"	22	"[[4059,-20,2],[4059,40,1],[4059,50,3],[4062,160,2],[4056,220,1],[4056,230,3]]"	[]	"[[4059,12,2],[4059,12.6,1],[4059,14,3],[4059,14.3,1],[4059,14.6,3]]"	"[4104,10]"	563
5005	瓦尔基里	1	5	10	resource/scene/bf005/bf005_merge.sce	"[4056,4059,4062]"	2014	原屬華納神族，她是愛神、戰神與魔法之神，作為女武神之首為奧丁遴選死難英雄	"[32014,18001]"	H014	6	560	20	5004	"[[32014,3000,1],[18001,2000,1]]"	25	"[[4059,-20,2],[4059,40,1],[4059,50,3],[4062,160,2],[4056,220,1],[4056,230,3],[4059,360,2]]"	[]	"[[4059,12,2],[4059,12.6,1],[4059,14,3],[4059,14.3,1],[4059,14.6,3],[4056,16.3,1],[4056,16.6,3]]"	"[4014,10]"	569
5006	伊阿宋	2	2	10	resource/scene/bf003/bf003_merge.sce	"[4056,4059,4062]"	2054	被叔父篡奪王位，在阿耳戈英雄們和背叛國家的公主美狄亞幫助下奪取金羊毛，並與其結婚，然他最終背叛並孤獨終老	"[32054,18001]"	H054	6	600	20	5005	"[[32054,4000,1],[18001,2000,1]]"	26	"[[4059,-20,2],[4059,40,1],[4059,50,3],[4062,160,2],[4056,220,1],[4056,230,3],[4059,360,2]]"	[]	"[[4059,12,2],[4059,12.6,1],[4059,14,3],[4059,14.3,1],[4059,14.6,3],[4056,16.3,1],[4056,16.6,3]]"	"[4054,10]"	569
5007	布伦希尔德	1	3	10	resource/scene/bf003/bf003_merge.sce	"[4056,4059,4062]"	2015	冰島女王，因其公正的仲裁決鬥，被奧丁降罪禁錮沉睡於阿爾卑斯山城堡中，幸得齊格飛的營救並相愛	"[32015,18001]"	H015	6	640	20	5006	"[[32015,4000,1],[18001,2000,1]]"	27	"[[4059,-20,2],[4059,40,1],[4059,50,3],[4062,160,2],[4056,220,1],[4056,230,3],[4059,360,2]]"	[]	"[[4059,12,2],[4059,12.6,1],[4059,14,3],[4059,14.3,1],[4059,14.6,3],[4056,16.3,1],[4056,16.6,3]]"	"[4015,10]"	577
5008	芙蕾	3	4	10	resource/scene/bf003/bf003_merge.sce	"[4056,4059,4062]"	2013	豐饒之神，主司收成和天氣。海洋之神尼約德之子，出身華納神族	"[32013,18001]"	H013	6	680	20	5007	"[[32013,4000,1],[18001,2000,1]]"	28	"[[4059,-20,2],[4059,40,1],[4059,50,3],[4062,160,2],[4056,220,1],[4056,230,3],[4059,360,2]]"	[]	"[[4059,12,2],[4059,12.6,1],[4059,14,3],[4059,14.3,1],[4059,14.6,3],[4056,16.3,1],[4056,16.6,3]]"	"[4013,10]"	577
5009	潘多拉	3	5	15	resource/scene/bf005/bf005_merge.sce	"[4056,4059,4062]"	2105	被神創造出的擁有一切天賦的女人，潘多拉的魔盒給人類帶來了普羅米修斯盜火的懲罰:灾难	"[32105,18001]"	H105	6	720	20	5008	"[[32105,3000,1],[18001,2000,1]]"	30	"[[4059,-20,2],[4059,40,1],[4059,50,3],[4062,160,2],[4056,220,1],[4056,230,3],[4059,360,2]]"	[]	"[[4059,12,2],[4059,12.6,1],[4059,14,3],[4059,14.3,1],[4059,14.6,3],[4056,16.3,1],[4056,16.6,3]]"	"[4105,10]"	777
5010	希尔瓦娜斯	3	3	15	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2061	悲情和最富傳奇色彩的英雄之一，銀月游俠希爾瓦娜斯·风行者，高等精灵游侠的領袖，黑暗精灵女王	"[32061,18001]"	H061	6	760	20	5009	"[[32061,4000,1],[18001,2000,1]]"	31	"[[4059,-20,2],[4059,40,1],[4059,50,3],[4062,160,2],[4056,220,1],[4056,230,3],[4059,350,1],[4059,360,2],[4059,370,3]]"	[]	"[[4059,12,2],[4059,12.6,1],[4059,14,3],[4059,14.3,1],[4059,14.6,3],[4056,16.3,1],[4056,16.6,3],[4062,18,2]]"	"[4061,10]"	777
5011	奥德修斯	4	3	15	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2001	英勇多謀的伊塔卡島之王，曾參加特洛伊戰爭並獻木馬計。十年艱險終回國並與兒子合力擊殺妻子的求婚者，一家團圓	"[32001,18001]"	H001	6	800	20	5010	"[[32001,4000,1],[18001,2000,1]]"	32	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4001,10]"	793
5012	普罗米修斯	4	4	15	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2008	創造了人類亦是人類導師，偷到了火種帶給人類，因而受到宙斯的嚴酷懲罰，直到被海格力斯拯救	"[32008,18001]"	H008	6	840	20	5011	"[[32008,4000,1],[18001,2000,1]]"	33	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4008,10]"	793
5013	维纳斯	4	5	20	resource/scene/bf005/bf005_merge.sce	"[4057,4060,4063]"	2005	主司愛與美的絕色女神，同時又是執掌生育與航海的女神，並和戰神阿瑞斯生下了小愛神丘比特	"[32005,18001]"	H005	6	880	20	5012	"[[32005,3000,1],[18001,2000,1]]"	35	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4005,10]"	804
5014	赫斐斯托斯	1	4	20	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2079	奧林匹斯十二主神之工匠之神，維納斯丈夫，制造了許多著名的武器、工具和藝術品	"[32079,18001]"	H079	6	920	20	5013	"[[32079,4000,1],[18001,2000,1]]"	37	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4079,10]"	804
