string	number	number	number	number	number	number	number	number	number	number
id_level	atk	mgc	def	res	hp	critical	accuracy	dodge	skill_level	hp_bar
4017_15	608	608	384	384	70680	140	140	140	1	3
4021_17	648	648	432	432	77880	160	160	160	1	3
4016_20	756	756	504	504	88680	190	190	190	1	3
4104_22	884	884	624	624	98280	210	210	210	1	3
4014_25	1139	1139	804	804	112680	240	240	240	1	4
4054_26	1152	1152	864	864	117480	250	250	250	1	4
4015_27	1232	1232	924	924	122280	260	260	260	1	4
4013_28	1312	1312	984	984	127080	270	270	270	1	4
4105_30	1472	1472	1104	1104	136680	290	290	290	1	4
4061_31	1500	1500	1200	1200	148625	300	300	300	1	4
4001_32	1620	1620	1296	1296	154875	310	310	310	1	4
4008_33	1740	1740	1392	1392	161125	320	320	320	1	4
4005_35	1980	1980	1584	1584	173625	340	340	340	1	4
4079_37	2220	2220	1776	1776	193570	360	360	360	1	4
4107_38	2340	2340	1872	1872	200070	370	370	370	1	5
4076_40	2580	2580	2064	2064	213070	390	390	390	1	5
4084_43	3300	3300	2640	2640	245565	420	420	420	1	5
4081_46	4020	4020	3216	3216	279860	450	450	450	1	5
4078_50	4980	4980	3984	3984	313460	490	490	490	1	5
4058_53	5700	5700	4560	4560	359455	540	540	540	1	5
4090_56	6420	6420	5136	5136	407850	600	600	600	1	6
4080_60	7380	7380	5904	5904	455850	680	680	680	1	6
4038_63	8460	8460	6768	6768	508245	740	740	740	1	6
4082_66	9540	9540	7632	7632	563040	800	800	800	1	6
4018_70	10980	10980	8784	8784	614240	880	880	880	1	6
4020_75	12780	12780	10224	10224	699435	980	980	980	1	6
4004_80	14580	14580	11664	11664	788630	1080	1080	1080	1	6
4109_85	16380	16380	13104	13104	881825	1180	1180	1180	1	7
4075_90	18180	18180	14544	14544	979020	1280	1280	1280	1	7
4009_95	20880	20880	16704	16704	1080215	1380	1380	1380	1	7
4106_100	23580	23580	18864	18864	1185410	1480	1480	1480	1	7
4100_105	26280	26280	21024	21024	1294605	1580	1580	1580	1	7
4007_110	28980	28980	23184	23184	1407800	1680	1680	1680	1	7
4049_115	31680	31680	25344	25344	1487800	1780	1780	1780	1	7
4077_120	34380	34380	27504	27504	1567800	1880	1880	1880	1	7
