number	number	string	number	number	number	number	number	number	number	number	number	number
id	item_id	name	sheet	money_type	price	ishot	isnew	islimited	hide	discount	imt	time
1	10014	チョコレート	0	1	9	0	0	0	1	8	0	0
2	10015	花束	0	1	9	0	0	0	1	8	0	0
3	10016	チケット	0	1	9	0	0	0	1	8	0	0
4	10031	てるてる坊主	0	1	10	0	0	0	0	8	0	0
5	10018	結婚指輪	0	1	990	1	0	0	0	899	0	0
6	19001	地の力	0	1	19	0	0	0	0	18	0	0
7	19002	日の力	0	1	24	0	0	0	0	21	0	0
8	19003	月の力	0	1	29	0	0	0	0	25	0	0
9	19004	天の力	0	1	34	0	0	0	0	30	0	0
10	19005	靈の力	0	1	39	0	0	0	0	35	0	0
11	24001	神獣の羽根	0	1	60	1	0	0	0	54	0	0
12	15005	初始贩卖包A	0	1	600	1	0	1	0	600	1	7
13	15006	初始贩卖包B	0	1	1200	1	0	1	0	1200	1	7
14	23001	天使の翼	0	1	998	1	0	0	0	898	0	0
