number	string	number	string	string	string	string	number	number	number	number	number	number	number	number	array	number	number	number	number	number	number	number	string	string	number	string	string
id	name	job	img	path	atk_script	hit_script	bodytype	actiontime	skill_cancel_time	width	height	speed	hit_rate	hit_area	factor	skill	atk_power	hit_power	kill_power	total_power	shadow	trail	skill_script	next_skill	skill_auto	skill_auto_script	icon
3001	狂戦士	1	M011	M011_output	M011_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[0.5,1,1.8,0.1,1.6]"		0	0	0	0	2	0					M011_icon_01
3002	ドラコン	3	M014	M014_output	M014_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[2.5,1.2,1,1,0.45]"		1	0	0	0	2	0					M014_icon_01
3003	狙撃手	2	M013	M013_output	M013_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[0.5,1,1,0.5,0.6]"		0	0	45	0	2	0					M013_icon_01
3004	サイキック	1	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[2.5,1,1,1,1]"	524	1	0.5	10	25	2	0	S524_magic_M001_attack	S525_magic_M001_attack			M001_icon_01
3005	幽霊	1	H005	H005_output	H005_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1,1,1,1,1]"	530	1	0.5	10	25	2	0	S530_magic_H005_attack	S531_magic_H005_attack	525	H005_auto525_attack	H005_icon_01
3006	メラニー	1	H002	H002_output	H002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1.53,1,1,1,0.15]"	527	1	0.5	50	25	2	0	S527_magic_H002_attack	S528_magic_H002_attack			H002_icon_01
3007	まくら	3	H020	H020_output	H020_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[1.53,4,1,1,0.9]"	698	0	0	0	0	2	0	S698_magic_H020_attack	S699_magic_H020_attack			H020_icon_01
3008	美巴瑠	3	H005	H005_output	H005_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[1.53,1,1,1,1]"	527	0	0	0	0	2	0	S527_magic_H005_attack	S528_magic_H005_attack			H005_icon_01
3009	水桃	1	H014	H014_output	H014_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1,1,1,1,1]"	530	1	0.5	10	25	2	0	S530_magic_H014_attack	S531_magic_H014_attack	526	H014_auto526_attack	H014_icon_01
3010	ノエリア	1	H007	H007_output	H007_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[0.76,0.67,1.15,1.15,1.05]"	130	1	0.5	10	25	2	0	S130_magic_H007_attack	S131_magic_H007_attack	538	H007_auto138_attack	H007_icon_01
3011	ウルリカ	1	H024	H024_output	H024_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.8,0.99,1.16,1.16,2.82]"	170	1	0.5	10	25	2	0	S170_magic_H024_attack		174	H024_auto174_attack	H024_icon_01
3030	幽霊	1	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1,1,1,1,1]"		1	0.5	10	25	2	0					M001_icon_01
3031	霊	3	M002	M002_output	M002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[1.02,1,1,1,0.9]"		1	0.5	10	25	2	1					M002_icon_01
3032	狂戦士	1	M011	M011_output	M011_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1,1,1,1,1]"		1	0.5	10	25	2	0					M011_icon_01
3033	駆逐者	1	H002	H002_output	H002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1,1,1,1,1.1]"	533	1	0.5	10	50	2	0	S533_magic_H002_attack	S534_magic_H002_attack	532	H002_auto532_attack	H002_icon_01
3034	リリヤ	3	H017	H017_output	H017_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[1.02,1.2,1,1,1.1]"	212	1	0.5	10	50	2	1	S212_magic_H017_attack	S213_magic_H017_attack	216	H017_auto216_attack	H017_icon_01
3035	まくら	3	H020	H020_output	H020_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[1,1,1,1,1.1]"	698	1	0.5	10	50	2	0	S698_magic_H020_attack	S699_magic_H020_attack	538	H020_auto538_attack	H020_icon_01
3036	爆弾研究者	2	M010	M010_output	M010_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[1.05,1,1,1,1]"		1	0.5	10	50	2	0					M010_icon_01
3037	看護師	2	M015	M015_output	M015_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[1,1,1,1,1.1]"		1	0.5	10	25	2	0					M012_icon_01
3038	水桃	1	H014	H014_output	H014_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1,1.2,1,1,1]"	144	1	0.5	10	25	2	0	S144_magic_H014_attack	S145_magic_H014_attack	142	H014_auto142_attack	H014_icon_01
3039	双刀工兵	2	M012	M012_output	M012_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[1.2,1.2,1,1,1]"	648	1	0.5	10	25	2	0	S648_magic_M012_attack		649	M012_auto649_attack	M012_icon_01
3040	騎士	1	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1,1,1.1,1.1,1.3]"		1	0.5	10	25	2	0					M001_icon_01
3041	軍医	3	M009	M009_output	M009_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[1.02,1.1,1,1.1,0.9]"	646	1	0.5	10	25	2	1	S646_magic_M009_attack		647	M009_auto647_attack	M009_icon_01
3042	忍者	1	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1,1,1,1,1]"		1	0.5	10	25	2	0					M001_icon_01
3043	冥翠	2	H004	H004_output	H004_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[1,1,1,1,1]"	310	1	0.5	10	25	2	0	S310_magic_H004_attack	S311_magic_H004_attack	316	H004_auto316_attack	H004_icon_01
3044	コーディー	1	H015	H015_output	H015_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1,1,1,1,1]"	200	1	0.5	10	25	2	0	S200_magic_H015_attack	S201_magic_H015_attack	208	H015_auto208_attack	H015_icon_01
3045	勇士	2	H014	H014_output	H014_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[1,1,1,1,1]"	535	1	0.5	10	25	2	1	S535_magic_H014_attack	S536_magic_H014_attack	536	H014_auto536_attack	H014_icon_01
3046	兵士	1	M014	M014_output	M014_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1,1,1,1,1]"		1	0.5	10	25	2	0					M014_icon_01
3047	刺客	2	M004	M004_output	M004_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[1,1,1,1,1]"		1	0.5	10	25	2	0					M004_icon_01
3048	隠者	3	M002	M002_output	M002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[0.85,1,0.85,0.85,1]"		1	0.5	10	25	2	1					M002_icon_01
