number	number	number	number	number	number	number	number	number
level	atk	mgc	def	res	hp	critical	accuracy	dodge
1	70 	31 	60 	78 	126 	0	0	0
2	76 	31 	64 	83 	145 	0	0	0
3	84 	39 	66 	85 	185 	0	0	0
4	88 	42 	72 	91 	270 	0	0	0
5	120 	48 	77 	96 	270 	0	0	0
6	124 	52 	79 	97 	306 	0	0	0
7	135 	53 	90 	110 	300 	0	0	0
8	136 	56 	97 	116 	351 	0	0	0
9	161 	61 	85 	102 	450 	0	0	0
10	170 	82 	105 	124 	234 	0	0	0
11	185 	82 	151 	162 	540 	0	0	0
12	233 	123 	175 	187 	591 	0	0	0
13	225 	104 	200 	214 	690 	0	0	0
14	272 	136 	260 	252 	674 	0	0	0
15	253 	51 	266 	281 	497 	0	0	0
16	345 	172 	300 	315 	559 	0	0	0
17	375 	113 	352 	370 	672 	0	0	0
18	416 	133 	361 	374 	663 	0	0	0
19	391 	134 	368 	378 	657 	0	0	0
20	425 	135 	377 	381 	713 	0	0	0
21	379 	130 	370 	396 	749 	0	0	0
22	388 	139 	370 	397 	810 	0	0	0
23	401 	148 	371 	397 	872 	0	0	0
24	419 	166 	388 	410 	960 	0	0	0
25	442 	184 	404 	426 	1052 	0	0	0
26	465 	202 	419 	443 	1149 	0	0	0
27	487 	220 	436 	460 	1250 	0	0	0
28	510 	238 	453 	478 	1357 	0	0	0
29	532 	256 	469 	496 	1467 	0	0	0
30	555 	274 	487 	514 	1583 	0	0	0
31	567 	294 	491 	518 	1623 	0	0	0
32	577 	311 	495 	522 	1661 	0	0	0
33	603 	337 	511 	540 	1743 	0	0	0
34	629 	362 	528 	558 	1827 	0	0	0
35	654 	388 	546 	577 	1912 	0	0	0
36	680 	414 	565 	595 	1998 	0	0	0
37	705 	440 	582 	614 	2085 	0	0	0
38	731 	465 	600 	634 	2174 	0	0	0
39	756 	491 	619 	654 	2262 	0	0	0
40	783 	516 	638 	673 	2354 	0	0	0
41	846 	556 	671 	708 	2471 	0	0	0
42	879 	581 	699 	738 	2565 	0	0	0
43	912 	600 	722 	762 	2637 	0	0	0
44	946 	619 	745 	786 	2709 	0	0	0
45	981 	637 	764 	806 	2781 	0	0	0
46	1016 	676 	796 	840 	2937 	0	0	0
47	1052 	729 	850 	900 	3112 	0	0	0
48	1089 	756 	869 	918 	3229 	0	0	0
49	1126 	768 	879 	932 	3284 	0	0	0
50	1165 	782 	891 	943 	3342 	0	0	0
51	1204 	795 	903 	956 	3397 	0	0	0
52	1243 	840 	944 	1000 	3572 	0	0	0
53	1285 	860 	964 	1021 	3647 	0	0	0
54	1326 	909 	1003 	1063 	3843 	0	0	0
55	1368 	928 	1023 	1084 	3919 	0	0	0
56	1411 	950 	1042 	1105 	3996 	0	0	0
57	1455 	972 	1062 	1127 	4084 	0	0	0
58	1469 	979 	1056 	1121 	4105 	0	0	0
59	1513 	1001 	1077 	1143 	4190 	0	0	0
60	1558 	1023 	1096 	1164 	4274 	0	0	0
61	1605 	1081 	1144 	1214 	4511 	0	0	0
62	1651 	1103 	1163 	1236 	4593 	0	0	0
63	1700 	1125 	1184 	1257 	4678 	0	0	0
64	1749 	1146 	1204 	1278 	4763 	0	0	0
65	1798 	1169 	1224 	1300 	4848 	0	0	0
66	1849 	1103 	1245 	1320 	4593 	0	0	0
67	1901 	1125 	1265 	1341 	4678 	0	0	0
68	1954 	1146 	1284 	1362 	4763 	0	0	0
69	2008 	1169 	1305 	1383 	4848 	0	0	0
70	2114 	1230 	1374 	1456 	5103 	0	0	0
71	9600	4000	6000	5000	45500	0	0	0
