number	number	array
id	img_num	time_list
1	1	"[0,1.5,3,4.5,6,7.5,9,10.5]"
2	1	"[1.5,3,4.5,6,7.5,9,10.5,12]"
3	2	"[0,1.5,3,4.5,6,7.5,9,10.5]"
4	2	"[1.5,3,4.5,6,7.5,9,10.5,12]"
5	3	"[0,1.5,3,4.5,6,7.5,9,10.5]"
6	3	"[1.5,3,4.5,6,7.5,9,10.5,12]"
7	4	"[0,1.5,3,4.5,6,7.5,9,10.5]"
8	4	"[1.5,3,4.5,6,7.5,9,10.5,12]"
9	5	"[0,1.5,3,4.5,6,7.5,9,10.5]"
10	5	"[1.5,3,4.5,6,7.5,9,10.5,12]"
10111	1	"[0.5,3]"
10112	2	"[0,3]"
10113	3	"[0,3]"
10114	4	"[0.5,3]"
10115	5	"[0,3]"
10116	6	"[0,3]"
10117	7	"[0,3]"
20111	1	"[1,4]"
20112	2	"[0.5,3]"
30111	1	"[3,7]"
30112	2	"[0.5,7]"
30113	3	"[1,7]"
30114	4	"[3.5,7]"
30115	5	"[1,7]"
30116	6	"[2,7]"
30117	7	"[2.5,7]"
30118	8	"[0,7]"
40111	1	"[1,3]"
40112	2	"[0,3]"
40113	3	"[0,3]"
40114	4	"[0,3]"
40115	5	"[0,3]"
40116	6	"[0,3]"
40117	7	"[0.5,3]"
40118	8	"[0.5,3]"
50111	1	"[0,3]"
50112	2	"[0,3]"
50113	3	"[0.5,3]"
50114	4	"[1,3]"
50115	5	"[0,3]"
50116	6	"[0,3]"
50117	7	"[0,1.5]"
50118	8	"[1.5,4]"
50119	9	"[1,3]"
50120	10	"[0,3]"
50121	11	"[0,3]"
50122	12	"[0.5,3]"
60111	1	"[1,4]"
60112	2	"[0,4]"
60113	3	"[0,3]"
60114	4	"[0.5,3]"
70111	1	"[0,4]"
70112	2	"[0.5,4]"
70113	3	"[1,4]"
70114	4	"[0,3]"
70115	5	"[0,4]"
70116	6	"[0,3]"
70117	7	"[1,3]"
70118	8	"[0,4]"
70119	9	"[1,4]"
80111	1	"[0,3]"
80112	2	"[0,3]"
80113	3	"[0,3]"
80114	4	"[0,3]"
80115	5	"[0,3]"
80116	6	"[0,3]"
90111	1	"[0,3]"
90112	2	"[0,3]"
90113	3	"[0,3]"
90114	4	"[0,3]"
90115	5	"[0,3]"
90116	6	"[0,3]"
90117	7	"[0,3]"
90118	8	"[0,3]"
90119	9	"[1,3]"
90120	10	"[1,3]"
100111	1	"[0,3]"
100112	2	"[0,3]"
100114	4	"[0,3]"
100115	5	"[0,3]"
100116	6	"[0,3]"
110111	1	"[0,3]"
110112	2	"[0,3]"
110113	3	"[0,3]"
110114	4	"[0,3]"
110115	5	"[0,3]"
120111	1	"[0,3]"
120112	2	"[0,3]"
120113	3	"[0,3]"
120114	4	"[0,3]"
120115	5	"[0,3]"
130111	1	"[0,3]"
130112	2	"[0,3]"
130113	3	"[0,3]"
130114	4	"[0,3]"
130115	5	"[0,3]"
140111	1	"[0,3]"
140112	2	"[0,3]"
140113	3	"[0,3]"
140114	4	"[0,3]"
140115	5	"[0,3]"
140116	6	"[0,3]"
140117	7	"[0,3]"
140118	8	"[0,3]"
140119	9	"[0,3]"
140120	10	"[0,3]"
150111	1	"[0,3]"
150112	2	"[0,3]"
150113	3	"[0,3]"
150114	4	"[0,3]"
150115	5	"[0,3]"
150116	6	"[0,3]"
150117	7	"[0,3]"
160111	1	"[0,3]"
160112	2	"[0,3]"
160113	3	"[0,3]"
170111	1	"[0,4]"
170112	2	"[0,4]"
170113	3	"[1,4]"
170114	4	"[1,4]"
170115	5	"[1,4]"
170116	6	"[0,4]"
170117	7	"[0,4]"
170118	8	"[1.5,4]"
170119	9	"[0,3]"
170120	10	"[0,3]"
170121	11	"[0,3]"
170115	5	"[0,3]"
180111	1	"[0,3]"
180112	2	"[0,3]"
190111	1	"[0,3]"
190112	2	"[0,3]"
190113	3	"[0,1,1.5,4]"
190114	4	"[0,3]"
190116	6	"[0,3]"
190117	7	"[0,3]"
190118	8	"[0,3]"
190119	9	"[0,3]"
190120	10	"[0,3]"
200111	1	"[0,3]"
200112	2	"[0,3]"
200113	3	"[1,3]"
200114	4	"[0,3]"
200115	5	"[0,3]"
200116	6	"[0,3]"
200117	7	"[0,3]"
200118	8	"[0,3]"
200119	9	"[0,3]"
200120	10	"[0,3]"
210111	1	"[0,3]"
210112	2	"[0,3]"
210113	3	"[0,3]"
210114	4	"[0,3]"
210115	5	"[0,3]"
210117	7	"[0,3]"
210118	8	"[0,3]"
210119	9	"[0,3]"
210120	10	"[0,3]"
210121	11	"[0,3]"
210122	12	"[1,3]"
220111	1	"[0.5,3]"
220112	2	"[0,3]"
220113	3	"[0,3]"
220114	4	"[0,3]"
220115	5	"[0,3]"
220116	6	"[0,3]"
220117	7	"[0,3]"
220118	8	"[0,3]"
230111	1	"[0,2,3,5]"
230112	2	"[0.5,5]"
230113	3	"[1,5]"
230114	4	"[1,5]"
230115	5	"[0.5,1.5]"
230116	6	"[0,3]"
230117	7	"[0,3]"
230118	8	"[0.5,3]"
230119	9	"[0,3]"
230120	10	"[1.5,4]"
230121	11	"[0.5,3]"
240111	1	"[0,3]"
240112	2	"[0,3]"
240113	3	"[0,3]"
240114	4	"[0,3]"
250111	1	"[0,3]"
250112	2	"[0,3]"
250113	3	"[0,3]"
250114	4	"[0,3]"
250115	5	"[0,3]"
260111	1	"[0,3]"
260112	2	"[0,3]"
260113	3	"[0,3]"
260114	4	"[0,3]"
260115	5	"[0,3]"
260116	6	"[0,3]"
270111	1	"[0,3]"
270112	2	"[1,3]"
270113	3	"[0,3]"
