number	string	array	string	number
id	description	position	path	img_num
1	脸	"[220,25]"	fear	1
2	脸	"[220,25]"	cry	2
3	脸	"[220,25]"	happy	3
4	裙子	"[100,300]"	shirt	4
5	门	"[660,420]"	door	5
6	脸	"[220,25]"	fear	1
7	脸	"[220,25]"	cry	2
8	脸	"[220,25]"	happy	3
9	裙子	"[100,300]"	shirt	4
10	门	"[660,420]"	door	5
101	睁眼	"[223,88]"	10111	1
102	笛子站鸟	"[219,66]"	10112	2
103	鲤鱼旗	"[580,294]"	10113	3
104	小精灵	"[78,82]"	10114	4
105	面纱流泪	"[205,82]"	10115	5
106	胖次	"[59,232]"	10116	6
107	斜眼	"[222,82]"	10117	7
201	摘帽子	"[161,98]"	20111	1
202	雪精灵	"[353,346]"	20112	2
301	邪笑	"[171,91]"	30111	1
302	刀尖	"[930,159]"	30112	2
303	忍者	"[484,0]"	30113	3
304	扇子	"[209,370]"	30114	4
305	忍者死	"[431,100]"	30115	5
306	一滩血	"[874,145]"	30116	6
307	眼流血	"[172,103]"	30117	7
308	茶杯倒	"[734,469]"	30118	8
401	嫌弃眼	"[229,87]"	40111	1
402	螺旋光	"[169,217]"	40112	2
403	胖次痴汉	"[201,48]"	40113	3
404	飞礼物	"[220,66]"	40114	4
405	扎屁股	"[176,267]"	40115	5
406	忍者斗	"[544,150]"	40116	6
407	哭脸	"[227,89]"	40117	7
408	痛脸	"[226,86]"	40118	8
501	贴彩条	"[86,65]"	50111	1
502	滴墨水	"[86,86]"	50112	2
503	嫌弃脸	"[189,85]"	50113	3
504	羞红脸	"[189,82]"	50114	4
505	恶魔化	"[109,86]"	50115	5
506	毛毛虫	"[0,276]"	50116	6
507	鬼面具	"[169,0]"	50117	7
508	吐舌头	"[176,73]"	50118	8
509	符咒	"[292,165]"	50119	9
510	幽灵	"[397,45]"	50120	10
511	出泥鳅	"[129,200]"	50121	11
512	认真脸	"[191,86]"	50122	12
601	变老鼠	"[166,36]"	60111	1
602	奶酪手	"[129,0]"	60112	2
603	遥控器	"[0,73]"	60113	3
604	木头人	"[474,212]"	60114	4
701	武士头	"[470,439]"	70111	1
702	头盔	"[225,24]"	70112	2
703	魔剑	"[82,244]"	70113	3
704	呆喵	"[256,0]"	70114	4
705	皮鞭	"[105,74]"	70115	5
706	透视镜	"[217,134]"	70116	6
707	脸红	"[244,66]"	70117	7
708	鬼魂	"[264,141]"	70118	8
709	惊吓	"[250,63]"	70119	9
801	丝带	"[152,197]"	80111	1
802	脸红	"[284,124]"	80112	2
803	花环	"[286,52]"	80113	3
804	蜘蛛丝	"[142,288]"	80114	4
805	看蛛丝	"[280,98]"	80115	5
806	乖笑	"[258,0]"	80116	6
901	一箱百奇	"[0,463]"	90111	1
902	两盒百奇	"[44,204]"	90112	2
903	眼睛发红光	"[184,104]"	90113	3
904	散落百奇	"[211,485]"	90114	4
905	百奇戳脸	"[187,45]"	90115	5
906	蛋糕手	"[0,173]"	90116	6
907	姜饼人	"[73,174]"	90117	7
908	甜点围一圈	"[157,341]"	90118	8
909	嫌弃脸	"[237,58]"	90119	9
910	吃货表情	"[327,21]"	90120	10
1001	血流不止	"[126,76]"	100111	1
1002	钢铁之翼	"[126,76]"	100112	2
1004	斜眼	"[226,74]"	100114	4
1005	手中骷髅	"[301,0]"	100115	5
1006	手中糖果	"[155,89]"	100116	6
1101	礼花	"[238,29]"	110111	1
1102	机械故障	"[174,0]"	110112	2
1103	变手	"[212,97]"	110113	3
1104	脸红	"[193,93]"	110114	4
1105	飞报纸	"[74,57]"	110115	5
1301	剑变蛇	"[135,69]"	130111	1
1302	掉肥皂	"[249,103]"	130112	2
1303	递节操	"[258,92]"	130113	3
1304	酒壶破	"[251,92]"	130114	4
1305	被监视	"[258,91]"	130115	5
1201	炮筒飞人	"[352,41]"	120111	1
1202	剑变玉米	"[0,0]"	120112	2
1203	章鱼丸子	"[214,89]"	120113	3
1204	手上小人	"[296,104]"	120114	4
1205	船边章鱼	"[201,0]"	120115	5
1401	baka拳套	"[87,114]"	140111	1
1402	飞呆喵	"[256,0]"	140112	2
1403	沙袋破	"[245,66]"	140113	3
1404	勾胖次	"[0,127]"	140114	4
1405	破衣术	"[184,139]"	140115	5
1406	小广告	"[174,39]"	140116	6
1407	熊猫	"[0,0]"	140117	7
1408	抓虫网	"[0,0]"	140118	8
1409	带子断	"[158,112]"	140119	9
1410	吃面包	"[123,109]"	140120	10
1501	肩膀	"[212,219]"	150111	1
1502	死神	"[250,132]"	150112	2
1503	脸上包	"[250,140]"	150113	3
1504	蜜蜂	"[598,329]"	150114	4
1505	手上心	"[125,19]"	150115	5
1506	笑颜	"[237,104]"	150116	6
1507	蛋糕	"[772,198]"	150117	7
1601	羞红脸	"[231,89]"	160111	1
1602	章鱼须子	"[208,217]"	160112	2
1603	章鱼本体	"[82,322]"	160113	3
1701	身体	"[78,207]"	170111	1
1702	头顶红光	"[354,37]"	170112	2
1703	警告1	"[425,107]"	170113	3
1704	警告2	"[294,420]"	170114	4
1705	邪意	"[283,88]"	170115	5
1706	奶嘴	"[319,157]"	170116	6
1707	黑暗料理	"[0,0]"	170117	7
1708	支离破碎	"[78,207]"	170118	8
1709	笑颜	"[224,106]"	170119	9
1710	权杖	"[0,0]"	170120	10
