number	string	array	string	string	number	array	array
id	description	click_area	click_sound	event_sound	click_num	action_list	conflict
1	点击裙子一会笑一会哭	"[100,300,260,410]"	v1100	v101001	3	"[3,6,7]"	[]
2	"点击门一会害怕一会哭,门一卡一关"	"[660,420,1120,640]"	v1100	v101001	3	"[1,4,9]"	[1]
3		"[40,513,459,587]"	v1100	v101001	3	[1]	[]
4		"[309,110,404,256]"	v1100	v101001	3	[3]	[3]
5		"[20,110,220,310]"	v1100	v101001	3	[2]	[]
6		"[20,110,220,310]"	v1100	v101001	3	[4]	[5]
7		"[220,327,416,439]"	v1100	v101001	3	[1]	[]
8		"[210,252,306,325]"	v1100	v101001	3	[3]	[7]
9		"[60,90,260,290]"	v1100	v101001	3	[2]	[]
10		"[60,90,260,290]"	v1100	v101001	3	[4]	[9]
11		"[190,90,390,290]"	v1100	v101001	3	[2]	[]
12		"[190,90,390,290]"	v1100	v101001	3	[4]	[]
101	觉醒前1：点裙摆出胖次	"[103,362,221,527]"	v1100	v101001	1	[10111]	"[102,103,104,105]"
102	觉醒前2：点手笛子上站鸟	"[329,109,396,221]"	v1100	v101002	2	[10112]	"[101,103,104,105]"
103	觉醒前3：点右下角出鲤鱼旗	"[524,362,796,576]"	v1100	v101003	3	[10113]	"[101,102,104,105]"
104	觉醒前4：点头发出小精灵	"[103,109,221,362]"	v1100	v101001	2	"[10114,10117]"	"[101,102,103,105]"
105	觉醒前5：点脸流泪	"[229,67,292,152]"	v1100	v101002	2	[10115]	"[101,102,103,104]"
201	"觉醒后1：摘帽子,脸红"	"[163,96,279,244]"	v1100	v201001	2	[20111]	[]
202	觉醒后2：雪精灵	"[269,244,363,517]"	v1100	v201002	1	[20112]	[]
301	妙法村正觉醒前1：点脸邪笑	"[162,73,282,196]"	v1100	v301001	1	"[30111,30112,30113,30114]"	[305]
305	妙法村正觉醒前2：点扇忍者死	"[194,345,333,504]"	v1100	v301002	1	"[30115,30116,30117,30118]"	[301]
401	觉醒前1：点建筑有忍者跳出来	"[556,449,1024,576]"	v1100	v401001	2	"[40111,40116]"	"[402,403,404,405]"
402	觉醒前2：点屁股出螺旋光	"[216,276,321,347]"	v1100	v401002	1	"[40112,40117]"	"[401,403,404,405]"
403	觉醒前3：点脸出胖次	"[234,87,289,147]"	v1100	v401003	4	[40113]	"[401,402,404,405]"
404	觉醒前4：点右侧天空出圣诞老人	"[556,147,997,276]"	v1100	v401001	2	[40114]	"[401,402,403,405]"
405	觉醒前5：点刀子刀子扎屁股	"[62,234,217,299]"	v1100	v401002	3	"[40115,40118]"	"[401,402,403,404]"
501	觉醒后1：脸上贴纸条	"[146,272,296,445]"	v1100	v501001	2	[50111]	[502]
502	觉醒后2：滴墨水	"[125,115,335,225]"	v1100	v501002	1	[50112]	[501]
503	觉醒前1：点箱子出幽灵	"[562,149,677,298]"	v1100	v501003	2	"[50113,50119,50120]"	"[504,505,506,507]"
504	觉醒前2：点腿出泥鳅	"[203,339,276,494]"	v1100	v501001	4	"[50114,50121]"	"[503,505,506,507]"
505	觉醒前3：点灯笼恶魔化	"[328,118,406,253]"	v1100	v501002	3	[50115]	"[503,504,506,507]"
506	觉醒前4：点衣摆出毛毛虫	"[341,255,512,340]"	v1100	v501003	2	"[50116,50122]"	"[503,504,505,507]"
507	觉醒前5：点脑袋出鬼面具	"[193,61,276,149]"	v1100	v501001	3	"[50117,50118]"	"[503,504,505,506]"
601	觉醒前1:变老鼠	"[180,105,308,230]"	v1100	v601001	1	"[60111,60112]"	[603]
603	觉醒前2：遥控器	"[126,178,169,323]"	v1100	v601002	1	"[60113,60114]"	[601]
701	棠溪觉醒前1：点武士被怨魂附体	"[527,448,879,567]"	v1100	v701001	2	"[70111,70112,70113]"	"[702,703,704,705]"
702	棠溪觉醒前2：点旗帜出呆喵	"[499,209,560,309]"	v1100	v701002	2	[70114]	"[701,703,704,705]"
703	棠溪觉醒前3：点手出鞭子	"[266,266,354,370]"	v1100	v701003	3	[70115]	"[701,702,704,705]"
704	棠溪觉醒前4：点胸出透视镜	"[227,142,301,209]"	v1100	v701001	4	[70117]	"[701,702,703,705]"
705	棠溪觉醒前5：点武士出怨魂	"[221,395,354,514]"	v1100	v701002	2	"[70118,70119]"	"[701,702,703,704]"
801	蜘蛛切觉醒前1：点身体脸红身上有丝带	"[226,219,384,425]"	v1100	v801001	1	"[80111,80112]"	[803]
803	蜘蛛切觉醒前2：点脑袋有花环	"[268,59,384,146]"	v1100	v801002	1	[80113]	[801]
804	蜘蛛切觉醒后1：蜘蛛丝	"[227,29,371,182]"	v1100	v801003	1	"[80114,80115]"	[806]
806	蜘蛛切觉醒后2：摸脑袋	"[125,257,524,380]"	v1100	v801001	1	[80116]	[804]
901	菊一文字觉醒前1：天上掉百奇	"[186,126,257,181]"	v1100	v901001	1	"[90111,90112,90113,90114]"	[902]
902	菊一文字觉醒前2：百奇戳脸	"[268,41,350,117]"	v1100	v901002	1	[90115]	[901]
903	菊一文字觉醒后1：点蛋糕有刀伸出来	"[31,409,613,576]"	v1100	v901003	1	"[90116,90119]"	[904]
904	菊一文字觉醒后2:点人出姜饼人	"[190,18,328,382]"	v1100	v901001	1	"[90117,90118,90120]"	[903]
1001	切裂世界觉醒前2:血流不止	"[290,373,745,557]"	v1100	v1001001	1	[100111]	[]
1002	切裂世界觉醒前1:钢铁之翼	"[251,77,784,329]"	v1100	v1001002	1	[100112]	[]
1004	切裂世界觉醒后1：手中骷髅	"[593,64,786,491]"	v1100	v1001003	1	"[100114,100115]"	[1006]
1006	切裂世界觉醒后2：手中糖果	"[184,179,384,491]"	v1100	v1001001	1	[100116]	[1004]
1101	觉醒前1：点炸弹变礼花	"[556,227,733,317]"	v1100	v1101001	1	[110111]	"[1102,1103,1104,1105]"
1102	觉醒前2：点头上的机械会爆炸	"[200,52,243,118]"	v1100	v1101002	2	[110112]	"[1101,1103,1104,1105]"
1103	觉醒前3：点胸变出手	"[224,181,296,219]"	v1100	v1101003	3	[110113]	"[1101,1102,1104,1105]"
1104	觉醒前4：点腿脱盔甲脸红	"[224,354,296,412]"	v1100	v1101001	2	[110114]	"[1101,1102,1103,1105]"
1105	觉醒前5：点脸报纸糊脸上	"[255,111,296,153]"	v1100	v1101002	5	[110115]	"[1101,1102,1103,1104]"
1201	觉醒前1：点炮筒出飞人	"[350,40,467,150]"	v1100	v1201001	2	[120111]	"[1202,1203,1204,1205]"
1202	觉醒前2：点剑柄变玉米	"[390,260,502,377]"	v1100	v1201002	2	[120112]	"[1201,1203,1204,1205]"
1203	觉醒前3：点脸变章鱼烧	"[229,81,316,169]"	v1100	v1201003	3	[120113]	"[1201,1202,1204,1205]"
1204	觉醒前4：点脸出小湖中	"[286,154,369,229]"	v1100	v1201001	2	[120114]	"[1201,1202,1203,1205]"
1205	觉醒前5：点船出大章鱼	"[674,377,1024,576]"	v1100	v1201002	4	[120115]	"[1201,1202,1203,1204]"
1301	觉醒前1：点剑变成蛇	"[96,181,253,329]"	v1100	v1301001	3	[130111]	"[1302,1303,1304,1305]"
1302	觉醒前2：点脑袋酒壶掉肥皂	"[253,71,351,166]"	v1100	v1301002	2	[130112]	"[1301,1303,1304,1305]"
