number	string	string	string	string	string	number	number	number	number	number	number	array	string	number	number	number	string
id	name	title	img	path	portrait	headto	dirc	scale	level	height	width	coord	dialogue	city_id	shadow	bodytype	vioce
101	柳蘭		N001	N001_output	H001_navi_01	1	1	0.8	30	135	120	"[586,-648]"	あら、またお会いしました…ように思います	1001	1	1.1	npc_01
102	メラニー		N002	N002_output	H002_navi_01	1	1	0.8	30	135	120	"[993,25]"	私は必ず最強の剣士になるの	1001	1	1.1	npc_02
103	葵華		N003	N003_output	H003_navi_01	2	1	0.8	30	135	120	"[-202,212]"	私になにか用ですか…？	1001	1	1.1	npc_03
104	冥翠		N004	N004_output	H004_navi_01	2	1	0.8	30	135	120	"[-117,0]"	ボクはIQ250だけど、キミは？	1001	1	1.1	npc_04
105	美巴瑠		N005	N005_output	H005_navi_01	1	1	0.8	30	135	120	"[870,907]"	お花見にでも行きたいわねえ	1001	1	1.1	npc_05
106	望乃		N006	N006_output	H006_navi_01	2	1	0.8	30	135	120	"[-1074,362]"	私よりもおっきいスイカがあったら、中に入って食べたり、寝たりできるのかな？	1001	1	1.1	npc_06
107	ノエリア		N007	N007_output	H007_navi_01	2	1	0.8	30	135	120	"[-955,-675]"	武具の手入れを怠ってはダメだぞ	1001	1	1.1	npc_07
108	麗雅		N008	N008_output	H008_navi_01	2	1	0.8	30	135	120	"[350,935]"	絡んでくるのは糸だけにしておくれ	1001	1	1.1	npc_08
109	クラレッタ		N009	N009_output	H009_navi_01	2	1	0.8	99	135	120	"[385,669]"	なに？　お菓子でもくれるの？	1001	1	1.1	npc_09
110	イレーネ		N010	N010_output	H010_navi_01	1	1	0.8	99	135	120	"[311,180]"	大切な人を傷つける奴を絶対に許しはしない	1001	1	1.1	npc_010
111	キャロル		N011	N011_output	H011_navi_01	1	1	0.8	30	135	120	"[-424,-474]"	やっぱり猫とか空の写真を撮りたいなあ	1001	1	1.1	npc_011
112	マクシーン		N012	N012_output	H012_navi_01	1	1	0.8	30	135	120	"[-739,376]"	自分は守りたい人のために、自分の意思で剣を取ったのだ。	1001	1	1.1	npc_012
113	ニコラ		N013	N013_output	H013_navi_01	1	1	0.8	30	135	120	"[123,644]"	美味しい居酒屋さん知らない～？	1001	1	1.1	npc_013
114	水桃		N014	N014_output	H014_navi_01	1	1	0.8	30	135	120	"[-359,-817]"	何か変わったことは起こってない？	1001	1	1.1	npc_014
115	コーディー		N015	N015_output	H015_navi_01	1	1	0.8	30	135	120	"[19,-468]"	新しい技を覚えたんだけど、試していいかな？	1001	1	1.1	npc_015
116	リーゼロッテ		N016	N016_output	H016_navi_01	2	1	0.8	30	135	120	"[-1060,-990]"	私も一緒に行きましょうか？	1001	1	1.1	npc_016
117	リリヤ		N017	N017_output	H017_navi_01	2	1	0.8	10	135	120	"[-195,591]"	私はリリヤ。趣味は料理です。どうしますか？	1001	1	1.1	npc_017
118	ディオニシス		N018	N018_output	H018_navi_01	2	1	0.8	30	135	120	"[0,362]"	この俺に何か用か？	1001	1	1.1	npc_018
119	リンジー		N019	N019_output	H019_navi_01	1	1	0.8	30	135	120	"[-1085,537]"	全員集合！遅れないで！	1001	1	1.1	npc_019
120	シェスタ		N020	N020_output	H020_navi_01	2	1	0.8	30	135	120	"[-67,-282]"	お昼寝にいい場所、知りませんか？	1001	1	1.1	npc_020
121	オルガ		N021	N021_output	H021_navi_01	2	1	0.8	30	135	120	"[605,1010]"	占ってあげましょうか？	1001	1	1.1	npc_021
122	ミリアム		N022	N022_output	H022_navi_01	2	1	0.8	99	135	120	"[-662,-460]"	私に道をお譲りなさい	1001	1	1.1	npc_022
123	エミリ		N023	N023_output	H023_navi_01	1	1	0.8	30	135	120	"[527,88]"	見回りの途中なのにゃ	1001	1	1.1	npc_023
124	ウルリカ		N024	N024_output	H024_navi_01	2	1	0.8	30	135	120	"[661,-465]"	任務遂行中につき声をかけないで下さい	1001	1	1.1	npc_024
125	エルマ		N025	N025_output	H025_navi_01	1	1	0.8	30	135	120	"[30,362]"	あの…ごめんなさい、急いでるんで	1001	1	1.1	npc_025
126	ルミア		N026	N026_output	H026_navi_01	2	1	0.8	30	135	120	"[1017,-777]"	美味しいもの奢ってくれるの？	1001	1	1.1	npc_026
127	湛卢		N005	N005_output	H027_navi_01	1	1	0.8	30	135	120	"[169,605]"	我想保护大家	1006	1	1.1	npc_027
128	雷切		N005	N005_output	H028_navi_01	2	1	0.8	30	135	120	"[-323,-70]"	占いによれば、次の次ぐらいに成功するような気がします。	1006	1	1.1	npc_028
129	鬼彻		N005	N005_output	H029_navi_01	1	1	0.8	30	135	120	"[653,768]"	你的灵魂我就收下了	1006	1	1.1	npc_029
130	コロン		N005	N005_output	H030_navi_01	1	1	0.8	30	135	120	"[653,768]"	サインが欲しいの？	1006	1	1.1	npc_030
131	ティアナ		N005	N005_output	H031_navi_01	1	1	0.8	30	135	120	"[653,768]"	这次一定不能再失败了……	1006	1	1.1	npc_031
132	恵那		N005	N005_output	H032_navi_01	1	1	0.8	30	135	120	"[653,768]"	白ちゃんを知らない？	1006	1	1.1	npc_032
133	承影		N005	N005_output	H033_navi_01	1	1	0.8	30	135	120	"[653,768]"	想让我做什么？没有足够的报酬我可不干	1006	1	1.1	npc_033
134	七星龙渊		N005	N005_output	H034_navi_01	1	1	0.8	30	135	120	"[653,768]"	谢谢~感谢大家对我的支持~我会更努力的！	1006	1	1.1	npc_034
135	轩辕		N005	N005_output	H035_navi_01	1	1	0.8	30	135	120	"[653,768]"	…… 	1006	1	1.1	npc_035
136	大夏龙雀		N005	N005_output	H036_navi_01	1	1	0.8	30	135	120	"[653,768]"	不管是肉包还是菜包还是豆沙包，好吃的就是好包子 	1006	1	1.1	npc_036
137	纳西尔圣剑		N005	N005_output	H037_navi_01	1	1	0.8	30	135	120	"[653,768]"	美味料理，由我制作！	1006	1	1.1	npc_037
138	葵纹越前		N005	N005_output	H038_navi_01	1	1	0.8	30	135	120	"[653,768]"	沸騰するような恋愛がしてみたい……	1006	1	1.1	npc_038
139	瑞佩尔		N005	N005_output	H039_navi_01	1	1	0.8	30	135	120	"[653,768]"	種も仕掛けも見て見ぬふりでお願いね?	1006	1	1.1	npc_039
140	莎拉维尔		N005	N005_output	H040_navi_01	1	1	0.8	30	135	120	"[653,768]"	少女，想被我割开咽喉么？	1006	1	1.1	npc_040
