number	number	string	number	number	number	number	number
id	item_id	name	money_type	price	islimited	item_num	probability
1	30001	柳蘭の情報	2	120	1	5	2
2	30003	葵華の情報	2	80	1	5	2
3	30004	冥翠の情報	2	80	1	5	2
4	30005	美巴瑠の情報	2	80	1	5	2
5	30006	望乃の情報	2	200	1	5	2
6	30007	ノエリアの情報	2	80	1	5	2
7	30008	麗雅の情報	2	120	1	5	2
8	30009	クラレッタの情報	2	80	1	5	2
9	30010	イレーネの情報	2	200	1	5	2
10	30011	キャロルの情報	2	80	1	5	2
11	30013	ニコラの情報	2	200	1	5	2
12	30014	水桃の情報	2	80	1	5	2
13	30015	コーディーの情報	2	120	1	5	2
14	30016	リーゼロッテの情報	2	80	1	5	2
15	30017	リリヤの情報	2	200	1	5	2
16	30018	ディオニシスの情報	2	80	1	5	2
17	30020	シェスタの情報	2	120	1	5	2
18	30021	オルガの情報	2	200	1	5	2
19	30022	ミリアムの情報	2	80	1	5	2
20	30023	エミリの情報	2	80	1	5	2
21	30024	ウルリカの情報	2	120	1	5	2
22	30025	エルマの情報	2	200	1	5	2
23	30001	柳蘭の情報	1	60000	1	5	1
24	30003	葵華の情報	1	60000	1	5	1
25	30004	冥翠の情報	1	60000	1	5	1
26	30005	美巴瑠の情報	1	60000	1	5	1
27	30006	望乃の情報	1	8000	1	5	1
28	30007	ノエリアの情報	1	60000	1	5	1
29	30008	麗雅の情報	1	60000	1	5	1
30	30009	クラレッタの情報	1	60000	1	5	1
31	30010	イレーネの情報	1	60000	1	5	1
32	30011	キャロルの情報	1	60000	1	5	1
33	30013	ニコラの情報	1	60000	1	5	1
34	30014	水桃の情報	1	60000	1	5	1
35	30015	コーディーの情報	1	60000	1	5	1
36	30016	リーゼロッテの情報	1	60000	1	5	1
37	30017	リリヤの情報	1	60000	1	5	1
38	30018	ディオニシスの情報	1	60000	1	5	1
39	30020	シェスタの情報	1	60000	1	5	1
40	30021	オルガの情報	1	60000	1	5	1
41	30022	ミリアムの情報	1	60000	1	5	1
42	30023	エミリの情報	1	60000	1	5	1
43	30024	ウルリカの情報	1	60000	1	5	1
44	30025	エルマの情報	1	60000	1	5	1
45	11001	おにぎり	1	4000	1	2	4
46	11001	おにぎり	1	10000	1	5	3
47	11001	おにぎり	1	20000	1	10	3
48	11001	おにぎり	1	40000	1	20	2
49	11002	クレープ	1	8000	1	2	4
50	11002	クレープ	1	20000	1	5	3
51	11002	クレープ	1	40000	1	10	3
52	11002	クレープ	1	80000	1	20	2
53	11003	ステーキ	1	16000	1	2	4
54	11003	ステーキ	1	40000	1	5	3
55	11003	ステーキ	1	80000	1	10	3
56	11003	ステーキ	1	160000	1	20	2
57	15001	鍛錬ポイント	2	20	1	200	4
58	15001	鍛錬ポイント	2	30	1	300	4
59	15001	鍛錬ポイント	2	40	1	400	4
60	15001	鍛錬ポイント	2	50	1	500	4
61	15001	鍛錬ポイント	2	60	1	600	3
62	15001	鍛錬ポイント	2	100	1	1000	2
63	10016	入場券	2	5	1	1	1
64	10014	チョコレート	2	5	1	1	1
65	10015	花束	2	5	1	1	1
66	10017	ペアルック	2	5	1	1	1
67	10012	ノーマルガチャ券	1	5000	1	1	5
68	10012	ノーマルガチャ券	1	10000	1	2	4
69	10012	ノーマルガチャ券	1	25000	1	5	3
70	10012	ノーマルガチャ券	1	50000	1	10	3
71	12001	ピーチツイル	1	20000	1	3	2
72	12002	スレッド	1	20000	1	3	2
73	12003	ざくろ石	1	20000	1	3	2
74	12004	ナナミノキ	1	20000	1	3	2
75	12005	銅ボタン	1	20000	1	3	2
76	12101	繻子	1	20000	1	3	2
77	12102	クモの糸	1	20000	1	3	2
78	12103	黒曜石	1	20000	1	3	2
79	12104	ミスリル	1	20000	1	3	2
80	12105	ボタン	1	20000	1	3	2
81	12106	ウサギ	1	20000	1	3	2
82	12107	真珠の首飾り	1	20000	1	3	2
83	12108	センジュギク	1	20000	1	3	2
84	12109	お守り	1	20000	1	3	2
85	12110	リストバンド	1	20000	1	3	2
86	12111	染料　	1	20000	1	3	2
87	12112	徽章	1	20000	1	3	2
88	12113	巻貝	1	20000	1	3	2
89	12114	毛球	1	20000	1	3	2
90	12115	うお座	1	20000	1	3	2
91	12201	絹織物	1	20000	1	3	2
92	12202	天蚕糸	1	20000	1	3	2
93	12203	ヒスイ	1	20000	1	3	2
94	12204	宝物	1	20000	1	3	2
95	12205	金属ボタン	1	20000	1	3	2
96	12206	ガチョウ	1	20000	1	3	2
97	12207	高級なアクセ	1	20000	1	3	2
98	12208	ゆり	1	20000	1	3	2
99	12209	匂い袋	1	20000	1	3	2
100	12210	ビーズ	1	20000	1	3	2
101	12211	染料B	1	20000	1	3	2
102	12212	徽章	1	20000	1	3	2
103	12213	ネクタイ	1	20000	1	3	2
104	12214	羅針盤	1	20000	1	3	2
105	12215	鈴	1	20000	1	3	2
106	12216	花嫁グローブ	1	20000	1	3	2
107	12217	髪の毛	1	20000	1	3	2
108	12001	ピーチツイル	1	35000	1	5	1
109	12002	スレッド	1	35000	1	5	1
110	12003	ざくろ石	1	35000	1	5	1
111	12004	ナナミノキ	1	35000	1	5	1
112	12005	銅ボタン	1	35000	1	5	2
113	12101	繻子	1	35000	1	5	2
114	12102	クモの糸	1	35000	1	5	2
115	12103	黒曜石	1	35000	1	5	2
116	12104	ミスリル	1	35000	1	5	2
117	12105	ボタン	1	35000	1	5	2
118	12106	ウサギ	1	35000	1	5	2
119	12107	真珠の首飾り	1	35000	1	5	2
120	12108	センジュギク	1	35000	1	5	2
121	12109	お守り	1	35000	1	5	2
122	12110	リストバンド	1	35000	1	5	2
123	12111	染料　	1	35000	1	5	2
124	12112	徽章	1	35000	1	5	2
125	12113	巻貝	1	35000	1	5	2
126	12114	毛球	1	35000	1	5	2
127	12115	うお座	1	35000	1	5	2
128	12201	絹織物	1	35000	1	5	2
129	12202	天蚕糸	1	35000	1	5	2
130	12203	ヒスイ	1	35000	1	5	2
131	12204	宝物	1	35000	1	5	2
132	12205	金属ボタン	1	35000	1	5	2
133	12206	ガチョウ	1	35000	1	5	2
