number	number	string	number	string	number	string	number
id	tasknumber	desc1	number1	desc2	number2	desc3	number3
1	3	なし	2	なし	500	なし	10
2	3	討伐を1回クリア	2	クエストを20回クリア	20	ハードクエストを1回リセット	1
3	3	クエストを20回クリア	20	採掘場の20階を1回クリア	1	ハードクエストを1回リセット	1
4	3	ハードクエストを1回クリア	1	クエストを5回クリア	5	ハードクエストを5回リセット	5
5	3	試練を5回クリア	5	試練（火）を2回クリア	2	試練を1回クリア	1
6	2	個性を5回更新	5	個性の緑ランクを更新	5		0
7	3	Lv5の魂器を所有	1	緑ランクの魂器を5個所有	5	Lv3以上の魂器を5個所有	5
8	2	主人公の体力装備を5回強化	5	装備強化を50回	50		0
9	1	主人公の装備が全部緑ランク以上	5		0		0
10	2	装備進化を3回	3	装備進化を5回	5		0
11	2	なし	5	なし	5		0
