number	number	number
id	lv	btp
1	1	0
2	2	100
3	3	110
4	4	120
5	5	130
6	6	140
7	7	150
8	8	170
9	9	190
10	10	210
11	11	230
12	12	250
13	13	270
14	14	290
15	15	310
16	16	330
17	17	350
18	18	370
19	19	390
20	20	410
21	21	430
22	22	450
23	23	470
24	24	490
25	25	510
26	26	540
27	27	570
28	28	600
29	29	640
30	30	680
31	31	720
32	32	760
33	33	810
34	34	860
35	35	910
36	36	960
37	37	1020
38	38	1080
39	39	1140
40	40	1210
41	41	1280
42	42	1340
43	43	1410
44	44	1480
45	45	1550
46	46	1630
47	47	1710
48	48	1800
49	49	1890
50	50	1980
51	51	2080
52	52	2160
53	53	2250
54	54	2340
55	55	2430
56	56	2530
57	57	2630
58	58	2740
59	59	2850
60	60	2960
61	61	3080
62	62	3170
63	63	3270
64	64	3370
65	65	3470
66	66	3570
67	67	3680
68	68	3790
69	69	3900
70	70	4020
71	71	4140
72	72	4220
73	73	4300
74	74	4390
75	75	4480
76	76	4570
77	77	4660
78	78	4750
79	79	4850
80	80	4950
81	81	5050
82	82	5150
83	83	5250
84	84	5360
85	85	5470
86	86	5580
87	87	5690
88	88	5800
89	89	5920
90	90	6040
91	91	6160
92	92	6280
93	93	6410
94	94	6540
95	95	6670
96	96	6800
97	97	6940
98	98	7080
99	99	7220
100	100	7360
