number	array	array	array	number	number	string	string	array	array	string	string	string
id	role_id	dirc	scale	face_type	whospeak	content	voice	next_type	next_id	option1	option2	option3
1	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		0	どっどういうこと？　イタタタ、どうして私を攻撃…何かに巻き込まれたのかな！早く逃げるんだフェルケ！俺が何とかする！		[1]	[2]			
2	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		1	##、気をつけて！攻撃してくる！		[1]	[3]			
3	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		0	くっそ、絶対フェルケに指一本触れさせてやるもんか。貧乳は希少なんだからな！		[2]	[0]			
4	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		0	ああああああ！死ぬっ！死ぬよっ！どうしてこんなに強いんだ！まさかあいつらはただの通りすがりじゃなかったのか！俺が主人公なのにっ！主人公最強設定はどこにっ！		[1]	[5]			
5	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		1	それは… 彼女達の構造が… ちょっと特別だからで… 		[1]	[6]			
6	"[-1,102]"	"[1,1]"	"[1.1,1.1]"		1	敵発見、皆殺しだ！ちなみに、君たち遅すぎ… 		[1]	[7]			
7	"[109,-1]"	"[1,1]"	"[1.1,1.1]"		0	船長の装備が重くて積むのに手間取ったんだよ、3日分のポッキーを使っちゃったじゃないか、船長を待ってたから… 		[1]	[8]			
8	"[-1,112]"	"[1,1]"	"[1.1,1.1]"		1	すぐ後を追うって言ってたじゃないか～うわぁ誰かが怪我した！　私に任せて、防御魔法をっ！		[1]	[9]			
9	"[109,-2]"	"[1,1]"	"[1.1,1.1]"		0	おい君たち、人間はここじゃ危ない、地下水道で隠れていなさい。		[1]	[10]	            		
10	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	##先に行ってて、私は残って戦うから。		[1]	[11]			
11	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		1	何っ？！妹は妹ぶって隣で守られてろ、それにこんな平地に地下水道なんてないよ！		[1]	[12]			
12	"[109,-1]"	"[1,1]"	"[1.1,1.1]"		0	うるさい！戦闘準備！ベイル先に切り開いてくれ！		[2]	[0]			
13	"[-1,102]"	"[1,1]"	"[1.1,1.1]"		1	全力前進！相手を殲滅させるぞ！		[2]	[0]			
14	"[-1,112]"	"[1,1]"	"[1.1,1.1]"		1	まだ粘っているとは、今回の敵はなかなかしぶといな。私と一緒に敵を倒すわよ！		[2]	[0]			
15	"[102,-1]"	"[1,1]"	"[1.1,1.1]"		0	……		[2]	[0]			
16	"[-1,110]"	"[1,1]"	"[1.1,1.1]"		1	やはり手だれではあったが。それももはや意味がない、なぜなら俺の技で消えてなくなってしまうからな！		[1]	[17]			
17	"[-1,-2]"	"[1,1]"	"[1.1,1.1]"		1	こんな変な敵キャラなんて初めて見たよ……		[1]	[18]			
18	"[110,-1]"	"[1,1]"	"[1.1,1.1]"		0	ふっふっ…（こんな時冷たく笑えば自分が強く見えるらしい）		[2]	[0]			
19	"[-1,116]"	"[1,1]"	"[1.1,1.1]"		1	ドラゴン！こんなものまで作っていたのか！っていうかペットにできないかな～？		[1]	[20]			
