number	number	number	number	number
id	job	attribute	value	consume
105	1	5	33	15001
101	1	1	5	15001
102	1	2	7	15001
103	1	3	9	15001
104	1	4	13	15001
205	2	5	24	15001
201	2	1	7	15001
202	2	2	8	15001
203	2	3	6	15001
204	2	4	5	15001
305	3	5	33	15001
301	3	1	7	15001
302	3	2	6	15001
303	3	3	8	15001
304	3	4	8	15001
405	4	5	33	15001
401	4	1	6	15001
402	4	2	5	15001
403	4	3	8	15001
404	4	4	5	15001
505	5	5	32	15001
501	5	1	6	15001
502	5	2	6	15001
503	5	3	9	15001
504	5	4	8	15001
605	6	5	29	15001
601	6	1	10	15001
602	6	2	8	15001
603	6	3	8	15001
604	6	4	9	15001
705	7	5	33	15001
701	7	1	6	15001
702	7	2	8	15001
703	7	3	4	15001
704	7	4	6	15001
805	8	5	31	15001
801	8	1	5	15001
802	8	2	5	15001
803	8	3	7	15001
804	8	4	7	15001
905	9	5	32	15001
901	9	1	8	15001
902	9	2	9	15001
903	9	3	11	15001
904	9	4	11	15001
1005	10	5	34	15001
1001	10	1	6	15001
1002	10	2	7	15001
1003	10	3	8	15001
1004	10	4	8	15001
1105	11	5	30	15001
1101	11	1	3	15001
1102	11	2	5	15001
1103	11	3	7	15001
1104	11	4	10	15001
1205	12	5	35	15001
1201	12	1	11	15001
1202	12	2	12	15001
1203	12	3	7	15001
1204	12	4	9	15001
1305	13	5	42	15001
1301	13	1	10	15001
1302	13	2	12	15001
1303	13	3	7	15001
1304	13	4	9	15001
1405	14	5	27	15001
1401	14	1	7	15001
1402	14	2	7	15001
1403	14	3	5	15001
1404	14	4	6	15001
1505	15	5	30	15001
1501	15	1	7	15001
1502	15	2	7	15001
1503	15	3	9	15001
1504	15	4	12	15001
1605	16	5	30	15001
1601	16	1	4	15001
1602	16	2	5	15001
1603	16	3	9	15001
1604	16	4	6	15001
1705	17	5	37	15001
1701	17	1	11	15001
1702	17	2	12	15001
1703	17	3	8	15001
1704	17	4	8	15001
1805	18	5	35	15001
1801	18	1	6	15001
1802	18	2	6	15001
1803	18	3	4	15001
1804	18	4	8	15001
1905	19	5	30	15001
1901	19	1	9	15001
1902	19	2	11	15001
1903	19	3	6	15001
1904	19	4	9	15001
2005	20	5	30	15001
2001	20	1	7	15001
2002	20	2	8	15001
2003	20	3	5	15001
2004	20	4	5	15001
2105	21	5	33	15001
2101	21	1	7	15001
2102	21	2	6	15001
2103	21	3	9	15001
2104	21	4	12	15001
2205	22	5	28	15001
2201	22	1	8	15001
2202	22	2	11	15001
2203	22	3	8	15001
2204	22	4	8	15001
2305	23	5	27	15001
2301	23	1	7	15001
2302	23	2	6	15001
2303	23	3	7	15001
2304	23	4	10	15001
2405	24	5	31	15001
2401	24	1	4	15001
2402	24	2	6	15001
2403	24	3	7	15001
2404	24	4	7	15001
2505	25	5	37	15001
2501	25	1	4	15001
2502	25	2	7	15001
2503	25	3	8	15001
2504	25	4	9	15001
2605	26	5	38	15001
2601	26	1	11	15001
2602	26	2	9	15001
2603	26	3	9	15001
2604	26	4	9	15001
2705	27	5	47	15001
2701	27	1	10	15001
2702	27	2	9	15001
2703	27	3	9	15001
2704	27	4	8	15001
2805	28	5	27	15001
2801	28	1	6	15001
2802	28	2	5	15001
2803	28	3	7	15001
2804	28	4	7	15001
2905	29	5	30	15001
2901	29	1	6	15001
2902	29	2	9	15001
2903	29	3	11	15001
2904	29	4	9	15001
3005	30	5	33	15001
3001	30	1	11	15001
3002	30	2	12	15001
3003	30	3	7	15001
3004	30	4	9	15001
3105	31	5	29	15001
3101	31	1	9	15001
3102	31	2	8	15001
3103	31	3	9	15001
3104	31	4	9	15001
3205	32	5	33	15001
3201	32	1	5	15001
3202	32	2	7	15001
3203	32	3	9	15001
3204	32	4	13	15001
3305	33	5	30	15001
3301	33	1	7	15001
3302	33	2	7	15001
3303	33	3	9	15001
3304	33	4	12	15001
3405	34	5	33	15001
3401	34	1	11	15001
3402	34	2	12	15001
3403	34	3	7	15001
3404	34	4	9	15001
3505	35	5	28	15001
3501	35	1	11	15001
3502	35	2	8	15001
3503	35	3	8	15001
3504	35	4	8	15001
3605	36	5	33	15001
3601	36	1	12	15001
3602	36	2	11	15001
3603	36	3	9	15001
3604	36	4	7	15001
3705	37	5	33	15001
3701	37	1	5	15001
3702	37	2	7	15001
3703	37	3	9	15001
3704	37	4	13	15001
3805	38	5	35	15001
3801	38	1	12	15001
3802	38	2	11	15001
3803	38	3	7	15001
3804	38	4	9	15001
3905	39	5	38	15001
3901	39	1	11	15001
3902	39	2	9	15001
3903	39	3	9	15001
3904	39	4	9	15001
4005	40	5	30	15001
4001	40	1	6	15001
4002	40	2	7	15001
4003	40	3	9	15001
4004	40	4	7	15001
4105	41	5	28	15001
4101	41	1	10	15001
4102	41	2	9	15001
4103	41	3	8	15001
4104	41	4	8	15001
4205	42	5	38	15001
4201	42	1	10	15001
4202	42	2	8	15001
4203	42	3	8	15001
4204	42	4	8	15001
4305	43	5	33	15001
4301	43	1	12	15001
4302	43	2	8	15001
4303	43	3	8	15001
4304	43	4	8	15001
4405	44	5	38	15001
4401	44	1	10	15001
4402	44	2	9	15001
4403	44	3	8	15001
4404	44	4	8	15001
4505	45	5	28	15001
4501	45	1	10	15001
4502	45	2	9	15001
4503	45	3	9	15001
4504	45	4	8	15001
4605	46	5	45	15001
4601	46	1	11	15001
4602	46	2	11	15001
4603	46	3	8	15001
4604	46	4	8	15001
4705	47	5	30	15001
4701	47	1	9	15001
4702	47	2	10	15001
4703	47	3	7	15001
4704	47	4	9	15001
4805	48	5	38	15001
4801	48	1	6	15001
4802	48	2	7	15001
4803	48	3	8	15001
4804	48	4	13	15001
4905	49	5	37	15001
4901	49	1	8	15001
4902	49	2	10	15001
4903	49	3	9	15001
4904	49	4	7	15001
5005	50	5	35	15001
5001	50	1	8	15001
5002	50	2	11	15001
5003	50	3	6	15001
5004	50	4	8	15001
5105	51	5	39	15001
5101	51	1	7	15001
5102	51	2	8	15001
5103	51	3	9	15001
5104	51	4	10	15001
5205	52	5	42	15001
5201	52	1	10	15001
5202	52	2	10	15001
5203	52	3	9	15001
5204	52	4	9	15001
5305	53	5	34	15001
5301	53	1	10	15001
5302	53	2	9	15001
5303	53	3	6	15001
5304	53	4	8	15001
5405	54	5	35	15001
5401	54	1	9	15001
5402	54	2	10	15001
5403	54	3	8	15001
5404	54	4	7	15001
5505	55	5	38	15001
5501	55	1	9	15001
5502	55	2	10	15001
5503	55	3	8	15001
5504	55	4	9	15001
5605	56	5	42	15001
5601	56	1	10	15001
5602	56	2	9	15001
5603	56	3	7	15001
5604	56	4	8	15001
5805	58	5	42	15001
5801	58	1	10	15001
5802	58	2	9	15001
5803	58	3	8	15001
5804	58	4	9	15001
5705	57	5	35	15001
5701	57	1	11	15001
5702	57	2	11	15001
5703	57	3	8	15001
5704	57	4	8	15001
5905	59	5	42	15001
5901	59	1	9	15001
5902	59	2	8	15001
5903	59	3	7	15001
5904	59	4	8	15001
6005	60	5	73	15001
6001	60	1	7	15001
6002	60	2	8	15001
6003	60	3	9	15001
6004	60	4	7	15001
6105	61	5	35	15001
6101	61	1	12	15001
6102	61	2	6	15001
6103	61	3	5	15001
6104	61	4	8	15001
6205	62	5	32	15001
6201	62	1	7	15001
6202	62	2	8	15001
6203	62	3	12	15001
6204	62	4	9	15001
6305	63	5	35	15001
6301	63	1	9	15001
6302	63	2	10	15001
6303	63	3	8	15001
6304	63	4	9	15001
6405	64	5	31	15001
6401	64	1	8	15001
6402	64	2	9	15001
6403	64	3	7	15001
6404	64	4	11	15001
6505	65	5	35	15001
6501	65	1	7	15001
6502	65	2	11	15001
6503	65	3	7	15001
6504	65	4	7	15001
6605	66	5	42	15001
6601	66	1	7	15001
6602	66	2	8	15001
6603	66	3	10	15001
6604	66	4	9	15001
6705	67	5	40	15001
6701	67	1	9	15001
6702	67	2	9	15001
6703	67	3	8	15001
6704	67	4	8	15001
