number	number
level	caps
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	1
26	2
27	3
28	4
29	5
30	6
31	7
32	8
33	9
34	10
35	11
36	12
37	13
38	14
39	15
40	16
41	17
42	18
43	19
44	20
45	21
46	22
47	23
48	24
49	25
50	26
51	27
52	28
53	29
54	30
55	31
56	32
57	33
58	34
59	35
60	36
61	37
62	38
63	39
64	40
65	41
66	42
67	43
68	44
69	45
70	46
71	47
72	48
73	49
74	50
75	51
76	52
77	53
78	54
79	55
80	56
81	57
82	58
83	59
84	60
85	61
86	62
87	63
88	64
89	65
90	66
91	67
92	68
93	69
94	70
95	71
96	72
97	73
98	74
99	75
100	76
