number	array	number	number	number	array	number	number	array	number	number	array
id	level	rare	hpay_probability	hpay_rate	hpay_number	pay_probability	pay_rate	pay_number	lpay_probability	lpay_rate	lpay_number
1	"[1,30]"	1	1360	1000	"[3,3]"	1500	1000	"[3,3]"	300	500	"[1,2]"
2	"[1,30]"	2	730	1000	"[3,3]"	800	1000	"[3,3]"	600	500	"[1,2]"
3	"[1,30]"	3	450	1000	"[3,3]"	500	1000	"[3,3]"	175	0	"[1,1]"
4	"[1,30]"	4	1360	1000	"[3,3]"	1500	1000	"[3,3]"	0	0	[]
5	"[1,30]"	5	1730	1000	"[6,6]"	1900	1000	"[6,6]"	0	0	[]
6	"[1,30]"	6	40	1000	"[10,10]"	50	1000	"[10,10]"	0	0	[]
7	"[1,30]"	7	640	1000	"[10,10]"	700	1000	"[10,10]"	0	0	[]
8	"[1,30]"	8	2050	1000	"[10,10]"	2250	1000	"[10,10]"	0	0	[]
9	"[1,30]"	9	910	1000	"[3,3]"	0	0	[]	0	0	[]
10	"[1,30]"	50	730	0	"[3,3]"	800	0	"[3,3]"	0	0	[]
11	"[1,30]"	11	0	0	[]	0	0	[]	1175	0	"[1,1]"
12	"[1,30]"	12	0	0	[]	0	0	[]	0	0	[]
13	"[1,30]"	13	0	0	[]	0	0	[]	950	0	"[1,1]"
14	"[1,30]"	14	0	0	[]	0	0	[]	1300	0	"[1,2]"
15	"[1,30]"	15	0	0	[]	0	0	[]	5500	0	"[1,2]"
16	"[1,30]"	16	0	0	[]	0	0	[]	0	0	[]
17	"[1,30]"	17	0	0	[]	0	0	[]	0	0	[]
18	"[1,30]"	18	0	0	[]	0	0	[]	0	0	[]
19	"[1,30]"	19	0	0	[]	0	0	[]	0	0	[]
20	"[1,30]"	20	0	0	[]	0	0	[]	0	0	[]
21	"[1,30]"	21	0	0	[]	0	0	[]	0	0	[]
22	"[1,30]"	22	0	0	[]	0	0	[]	0	0	[]
23	"[1,30]"	23	0	0	[]	0	0	[]	0	0	[]
24	"[1,30]"	24	0	0	[]	0	0	[]	0	0	[]
25	"[1,30]"	25	0	0	[]	0	0	[]	0	0	[]
26	"[1,30]"	26	0	0	[]	0	0	[]	0	0	[]
27	"[1,30]"	27	0	0	[]	0	0	[]	0	0	[]
28	"[1,30]"	28	0	0	[]	0	0	[]	0	0	[]
29	"[1,30]"	29	0	0	[]	0	0	[]	0	0	[]
30	"[1,30]"	30	0	0	[]	0	0	[]	0	0	[]
31	"[1,30]"	31	0	0	[]	0	0	[]	0	0	[]
32	"[31,50]"	1	1360	1000	"[3,3]"	1500	1000	"[3,3]"	300	500	"[1,2]"
33	"[31,50]"	2	730	1000	"[3,3]"	800	1000	"[3,3]"	600	500	"[1,2]"
34	"[31,50]"	3	450	1000	"[3,3]"	500	1000	"[3,3]"	175	0	"[1,1]"
35	"[31,50]"	4	1360	1000	"[3,3]"	1500	1000	"[3,3]"	0	0	[]
36	"[31,50]"	5	1730	1000	"[6,6]"	1900	1000	"[6,6]"	0	0	[]
37	"[31,50]"	6	40	1000	"[10,10]"	50	1000	"[10,10]"	0	0	[]
38	"[31,50]"	7	640	1000	"[10,10]"	700	1000	"[10,10]"	0	0	[]
39	"[31,50]"	8	2050	1000	"[10,10]"	2250	1000	"[10,10]"	0	0	[]
40	"[31,50]"	9	910	1000	"[3,3]"	0	0	[]	0	0	[]
41	"[31,50]"	50	730	0	"[3,3]"	800	0	"[3,3]"	0	0	[]
42	"[31,50]"	11	0	0	[]	0	0	[]	1175	0	"[1,1]"
43	"[31,50]"	12	0	0	[]	0	0	[]	0	0	[]
44	"[31,50]"	13	0	0	[]	0	0	[]	950	0	"[1,1]"
45	"[31,50]"	14	0	0	[]	0	0	[]	1300	0	"[1,2]"
46	"[31,50]"	15	0	0	[]	0	0	[]	500	0	"[1,2]"
47	"[31,50]"	16	0	0	[]	0	0	[]	5000	0	"[1,2]"
48	"[31,50]"	17	0	0	[]	0	0	[]	0	0	[]
49	"[31,50]"	18	0	0	[]	0	0	[]	0	0	[]
50	"[31,50]"	19	0	0	[]	0	0	[]	0	0	[]
51	"[31,50]"	20	0	0	[]	0	0	[]	0	0	[]
52	"[31,50]"	21	0	0	[]	0	0	[]	0	0	[]
53	"[31,50]"	22	0	0	[]	0	0	[]	0	0	[]
54	"[31,50]"	23	0	0	[]	0	0	[]	0	0	[]
55	"[31,50]"	24	0	0	[]	0	0	[]	0	0	[]
56	"[31,50]"	25	0	0	[]	0	0	[]	0	0	[]
57	"[31,50]"	26	0	0	[]	0	0	[]	0	0	[]
58	"[31,50]"	27	0	0	[]	0	0	[]	0	0	[]
59	"[31,50]"	28	0	0	[]	0	0	[]	0	0	[]
60	"[31,50]"	29	0	0	[]	0	0	[]	0	0	[]
61	"[31,50]"	30	0	0	[]	0	0	[]	0	0	[]
62	"[31,50]"	31	0	0	[]	0	0	[]	0	0	[]
63	"[51,70]"	1	1360	1000	"[3,3]"	1500	1000	"[3,3]"	300	500	"[1,2]"
64	"[51,70]"	2	730	1000	"[3,3]"	800	1000	"[3,3]"	600	500	"[1,2]"
65	"[51,70]"	3	450	1000	"[3,3]"	500	1000	"[3,3]"	175	0	"[1,1]"
66	"[51,70]"	4	1360	1000	"[3,3]"	1500	1000	"[3,3]"	0	0	[]
67	"[51,70]"	5	1730	1000	"[6,6]"	1900	1000	"[6,6]"	0	0	[]
68	"[51,70]"	6	40	1000	"[10,10]"	50	1000	"[10,10]"	0	0	[]
69	"[51,70]"	7	640	1000	"[10,10]"	700	1000	"[10,10]"	0	0	[]
