number	number	number	number
id	type	role_id	rate
9301	93	61	2000
9302	93	9	4000
9303	93	23	4000
9601	96	25	2500
9602	96	13	2500
9603	96	10	2500
9604	96	6	2500
9701	97	11	340
9702	97	14	400
9703	97	4	500
9704	97	18	500
9705	97	22	500
9706	97	5	700
9707	97	23	700
9708	97	9	700
9709	97	3	700
9710	97	7	900
9711	97	16	900
9712	97	24	360
9713	97	1	800
9714	97	20	1500
9715	97	25	82
9716	97	13	82
9717	97	15	82
9718	97	10	82
9719	97	6	82
9720	97	17	90
9801	98	30	2000
9802	98	24	4000
9803	98	14	4000
9901	99	15	10000
