number	number	string	number	number	number	number
id	resid	name	quality	var1	var2	var3
12	1	墨阳	1	10	0	0
13	1	墨阳	2	20	0	0
14	1	墨阳	3	50	0	0
15	1	墨阳	4	100	0	0
16	1	墨阳	5	200	0	0
22	2	天丛云剑	1	10	0	0
23	2	天丛云剑	2	20	0	0
24	2	天丛云剑	3	50	0	0
25	2	天丛云剑	4	100	0	0
26	2	天丛云剑	5	200	0	0
32	3	妙法村正	1	10	0	0
33	3	妙法村正	2	20	0	0
34	3	妙法村正	3	50	0	0
35	3	妙法村正	4	100	0	0
36	3	妙法村正	5	200	0	0
42	4	国光	1	10	0	0
43	4	国光	2	20	0	0
44	4	国光	3	50	0	0
45	4	国光	4	100	0	0
46	4	国光	5	200	0	0
52	5	数珠丸	1	10	0	0
53	5	数珠丸	2	20	0	0
54	5	数珠丸	3	50	0	0
55	5	数珠丸	4	100	0	0
56	5	数珠丸	5	200	0	0
62	6	十拳剑	1	10	0	0
63	6	十拳剑	2	20	0	0
64	6	十拳剑	3	50	0	0
65	6	十拳剑	4	100	0	0
66	6	十拳剑	5	200	0	0
72	7	棠溪	1	10	0	0
73	7	棠溪	2	20	0	0
74	7	棠溪	3	50	0	0
75	7	棠溪	4	100	0	0
76	7	棠溪	5	200	0	0
82	8	童子切	1	10	0	0
83	8	童子切	2	20	0	0
84	8	童子切	3	50	0	0
85	8	童子切	4	100	0	0
86	8	童子切	5	200	0	0
92	9	菊一文字	1	10	0	0
93	9	菊一文字	2	20	0	0
94	9	菊一文字	3	50	0	0
95	9	菊一文字	4	100	0	0
96	9	菊一文字	5	200	0	0
102	10	切列世界之剑	1	10	0	0
103	10	切列世界之剑	2	20	0	0
104	10	切列世界之剑	3	50	0	0
105	10	切列世界之剑	4	100	0	0
106	10	切列世界之剑	5	200	0	0
112	11	太阿	1	10	0	0
113	11	太阿	2	20	0	0
114	11	太阿	3	50	0	0
115	11	太阿	4	100	0	0
116	11	太阿	5	200	0	0
122	12	湖中剑	1	10	0	0
123	12	湖中剑	2	20	0	0
124	12	湖中剑	3	50	0	0
125	12	湖中剑	4	100	0	0
126	12	湖中剑	5	200	0	0
132	13	巨人之剑	1	10	0	0
133	13	巨人之剑	2	20	0	0
134	13	巨人之剑	3	50	0	0
135	13	巨人之剑	4	100	0	0
136	13	巨人之剑	5	200	0	0
142	14	蜻蜓切	1	10	0	0
143	14	蜻蜓切	2	20	0	0
144	14	蜻蜓切	3	50	0	0
145	14	蜻蜓切	4	100	0	0
146	14	蜻蜓切	5	200	0	0
152	15	朗基努斯	1	10	0	0
153	15	朗基努斯	2	20	0	0
154	15	朗基努斯	3	50	0	0
155	15	朗基努斯	4	100	0	0
156	15	朗基努斯	5	200	0	0
162	16	鱼肠	1	10	0	0
163	16	鱼肠	2	20	0	0
164	16	鱼肠	3	50	0	0
165	16	鱼肠	4	100	0	0
166	16	鱼肠	5	200	0	0
172	17	三日月	1	10	0	0
173	17	三日月	2	20	0	0
174	17	三日月	3	50	0	0
175	17	三日月	4	100	0	0
176	17	三日月	5	200	0	0
182	18	干将	1	10	0	0
183	18	干将	2	20	0	0
184	18	干将	3	50	0	0
185	18	干将	4	100	0	0
186	18	干将	5	200	0	0
192	19	青龙刀	1	10	0	0
193	19	青龙刀	2	20	0	0
194	19	青龙刀	3	50	0	0
195	19	青龙刀	4	100	0	0
196	19	青龙刀	5	200	0	0
202	20	咎瓦尤斯	1	10	0	0
203	20	咎瓦尤斯	2	20	0	0
204	20	咎瓦尤斯	3	50	0	0
205	20	咎瓦尤斯	4	100	0	0
206	20	咎瓦尤斯	5	200	0	0
212	21	红雪左文字	1	10	0	0
213	21	红雪左文字	2	20	0	0
214	21	红雪左文字	3	50	0	0
215	21	红雪左文字	4	100	0	0
216	21	红雪左文字	5	200	0	0
222	22	杜兰德尔	1	10	0	0
223	22	杜兰德尔	2	20	0	0
224	22	杜兰德尔	3	50	0	0
225	22	杜兰德尔	4	100	0	0
226	22	杜兰德尔	5	200	0	0
232	23	猫脸(舍施尔-量产型)	1	10	0	0
233	23	猫脸(舍施尔-量产型)	2	20	0	0
234	23	猫脸(舍施尔-量产型)	3	50	0	0
235	23	猫脸(舍施尔-量产型)	4	100	0	0
236	23	猫脸(舍施尔-量产型)	5	200	0	0
242	24	布都御魂	1	10	0	0
243	24	布都御魂	2	20	0	0
244	24	布都御魂	3	50	0	0
245	24	布都御魂	4	100	0	0
246	24	布都御魂	5	200	0	0
252	25	莫邪	1	10	0	0
253	25	莫邪	2	20	0	0
254	25	莫邪	3	50	0	0
255	25	莫邪	4	100	0	0
256	25	莫邪	5	200	0	0
262	26	卡拉德波加	1	10	0	0
263	26	卡拉德波加	2	20	0	0
264	26	卡拉德波加	3	50	0	0
265	26	卡拉德波加	4	100	0	0
266	26	卡拉德波加	5	200	0	0
272	27	湛卢碎片	1	10	0	0
273	27	湛卢碎片	2	20	0	0
274	27	湛卢碎片	3	50	0	0
275	27	湛卢碎片	4	100	0	0
276	27	湛卢碎片	5	200	0	0
282	28	雷切碎片	1	10	0	0
283	28	雷切碎片	2	20	0	0
284	28	雷切碎片	3	50	0	0
285	28	雷切碎片	4	100	0	0
286	28	雷切碎片	5	200	0	0
292	29	鬼彻碎片	1	10	0	0
293	29	鬼彻碎片	2	20	0	0
294	29	鬼彻碎片	3	50	0	0
295	29	鬼彻碎片	4	100	0	0
296	29	鬼彻碎片	5	200	0	0
302	30	备前长船碎片	1	10	0	0
303	30	备前长船碎片	2	20	0	0
304	30	备前长船碎片	3	50	0	0
305	30	备前长船碎片	4	100	0	0
306	30	备前长船碎片	5	200	0	0
312	31	宵练碎片	1	10	0	0
313	31	宵练碎片	2	20	0	0
314	31	宵练碎片	3	50	0	0
315	31	宵练碎片	4	100	0	0
316	31	宵练碎片	5	200	0	0
322	32	含光碎片	1	10	0	0
323	32	含光碎片	2	20	0	0
324	32	含光碎片	3	50	0	0
325	32	含光碎片	4	100	0	0
326	32	含光碎片	5	200	0	0
332	33	承影碎片	1	10	0	0
333	33	承影碎片	2	20	0	0
334	33	承影碎片	3	50	0	0
335	33	承影碎片	4	100	0	0
336	33	承影碎片	5	200	0	0
342	34	七星龙渊碎片	1	10	0	0
343	34	七星龙渊碎片	2	20	0	0
344	34	七星龙渊碎片	3	50	0	0
345	34	七星龙渊碎片	4	100	0	0
346	34	七星龙渊碎片	5	200	0	0
352	35	轩辕碎片	1	10	0	0
353	35	轩辕碎片	2	20	0	0
354	35	轩辕碎片	3	50	0	0
355	35	轩辕碎片	4	100	0	0
356	35	轩辕碎片	5	200	0	0
362	36	大夏龙雀碎片	1	10	0	0
363	36	大夏龙雀碎片	2	20	0	0
364	36	大夏龙雀碎片	3	50	0	0
365	36	大夏龙雀碎片	4	100	0	0
