number	string	string	string	number	number	number	number	number	number	array	number	number	number	number	string	number	number	number	array2
id	icon	name	description	task_class	level	pre_quest	quest_get	plot_id	type	value	quest_finish	finish_plot_id	trigger_story_point	trigger_type	trigger_content	exp	coin	diamond	item_id
100001	M10005	杀器	疯狂的世界，快给我一颗药	0	1	0	116	100003	0	[]	116	100008	0	0		50	11025	0	[]
100002	M10005	新世界	欢迎来新世界种蘑菇	0	2	100001	116	100011	0	[]	116	100017	0	0		50	11297	0	"[[30009,10]]"
100003	M10005	チーム·ミラージュ	新入りなのに、いきなり戦闘！？	0	3	100002	114	100026	1	"[1001,1]"	114	100033	0	0		60	0	0	"[[30007,10],[11001,1]]"
100004	M10005	鬼教官	努力しろ！　その後はもっと努力しろ！	0	4	100003	114	100041	1	"[1002,1]"	107	100048	0	0		60	0	0	"[[10013,1],[11001,1]]"
100005	M10005	お相手はお嬢様	私と戦えることを誇りに思いなさい	0	5	100004	122	100056	1	"[1003,1]"	122	100066	0	0		70	12413	0	[]
100006	M10005	夜間特訓	僕は神に選ばれた少年なんだぞ！	0	6	100005	122	100073	0	[]	122	100080	0	0		70	12785	0	"[[10041,1]]"
100007	M10005	ウロボロス	ライバルというのもバカバカしいな	0	6	100006	120	100085	1	"[1004,1]"	120	100090	0	0		80	9162	0	[]
100008	M10005	新しいパートナー	癒し系少女の治療なら大歓迎だ	0	7	100007	120	100093	0	[]	120	100095	0	0		80	9595	0	[]
100009	M10005	パルスの共鳴	「聞くは一時の恥」と言うけれど……	0	7	100008	114	100101	1	"[1005,1]"	114	100106	0	0		150	10063	0	[]
100010	M10005	五人小隊	良いことも悪いことも、そして生死も共に	0	8	100009	114	100111	0	[]	114	100112	0	0		200	10568	0	[]
100011	M10005	チームワーク	自分たちに足りないものは何かを考えよう	0	9	100010	114	100118	1	"[1006,1]"	114	100119	0	0		300	16965	0	"[[10063,1]]"
100012	M10005	敵襲！	ここは安全な場所じゃなかったのか！？	0	10	100011	116	100126	1	"[1007,1]"	116	100132	0	0		300	0	0	"[[12002,1],[12001,2]]"
100013	M10005	脱落	カラドボルグが行方不明？	0	11	100012	115	100134	0	[]	115	100139	0	0		400	18191	0	[]
