number	string	number	number	number	number	number	number	number	number	number	array2	array2
id	name	rankup_score	win_score	lose_score	lose_count	win_rank	lose_rank	next_season_rank	day_off	day_score	rank_reward	reward
10	天空王者	2000	250	250	3	0	21	63	1	75	"[[10001,110000],[12205,3],[11003,2],[10013,1]]"	"[[30030,70],[10003,200],[10012,40]]"
21	天魔王1	1500	200	200	3	10	22	63	1	75	"[[10001,105000],[12209,3],[12201,3]]"	"[[30030,50],[10003,150],[10012,30]]"
22	天魔王2	1500	200	200	3	21	23	63	1	75	"[[10001,100000],[12208,3],[12213,3]]"	"[[30030,50],[10003,150],[10012,30]]"
23	天魔王3	1500	200	200	3	22	24	63	1	75	"[[10001,95000],[12207,3],[12217,3]]"	"[[30030,50],[10003,150],[10012,30]]"
24	天魔王4	1500	200	200	3	23	25	63	1	75	"[[10001,90000],[12206,3],[12214,3]]"	"[[30030,50],[10003,150],[10012,30]]"
25	天魔王5	1500	200	200	3	24	31	63	1	75	"[[10001,85000],[12201,3],[11002,5],[10013,1]]"	"[[30030,50],[10003,150],[10012,30]]"
31	鬼神1	1200	180	100	2	25	32	63	1	75	"[[10001,80000],[12204,3],[12212,3]]"	"[[30030,30],[10003,100],[10012,20]]"
32	鬼神2	1200	180	100	2	31	33	63	1	75	"[[10001,75000],[12203,3],[12211,3]]"	"[[30030,30],[10003,100],[10012,20]]"
33	鬼神3	1200	180	100	2	32	34	63	1	75	"[[10001,70000],[12216,3],[12210,3]]"	"[[30030,30],[10003,100],[10012,20]]"
34	鬼神4	1200	180	100	2	33	41	63	1	75	"[[10001,65000],[12112,3],[11002,3],[10013,1]]"	"[[30030,30],[10003,100],[10012,20]]"
41	大戦神1	900	150	50	1	34	42	63	1	75	"[[10001,60000],[12215,3],[12111,3]]"	"[[30004,30],[10003,50],[10012,10]]"
42	大戦神2	900	150	50	1	41	43	63	1	75	"[[10001,55000],[12108,3],[12114,3]]"	"[[30004,30],[10003,50],[10012,10]]"
43	大戦神3	900	150	50	1	42	44	63	1	75	"[[10001,50000],[12107,3],[12113,3]]"	"[[30004,30],[10003,50],[10012,10]]"
44	大戦神4	900	150	50	1	43	51	63	1	75	"[[10001,45000],[12106,3],[11001,5],[10013,1]]"	"[[30004,30],[10003,50],[10012,10]]"
51	闘神1	600	120	0	0	44	52	63	1	0	"[[10001,40000],[12105,3],[12102,3]]"	[]
52	闘神2	600	120	0	0	51	53	63	1	0	"[[10001,35000],[12104,3],[12110,3]]"	[]
53	闘神3	600	120	0	0	52	54	63	1	0	"[[10001,30000],[12103,3],[12109,3]]"	[]
54	闘神4	600	120	0	0	53	61	63	1	0	"[[10001,25000],[12101,3],[11001,3],[10012,5]]"	[]
61	闘技者1	400	80	0	0	54	62	63	1	0	"[[10001,20000],[12005,2],[12115,2]]"	[]
62	闘技者2	160	80	0	0	61	63	63	1	0	"[[10001,15000],[12003,2],[12004,2]]"	[]
63	闘技者3	80	80	0	0	62	0	63	1	0	"[[10001,10000],[12001,2],[12002,2],[10012,3]]"	[]
