number	string	string	number	number	array	number	number	string	string	string	string	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	array	number	number	number	number	number	number	number	number	string	string	string	number	number	number	array	number	number	number	string	string	string	string	string	string	number	number	number	number	string	number	number	string	array	string	string	string	number	string	string	string	string	string	string	string	string	string	string	string	number	number
id	name	title	job	rare	hire	price	gender	img	path	atk_script	hit_script	actiontime	skill_cancel_time	width	height	speed	hit_rate	hit_area	base_atk	base_mgc	base_def	base_res	base_hp	base_crit	base_acc	base_dodge	base_ten	base_imm_dam_pro	factor	skill_id	skill_id2	skill_id3	skill_passive	skill_passive2	skill_auto	skill_auto2	skill_auto3	skill_auto_script	skill_auto_script2	skill_auto_script3	atk_power	hit_power	kill_power	partner	shadow	trail	fd	skill_script	next_skill	skill_script2	next_skill2	skill_script3	next_skill3	destiny1	destiny2	destiny3	destiny4	hero_story	hero_piece	handbook	voice	foster_voice	win_voice	death_voice	love_voice	Order	Quality	Nickname	birthday	constellation	Blood_type	Height	BWH	hobby	petphrase	cdescription	wdescription	fate	attribute
1	柳蘭	（リュウラン）	5	5	"[1,2,3]"	98	1	H001	H001_output	H001_normal_attack	hit_11	0.6	0.5	100	170	93	1.6	260	121	119	73	73	623	0	0	0	0	0	"[0.83,0.94,0.83,0.94,0.72]"	290	292				294	296	298	H001_auto294_attack	H001_auto296_attack	H001_auto298_attack	1	0.6	50	[]	1	0	100 	S290_magic_H001_attack	S291_magic_H001_attack	S292_magic_H001_attack	S293_magic_H001_attack			0	0	0	0	无	30	1	111001	"[111001,111002]"	win_01	die_01	love_01	19	A	無	3月6日	うお座	A	168	B88 W63 H90	笛の演奏	私を知る者は私の心を憂うと口にし、私を知らざる者は私が何を求めるのかを尋ねます	山の頂に住まう謎の女性。その容姿は驚くほど美しく、その声は花弁が舞うように心に響く。出会った者は皆、心を奪われてしまう。	墨陽の剣は名刀の里である西平で鍛えられた業物。雪のように白い刀身を輝かせる最も美しい武器の一つ。	1	201
2	メラニー	?ベイル	13	7	"[1,2,3]"	98	1	H002	H002_output	H002_normal_attack	hit_11	0.6	0.5	100	170	113	1.7	15	126	121	110	115	973	0	0	0	0	0	"[0.85,0.96,0.85,0.96,0.72]"	120	122				124	126	128	H002_auto124_attack	H002_auto126_attack	H002_auto128_attack	1	0.6	50	[]	1	0	100 	S120_magic_H002_attack	S121_magic_H002_attack	S122_magic_H002_attack	S123_magic_H002_attack			0	0	0	0	无	80	1	112001	"[112001,112002]"	win_02	die_02	love_02	3	S	無	1月1日	やぎ座	B	165	B81 W61 H84	剣の修行	どんな犠牲を払っても、私は必ず最強の剣士になる！	強力な剣技を追い求め、何は無くとも修行第一。非常にできる女性だが時々、常識的な事が抜け落ちている。	天叢雲剣は三種の神器の一つ。天上の神に選ばれた英雄にのみ授けられる剣である。	1	202
3	葵華	（あいか）	24	1	"[1,2,3]"	98	1	H003	H003_output	H003_normal_attack	hit_11	0.6	0.5	100	170	93	1.6	260	110	100	57	55	440	0	0	0	0	0	"[0.82,0.93,0.82,0.93,0.72]"	150	152				154	156	158	H003_auto154_attack	H003_auto156_attack	H003_auto158_attack	1	0.6	50	[]	1	0	100 	S150_magic_H003_attack	S151_magic_H003_attack	S152_magic_H003_attack	S153_magic_H003_attack			0	0	0	0	无	10	1	113001	"[113001,113002]"	win_03	die_03	love_03	18	B	無	2月2日	みずがめ座	AB	168	B94 W63 H92	折り紙	私と一緒にいてくれるの？	和装の美女。落ち着いた感じで淡々としゃべるが、無感情というわけではなく色々と内に秘めた想いが時折あふれ出るように話すこともある。	美しい刃紋を持つ鋭い切れ味の「妖刀」。まるで豆腐でも切るかのように鉄を斬るが、持つ者の心を惑わせると伝えられている。	1	200
4	冥翠	（メイスイ）	20	4	"[1,2,3]"	98	1	H004	H004_output	H004_normal_attack	hit_11	0.6	0.5	100	170	100	1.4	260	100	112	55	56	440	0	0	0	0	0	"[0.82,0.93,0.82,0.93,0.72]"	310	312				314	316	318	H004_auto314_attack	H004_auto316_attack	H004_auto318_attack	1	0.6	50	[]	1	0	100 	S310_magic_H004_attack	S311_magic_H004_attack	S312_magic_H004_attack	S313_magic_H004_attack			0	0	0	0	无	10	1	114001	"[114001,114002]"	win_04	die_04	love_04	10	A	無	1月28日	みずがめ座	AB	163	B82 W60 H85	兵法の研究	IQ250は伊達じゃないよ！	IQ250の天才少女。暗号解読や兵法の勉強は彼女にとっては息抜きのようなもの。過去の名だたる軍師を崇拝している。	小ぶりだが精緻な業物で、まっすぐな刀身は忠誠と勇敢の象徴である。織田信長の家臣、蒲生氏郷のものだったと伝えられている。	1	201
5	美巴瑠	（みはる）	28	1	"[1,2,3]"	98	1	H005	H005_output	H005_normal_attack	hit_11	0.6	0.5	100	170	93	1.8	260	90	110	62	55	465	0	1	0	0	0	"[0.82,0.93,0.82,0.93,0.72]"	180	182				184	186	188	H005_auto184_attack	H005_auto186_attack	H005_auto188_attack	1	0.6	50	[]	1	1	100 	S180_magic_H005_attack	S181_magic_H005_attack	S182_magic_H005_attack	S183_magic_H005_attack			0	0	0	0	无	10	1	115001	"[115001,115002]"	win_05	die_05	love_05	15	B	無	7月3日	かに座	A	165	B88 W62 H90	家事	何事もないのが一番よ	いつも微笑みを絶やさず、優しさい雰囲気を漂わせている。この人がいるだけで空気が和み、自然と笑みがこぼれてくる。	高名な上人に寄進されたと言われる名刀。「破邪顕正の剣」と称される。	1	203
6	望乃	（のの）	19	8	"[1,2,3]"	98	1	H006	H006_output	H006_normal_attack	hit_11	0.6	0.5	100	170	113	1.6	15	152	77	121	82	819	0	0	0	0	0	"[0.84,0.95,0.84,0.95,0.72]"	160	162	164			166	168		H006_auto166_attack	H006_auto168_attack		1	0.6	50	[]	1	0	100 	S160_magic_H006_attack	S161_magic_H006_attack	S162_magic_H006_attack	S163_magic_H006_attack	S164_magic_H006_attack	S165_magic_H006_attack	0	0	0	0	无	80	1	116001	"[116001,116002]"	win_06	die_06	love_06	25	A	無	6月16日	双子座	O	140	B74 W54 H75	果物を食べること	果物を食べない子は悪い子なんですよ	小さな体に強大なエネルギーを秘めている、無邪気でカワイイ怪力少女。果物が大好き。	日本の神話に登場する剣で、最初の所有者はイザナギとされる。凄まじい力を秘めた神々の剣である。	1	200
7	ノエリア	?グランジェ	7	2	"[1,2,3]"	98	1	H007	H007_output	H007_normal_attack	hit_11	0.6	0.5	100	170	113	1.4	15	80	76	75	60	575	0	0	0	0	0	"[0.82,0.93,0.82,0.93,0.72]"	130	134				132	136	138	H007_auto132_attack	H007_auto136_attack	H007_auto138_attack	1	0.6	50	[]	1	0	100 	S130_magic_H007_attack	S131_magic_H007_attack	S134_magic_H007_attack	S135_magic_H007_attack			0	0	0	0	无	10	1	117001	"[117001,117002]"	win_07	die_07	love_07	16	C	無	8月20日	しし座	O	172	B93 W64 H94	武器や防具の手入れ	騎士道こそ私の生きる道！	一本気でまっすぐな性格だが、仕えるマスターを自ら厳しく育てようとする少し厄介な性格でもある。	中国の九大名剣のトップ。春秋戦国時代初期に鍛えられ、2700年経ってなおその切れ味は鋭さを増す一方である。	1	202
8	麗雅	（れいが）	3	7	"[1,2,3]"	98	1	H008	H008_output	H008_normal_attack	hit_11	0.6	0.5	100	180	100	1.4	130	126	129	99	99	763	1	0	0	0	0	"[0.84,0.95,0.84,0.95,0.72]"	230	232				234	236	238	H008_auto234_attack	H008_auto236_attack	H008_auto238_attack	1	0.6	50	[]	1	0	100 	S230_magic_H008_attack	S231_magic_H008_attack	S232_magic_H008_attack	S233_magic_H008_attack			0	0	0	0	无	80	1	118001	"[118001,118002]"	win_08	die_08	love_08	20	S	無	9月20日	乙女座	B	158	B88 W59 H89	絡まったクモの糸をほどくこと	この世の全てを絡めてから切り捨ててみせるさ	蜘蛛切という刀によって成敗され、蜘蛛の妖怪となった。蜘蛛切と共に生き、人の姿に戻ることは永遠にない。	源頼光が自分を熱病に苦しめた妖怪「土蜘蛛」を斬ったことから「蜘蛛切」と名付けられる。日本の伝説にその名を残す霊剣である。	1	201
9	クラレッタ	?ミューラ	11	1	"[1,2,3]"	98	1	H009	H009_output	H009_normal_attack	hit_11	0.6	0.5	100	170	93	1.6	260	130	60	59	65	465	0	0	0	0	0	"[0.82,0.93,0.82,0.93,0.72]"	300	302				304	306	308	H009_auto304_attack	H009_auto306_attack	H009_auto308_attack	1	0.6	50	[]	1	0	100 	S300_magic_H009_attack	S301_magic_H009_attack	S302_magic_H009_attack	S303_magic_H009_attack			0	0	0	0	无	10	1	119001	"[119001,119002]"	win_09	die_09	love_09	14	B	無	12月13日	いて座	O	164	B90 W62 H91	お菓子を食べまくる！	私に狙われて、逃げられるとでも思っているの？	超長距離から舞い落ちる木の葉を打ち抜くことができる、百発百中の神スナイパー。「神撃のスナイパー」の二つ名を持つ。チョコ系のお菓子が大好き。	ライフリングを施されていない銃身は命中精度が極めて悪くクセが強い。しかし彼女は銃と一体になる事により、それを見事に使いこなしてみせる。	1	202
